ice n.冰，冰块 vt.冰镇
ice-cream n.冰淇淋
idea n.想法；思想；意见
ideal a.理想的；观念的
identical a.完全相同的；同一的
identify vt.认出，识别，鉴定
idiom n.习语，成语
idle a.空闲的；懒散的
i.e. (=that is)那就是，即
if conj.假如，如果
ignorant a.不知道的；无知的
ignore vt.不顾，不理，忽视
ill a.有病的；坏的 ad.坏
illegal a.不合法的，非法的
illness n.病，疾病
illustrate vt.(用图等)说明
illustration n.说明，图解；例证
image n.像；形象；映象
imaginary a.想象中的，假想的
imagination n.想象；想象力；空想
imagine vt.想象，设想；料想
imitate vt.模仿，仿效；仿制
immediate a.立即的；直接的
immediately ad.立即；直接地
immense a.巨大的；极好的
immigrant n.移民 a.移民的
impact n.影响，作用；冲击
impatient a.不耐烦的，急躁的
implication n.含义，暗示，暗指
imply vt.暗示，意指
import vt.&n.输入，进口
importance n.重要；重要性
important a.重要的；有势力的
impose vt.把…强加；征(税)
impossible a.不可能的，办不到的
impress vt.给…深刻印象
impression n.印；印象；印记
impressive a.给人印象深刻的
imprison vt.关押，监禁；限制
improve vt.使更好 vi.改善
improvement n.改进，改善；改进处
in prep.在…里ad.进，入
inch n.英寸
incident n.发生的事；事件
incline n.斜坡 vt.使倾斜
include vt.包括，包含
income n.收入；收益；进款
incorrect a.不正确的，错误的
increase vt.&vi.&n.增加
increasingly ad.日益，越来越多地
indeed ad.真正地；确实
indefinite a.不明确的；不定的
independence n.独立，自主，自立
independent a.独立的；自主的
index n.索引；指数；指标
India n.印度
Indian a.印度的 n.印度人
indicate vt.标示，表示；表明
indication n.指示；表示；表明
indifferent a.冷漠的；不积极的
indignant a.愤慨的，义愤的
indirect a.间接的；不坦率的
indispensable a.必不可少的，必需的
individual a.个别的；独特的
indoors ad.在室内，在屋里
industrial a.工业的；产业的
industrialize vt.使工业化
industry n.工业，产业；勤劳
inefficient a.效率低的，无能的
inevitable a.不可避免的，必然的
inexpensive a.花费不多的，廉价的
infant n.婴儿 a.婴儿的
infect vt.传染；感染
infer vt.推论，推断；猜想
inferior a.下等的；劣等的
infinite a.无限的；无数的
influence n.影响；势力 vt.影响
influential a.有影响的；有权势的
inform vt.通知，向…报告
information n.消息，信息；通知
inhabit vt.居住于，栖息于
inhabitant n.居民，住户
inherit vt.继承(传统等)
initial a.最初的；词首的
injection n.注射，注入；充满
injure vt.伤害，损害，损伤
injury n.损害，伤害；受伤处
ink n.墨水，油墨
inn n.小旅店；小酒店
inner a.内部的；内心的
innocent a.清白的，幼稚的
input n.输入；投入的资金
inquire vt.打听，询问；调查
inquiry n.询问，打听；调查
insect n.昆虫，虫
insert vt.插入; 嵌入; 登载
inside prep.在…里面 n.内部
insist vi.坚持；坚持要求
inspect vt.检查，审查；检阅
inspection n.检查，审查；检阅
inspire vt.鼓舞；给…以灵感
install vt.安装，设置
installation n.安装；装置；设施
instance n.例子，实例，事例
instant n.瞬间 a.立即的
instantly ad.立即，即刻
instead ad.代替，顶替；反而
instinct n.本能；直觉；生性
institute n.研究所；学院
institution n.协会；制度，习俗
instruct vt.教；指示；通知
instruction n.命令；教学；教训
instrument n.仪器；工具；乐器
insufficient a.不足的；不适当的
insult vt.&n.侮辱，凌辱
insurance n.保险；保险费
insure vt.给…保险；确保
intellectual n.知识分子 a.智力的
intelligence n.智力；理解力；情报
intelligent a.聪明的；理智的
intend vt.想要，打算；意指
intense a.强烈的；紧张的
intensity n.强烈，剧烈；强度
intensive a.加强的；精耕细作的
intention n.意图，意向，目的
intentional a.故意的，有意识的
interaction n.相互作用；干扰
interest n.兴趣；利益；利息
interesting a.有趣的，引人入胜的
interfere vi.干涉，干预；妨碍
interference n.干涉，干预；阻碍
interior a.内的；内地的n.内部
intermediate a.中间的；中级的
internal a.内的；国内的
international a.国际的，世界(性)的
interpret vt.解释，说明；口译
interpretation n.解释；口译
interpreter n.译员，口译者
interrupt vt.打断，打扰；中止
interruption n.中断，打断；障碍物
interval n.间隔；休息；间距
interview n.接见；会见；面谈
intimate a.亲密的；个人的
into prep.进，入；进入到
introduce vt.介绍；引进，传入
introduction n.介绍；引进；引言
invade vt.入侵，侵略；侵袭
invasion n.入侵，侵略；侵犯
invent vt.发明，创造；捏造
invention n.发明，创造；捏造
inventor n.发明者；发明家
invest vt.投资；投入
investigate vt.&vi.调查
investigation n.调查，调查研究
investment n.投资，投资额，投入
invisible a.看不见的，无形的
invitation n.邀请，招待；请柬
invite vt.邀请，聘请；招待
involve vt.使卷入；牵涉
inward a.里面的 ad.向内
iron n.铁；烙铁 vt.烫(衣)
irregular a.不规则的；不整齐的
island n.岛，岛屿
isolate vt.使隔离，使孤立
issue n.问题；发行 vt.发行
it pron.这，那，它
Italian a.意大利的n.意大利人
item n.条，条款；一条
its pron.它的
itself pron.它自己；自身
