   oak                  n.栎属植物；栎木
   oar                  n.浆，橹
   obey                 vt.顺从 vi.服从
   object               n.物，物体；目的
   object               vi.反对；抱反感
   objection            n.反对，异议；不喜欢
   objective            a.客观的；无偏见的
   oblige               vt.迫使；施恩惠于
   observation          n.注意；观察；观察力
   observe              vt.遵守；看到；说
   observer             n.观察员，观测者
   obstacle             n.障碍，障碍物，妨害
   obtain               vt.获得，得到，买到
   obvious              a.明显的，显而易见的
   obviously            ad.明显地，显然地
   occasion             n.场合，时刻；时机
   occasional           a.偶然的；临时的
   occasionally         ad.偶然；非经常地
   occupation           n.占领，占据；职业
   occupy               vt.占领；占，占有
   occur                vi.发生；出现，存在
   occurrence           n.发生，出现；事件
   ocean                n.海洋；洋
   Oceania              n.大洋洲
   odour                n.气味，香气；味道
   offend               vt.冒犯 vi.犯过错
   offer                vt.提供；提出 n.提供
   office               n.办公室；处，局，社
   officer              n.官员；干事；军官
   official             a.官员的；官方的
   often                ad.经常，常常
   oh                   int.嗬，哦，唉呀
   oil                  n.油；石油 vt.加油于
   okay                 (缩作OK)a.&ad.对，好
   old                  a.老的；…岁的
   omit                 vt.省略，省去；遗漏
   on                   prep.在…上；在…旁
   once                 ad.一次；曾经 n.一次
   one                  num.一 pron.一个人
   oneself              pron.自己；亲自
   onion                n.洋葱，洋葱头
   only                 ad.只，仅仅 a.唯一的
   onto                 prep.到…上
   open                 a.开的；开放的 vt.开
   opening              a.开始的 n.开始
   opera                n.歌剧
   operate              vi.操作；施行手术
   operation            n.操作；手术；运算
   operational          a.操作上的；可使用的
   operator             n.操作人员，接线员
   opinion              n.意见，看法，主张
   opponent             n.对手，敌手；对抗者
   opportunity          n.机会，良机
   oppose               vt.反对；反抗
   opposite             a.对面的 n.对立物
   oppress              vt.压迫，压制；压抑
   optical              a.眼的；光学的
   optimistic           a.乐观的；乐观主义的
   option               n.选择，选择权
   optional             a.可以任意选择的
   or                   conj.或，或者；即
   oral                 a.口头的；口的
   orange               n.橙(树)；柑(树)
   orbit                n.运行轨道 vt.环绕
   orchestra            n.管弦乐队
   order                n.次序；整齐 vt.命令
   orderly              a.整洁的；有秩序的
   ordinary             a.平常的；平凡的
   ore                  n.矿，矿石，矿砂
   organ                n.器官；机构；管风琴
   organic              a.有机体的；器官的
   organism             n.生物体；有机体
   organization         n.组织；团体，机构
   organize             vt.组织，编组
   oriental             a.东方的；东方国家的
   origin               n.起源，由来；出身
   original             a.最初的；新颖的
   ornament             n.装饰物；装饰
   orphan               n.孤儿
   other                a.另外的；其余的
   otherwise            ad.另外；要不然
   ought                v.aux.应当，应该
   ounce                n.盎司，英两
   our                  pron.我们的
   ours                 pron.我们的
   ourselves            pron.我们自己
   out                  ad.出，在外；现出来
   outcome              n.结果，后果，成果
   outdoor              a.户外的，室外的
   outdoors             ad.在户外，在野外
   outer                a.外部的，外面的
   outlet               n.出口，出路；排遣
   outline              n.轮廓；略图；大纲
   outlook              n.观点，看法；展望
   output               n.产量；输出量；输出
   outset               n.开始，开端
   outside              n.外部；外表a.外部的
   outskirt             n.外边，郊区
   outstanding          a.突出的，杰出的
   outward              a.外面的；向外的
   outwards             ad.向外，往海外
   oven                 n.炉，灶；烘箱
   overcoat             n.外衣，大衣
   overcome             vt.战胜，克服
   overhead             a.在头顶上的；架空的
   overlook             vt.眺望；看漏；放任
   overnight            ad.一夜；突然
   overseas             ad.海外 a.在海外的
   overtake             vt.追上，赶上；压倒
   overtime             a.超时的，加班的
   owe                  vt.欠；应把…归功于
   owl                  n.猫头鹰，枭
   own                  a.自己的 vt.有，拥有
   owner                n.物主，所有人
   ownership            n.所有(权)，所有制
   ox                   n.牛；公牛，阉牛 
