   phase                n.阶段；方面；相位
   phenomenon           n.现象
   philosopher          n.哲学家
   philosophy           n.哲学；哲理；人生观
   phone                n.电话，电话机；耳机
   photograph           n.照片，相片
   photographic         a.摄影的，摄影用的
   phrase               n.短语；习惯用语
   physical             a.物质的；物理的
   physician            n.医生，内科医生
   physicist            n.物理学家
   piece                n.碎片，块 vt.拼合
   pierce               vt.剌穿 vi.穿入
   pig                  n.猪，小猪，野猪
   pigeon               n.鸽子
   pile                 n.堆 vt.堆叠，累积
   pill                 n.药丸，丸剂
   pillar               n.柱，柱子；栋梁
   pillow               n.枕头
   pilot                n.领航员；飞行员
   pin                  n.针，饰针 n.别住
   pinch                vt.捏，拧，掐掉
   pine                 n.松树，松木
   pink                 n.粉红色 a.粉红色的
   pint                 n.品脱
   pioneer              n.拓荒者；先驱者
   pipe                 n.管子，导管；烟斗
   pipeline             n.管道，管线
   pistol               n.手枪
   pit                  n.坑，地坑；煤矿
   pitch                n.沥青
   pitch                vt.投，掷 vi.投掷
   plantation           n.种植园；栽植
   plaster              n.灰泥；硬膏；熟石膏
   plastic              a.可塑的 n.塑料
   plate                n.板，片，盘 vt.电镀
   platform             n.平台；站台；讲台
   pleasure             n.愉快，快乐；乐事
   plentiful            a.丰富的，富裕的
   plough               n.犁 vt.&vi.犁，耕
   pluck                vt.采，摘；拉下 n.拉
   plug                 n.塞子；插头 vt.塞
   plunge               vt.使投入；使陷入
   plural               a.复数的 n.复数
   plus                 prep.加，加上 a.正的
   P.M.                 n.下午，午后
   pocket               n.衣袋 n.袖珍的
   police               n.警察；警察当局
   policeman            n.警察
   policy               n.政策，方针
   polish               vt.磨光；使优美
   polite               a.有礼貌的；有教养的
   political            a.政治的，政治上的
   politician           n.政治家；政客
   politics             n.政治，政治学；政纲
   pollute              vt.弄脏，污染，沾污
   pollution            n.污染
   popular              a.民众的；流行的
   population           n.人口；全体居民
   porch                n.门廊，入口处
   pork                 n.猪肉
   porridge             n.粥，麦片粥
   port                 n.港，港口
   portable             a.轻便的；手提的
   porter               n.搬运工人
   portion              n.一部分；一分
   portrait             n.消像，画像
   Portuguese           n.葡萄牙人；葡萄牙语
   position             n.位置；职位；姿势
   positive             a.确定的；积极的
   possess              vt.占用，拥有(财产)
   possession           n.有，所有；占有物
   possibility          n.可能；可能的事
   possible             a.可能的；可能存在的
   possibly             ad.可能地；也许
   postage              n.邮费，邮资
   postman              n.邮递员
   postpone             vt.延迟，推迟，延缓
   pot                  n.锅，壶，罐，盆
   potato               n.马铃薯，土豆
   potential            a.潜在的 n.潜力
   pound                n.磅；英磅
   pound                vt.捣碎；舂烂；猛击
   pour                 vt.灌，倒 vi.倾泻
   poverty              n.贫穷，贫困
   powder               n.粉末；药粉；火药
   power                n.能力；力；权；幂
   powerful             a.强有力的；有权威的
   practical            a.实践的；实用的
   practically          ad.实际上；几乎
   practice             n.实践；练习；业务
   practise             vt.练习，实习，训练
   praise               n.赞扬，赞美 vi.赞扬
   pray                 vt.&vi.请求；祈祷
   prayer               n.祈祷，祈求
   precaution           n.预防；警惕
   preceding            a.在前的；在先的
   precious             a.珍贵的，宝贵的
   precise              a.精确的，准确的
   precision            n.精确，精密，精密度
   predict              v.预言，预告，预测
   preface              n.序言，前言，引语
   prefer               vt.宁可，宁愿
   preferable           a.更可取的，更好的
   preference           n.偏爱，优先；优先权
   prejudice            n.偏见，成见
   preliminary          a.预备的，初步的
   premier              n.总理，首相
   preparation          n.准备，预备；制备
   prepare              vt.&vi.准备，预备
   preposition          n.前置词，介词
   prescribe            vt.命令；处(方)
   presence             n.出席，到场；在
   presently            ad.一会儿；目前
   preserve             vt.保护；保存；腌渍
   president            n.总统；校长；会长
   press                vt.压，按，揿；催促
   pressure             n.压力；压力；压，按
   pretend              vt.假托，借口vi.假装
   pretty               a.漂亮的，标致的
   prevail              vi.胜，优胜；流行
   prevent              vt.预防，防止；阻止
   previous             a.先的；前的 ad.在前
   previously           ad.先前，预先
   price                n.价格，价钱；代价
   pride                n.骄傲；自豪 vt.自夸
   priest               n.教士，牧师，神父
   primarily            ad.首先；主要地
   primary              a.最初的；基本的
   prime                a.首要的 n.春，青春
   primitive            a.原始的；粗糙的
   prince               n.王子，亲王
   princess             n.公主，王妃
   principal            a.主要的 n.负责人
   principle            n.原则，原理；主义
   print                vt.印刷 n.印刷；正片
   prior                a.在先的；优先的
   prison               n.监狱，监禁
   prisoner             n.囚犯
   private              a.私人的；私下的
   privilege            n.特权，优惠
   prize                n.奖赏，奖金 vt.珍视
   probability          n.可能性；概率
   probable             a.或有的；大概的
   probably             ad.或许，大概
   problem              n.问题；习题，问题
   procedure            n.程序；手续；过程
   proceed              vi.进行；继续进行
   process              n.过程；工序 vt.加工
   procession           n.队伍，行列
   proclaim             vt.宣告，宣布；表明
   produce              vt.生产；产生；展现
   product              n.产品，产物；(乘)积
   production           n.生产；产品；总产量
   productive           a.生产的；丰饶的
   profession           n.职业
   professional         a.职业的 n.专业人员
   professor            n.教授
   profit               n.益处；利润 vi.得益
   program              n.节目单；大纲；程序
   progress             n.前进，进展；进步
   progressive          a.进步的；向前进的
   prohibit             vt.禁止，阻止
   project              n.方案，工程 vi.伸出
   prominent            a.实起的；突出的
   promise              n.诺言；指望 vt.允诺
   promising            a.有希望的；有前途的
   promote              vt.促进，发扬；提升
   prompt               a.及时的 vt.敦促
   pronoun              n.代名词
   pronounce            vt.发…的音；宣布
   pronunciation        n.发音，发音法
   proof                n.证据；证明
   proportional         a.比例的；相称的
   proposal             n.提议，建议；求婚
   propose              vt.提议 vi.求婚
   prospect             n.展望；前景，前程
   prosperity           n.繁荣；昌盛，兴旺
   prosperous           a.繁荣的，昌盛的
   protect              vt.保护，保卫，警戒
   protection           n.保护，警戒
   protective           a.保护的，防护的
   protein              n.蛋白质，朊
   protest              vt.&vi.&n.抗议
   proud                a.骄傲的；自豪的
   prove                vt.证明 vi.结果是
   provide              vt.提供；装备，供给
   provided             conj.以…为条件
   province             n.省；领域，部门
   provision            n.供应；预备；存粮
   psychological        a.心理的，心理学的
   public               a.公众的 n.公众
   publication          n.公布；出版；出版物
   publish              vt.公布；发表；出版
   pudding              n.布丁
   puff                 n.(一)喷，(一)吹
   pull                 vt.拉，拖；拉，拉力
   pulse                n.脉搏；脉冲，脉动
   pump                 n.泵 vt.用抽机抽
   punch                vt.冲出 n.冲压机
   punch                vt.用拳猛击 n.拳打
   punctual             a.严守时刻的；准时的
   purchase             n.买，购买 vt.买
   pure                 a.纯粹的；纯洁的
   purely               ad.纯粹地，完全地
   purify               vt.使纯净，使洁净
   purity               n.纯净；纯洁；纯度
   purple               n.紫色 a.紫的
   purpose              n.目的；意图；效果
   purse                n.钱包，小钱袋，手袋
   pursue               vt.追赶，追踪；进行
   pursuit              n.追赶；追求；事务
   puzzle               n.难题；谜 vi.使迷惑
