   qualify              vt.使具有资格
   quality              n.质量；品质，特性
   quantity             n.量，数量，分量
   quarrel              n.争吵，吵架，口角
   quart                n.夸脱(=2品脱)
   quarter              n.四分之一；一刻钟
   quarterly            a.季度的 ad.季度地
   queen                n.王后；女王
   queer                a.奇怪的，古怪的
   question             n.发问；问题；疑问
   queue                n.行列 vi.排队等候
   quick                a.快的；敏捷的
   quicken              vt.加快 vi.加快
   quickly              ad.快，迅速
   quiet                a.寂静的；安静的
   quilt                n.被(子)
   quit                 vt.离开，退出；停止
   quite                ad.完全；相当；的确
   quiz                 n.小型考试，测验
   quotation            n.引用；引文；报价单
   quote                vt.引用，引证；报价
 
