   rabbit               n.兔子，野兔
   race                 n.比赛，竞赛，竞争
   rack                 vt.使苦痛，折磨
   racket               n.球拍
   radar                n.雷达，无线电探测器
   radiate              vi.发射光线；辐射
   radiation            n.放射，发射；辐射能
   radio                n.无线电；收音机
   radioactive          a.放射性的
   radioactivity        n.放射性，放射(现象)
   radish               n.小萝卜
   radium               n.镭
   radius               n.半径
   rag                  n.破布，碎布，抹布
   rage                 n.(一阵)狂怒，盛怒
   raid                 n.袭击；突然搜查
   rail                 n.横条，横杆；铁轨
   railroad             n.铁路 vi.由铁路运输
   rake                 n.耙子 vi.耙；搜索
   range                n.排，行；山脉；范围
   rank                 n.排，横行；社会阶层
   rapid                a.快的 n.急流
   rapidly              ad.迅速地
   rare                 a.稀薄的；稀有的
   rarely               ad.很少，难得
   rat                  n.老鼠，耗子
   rate                 n.比率；速度；价格
   rather               ad.宁可，宁愿；相当
   ratio                n.比，比率
   rational             a.理性的；出于理性的
   raw                  a.未煮过的；未加工的
   ray                  n.光线，射线，辐射线
   razor                n.剃刀
   reach                vt.抵达；伸出vi.达到
   react                vi.起反应；有影响
   reaction             n.反应；反作用
   read                 vt.读，看懂 vi.读
   reader               n.读者；读物，读本
   readily              ad.乐意地；无困难地
   reading              n.读，阅读；读书
   ready                a.准备好的；愿意的
   real                 a.真的；现实的
   reality              n.现实；真实
   realize              vt.实现；认识到
   really               ad.真正地；实在
   realm                n.王国，国土；领域
   reap                 vt.&vi.收割，收获
   rear                 n.后部，后面；背面
   rear                 vt.抚养，培养；栽种
   reason               n.理由；理性 vi.推理
   reasonable           a.合情合理的；公道的
   rebel                vi.造反 n.造反者
   rebellion            n.造反；叛乱；反抗
   recall               vt.回想；叫回；收回
   receipt              n.收到；收条，收据
   receive              vt.收到；得到；接待
   receiver             n.收受者，收件人
   recent               a.新近的，最近的
   recently             ad.最近，新近
   reception            a.接待；招待会；接受
   recite               vt.&vi.背诵，朗诵
   recognition          n.认出，识别；承认
   recognize            vt.认识，认出；承认
   recollect            vt.回忆，追忆，想起
   recommend            vt.推荐，介绍；劝告
   recommendation       n.推荐，介绍；劝告
   record               n.记录；履历 vt.记录
   recorder             n.记录者；录音机
   recover              vt.重新获得；挽回
   recovery             n.重获；痊愈，恢复
   red                  a.红色的 n.红色
   reduce               vt.减少，减小；简化
   reduction            n.减少，减小，缩减
   reed                 n.芦苇，芦杆，芦丛
   reel                 n.卷轴，卷筒
   refer                vt.使求助于 vi.谈到
   reference            n.参考；出处；提及
   refine               vt.&vi.精炼，提纯
   reflect              vt.反射；反映；思考
   reflection           n.反射；映象；反映
   reflexion            n.反射；映象；反映
   reform               vt.&n.改革，改良
   refresh              vt.使清新vi.恢复精神
   refreshment          n.茶点，点心，便餐
   refrigerator         n.冰箱，冷藏库
   refuge               n.避难，庇护；庇护者
   refusal              n.拒绝
   refuse               vt.拒绝 vt.拒绝
   refute               vt.驳斥，反驳，驳倒
