   sack                 n.袋，麻袋；开除
   sacred               a.上帝的；神圣的
   sacrifice            n.&vt.牺牲；南祭
   saddle               n.鞍子，马鞍
   safety               n.安全，保险
   sail                 n.帆；船  vi.航行
   sailor               n.水手，海员，水兵
   saint                n.圣徒；基督教徒
   sake                 n.缘故，理由
   salad                n.色拉；莴苣，生菜
   salary               n.薪金，薪水
   sale                 n.卖；拍卖；销售额
   salesman             n.售货员，推销员
   salt                 n.盐；盐类 vt.加盐于
   salute               n.招呼，行礼 vi.行礼
   same                 a.同一的，相同的
   sample               n.样品；实例，标本
   sand                 n.沙，沙子；沙滩
   sandwich             n.三明治 vt.夹入
   sandy                n.沙的，含沙的
   satellite            n.卫星；人造卫星
   satisfaction         n.满意；快事；赔偿
   satisfactory         a.令人满意的，良好的
   satisfy              vt.满足；使满意
   Saturday             n.星期六
   sauce                n.调味汁，酱汁
   saucer               n.茶托，浅碟
   sausage              n.香肠，腊肠
   scale                n.天平，磅秤，秤
   scale                n.标度；比例；大小
   scan                 vt.细看；浏览；扫描
   scar                 n.伤疤，伤痕；创伤
   scarce               a.缺乏的；希有的
   scarcely             ad.仅仅；几乎不
   scare                vt.惊吓 vi.受惊
   scarf                n.围巾，头巾；领带
   scatter              vt.使消散；撒；散播
   scene                n.发生地点；道具
   scenery              n.舞台布景；风景
   scent                n.气味，香味；香水
   schedule             n.时间表；计划表
   scheme               n.计划，规划；诡计
   scholar              n.学者(尤指文学方面)
   scholarship          n.学业成绩；奖学金
   scientist            n.(自然)科学家
   scissors             n.剪刀，剪子
   scold                vi.责骂 vt.申斥
   scope                n.范围；余地，机会
   score                n.得分，比数，成绩
   scorn                n.轻蔑；嘲笑 vt.轻蔑
   scout                n.侦察员，侦察机
   scrape               vt.&vi.&n.刮，擦
   scratch              vt.&vi.&n.搔；抓
   scream               vi.尖叫；呼啸
   screen               n.屏；屏幕 vt.掩蔽
   screw                n.螺旋，螺丝 vt.拧紧
   search               vt.在…中搜寻，搜查
   season               n.季，季节，时节
   secret               a.秘密的；隐蔽的
   secretary            n.秘书；书记；大臣
   section              n.切片；一段；部门
   secure               a.安心的；安全的
   security             n.安全，安全感
   seize                vt.抓住，逮捕；夺取
   seldom               ad.很少，不常，难得
   select               vt.&vi.选择，挑选
   selection            n.选择，挑选；精选物
   semester             n.半年；学期，半学年
   semiconductor        n.半导体
   senate               n.参议院，上院
   senior               a.年少的；地位较高的
   sense                n.感官；感觉；见识
   sensible             a.感觉得到的；明智的
   sensitive            a.敏感的；灵敏的
   sentence             n.判决；句子 vt.宣判
   separate             a.分离的；个别的
   separately           ad.分离地
   separation           n.分离，分开；分居
   September            n.九月
   sequence             n.连续，继续；次序
   series               n.连续，系列；丛书
   serious              a.严肃的；认真的
   seriously            ad.严肃地，认真地
   servant              n.仆人，佣人，雇工
   serve                vt.为…服务；招待
   service              n.服务；行政部门
   session              n.会议，一段时间
   settlement           n.解决；殖民，殖民地
   severely             ad.严厉地，严格地
   sew                  vt.缝制 vi.缝纫
   shade                n.荫；遮光物 vi.荫蔽
   shadow               n.阴影，阴，影子
   shady                a.成荫的，阴凉的
   shake                vt.摇，使震动 n.摇动
   shall                aux.v.将要；必须；应
   shallow              a.浅的；浅薄的
   shame                n.羞耻，羞愧；羞辱
   shampoo              vt.用洗发剂洗 n.洗头
   shape                n.形状；情况 vt.形成
   shave                vt.剃，刮 vi.修面
   shear                vt.剪；剥夺 vi.剪
   shed                 vt.流出；散发；脱落
   shed                 n.棚，小屋；贷棚
   sheep                n.羊，绵羊
   sheet                n.被单；纸张；薄板
   shelf                n.搁板，架子
   shell                n.壳；贝壳；炮弹
   shelter              n.隐蔽处；掩蔽，庇护
   shepherd             n.牧羊人，羊倌
   shield               n.盾；防护物 vt.保护
   shift                vt.替换，转移 n.转换
   shilling             n.先令
   shine                vi.照耀，发光 n.光
   ship                 n.(大)船，海船，舰
   shirt                n.(男式)衬衫
   shiver               vi.颤抖，哆嗦 n.冷颤
   shock                n.冲击；震惊 vi.震动
   shoe                 n.鞋
   shoot                vt.发射；射中 n.发芽
   shop                 n.商店，店铺；车间
   shopkeeper           n.店主
   shopping             n.买东西，购物
   shore                n.滨，岸
   shortage             n.不足，缺少，不足额
   shortcoming          n.短处，缺点
   shortly              ad.立刻；简短地
   shot                 n.发射；弹丸；射门
   should               aux.v.将；万一；就
   shoulder             n.肩，肩膀；挑起
   shout                n.&vi.呼喊，喊叫
   show                 vt.给…看；表明
   shower               n.阵雨；(一)阵；淋浴
   shriek               vi.尖声喊叫 n.尖叫声
   shrink               vi.收缩；缩小；退缩
   shut                 vt.关上，闭上，关闭
   sightseeing          n.观光，游览
   significance         n.意义，意味；重要性
   significant          n.有意义的；重要的
   silence              n.沉默 vt.使沉默
   silent               a.沉默的；寂静无声的
   silk                 n.蚕丝，丝，丝织品
   silly                a.傻的，愚蠢的
   silver               n.银；银子；银器
   similar              a.相似的，类似的
   similarly            ad.类似地，相似地
   simple               a.简单的；朴素的
   simplicity           n.简单，简易；朴素
   simplify             vt.简化，使单纯
   simply               ad.简单地；朴素地
   sin                  n.罪，罪孽 vi.犯罪
   singular             a.单一的；非凡的
   sink                 vi.下沉；下垂；降低
   situation            n.位置；处境；形势
   skate                n.冰鞋；滑冰 vi.滑冰
   sketch               n.略图；速写；概略
   ski                  n.滑橇 vi.滑雪
   skim                 vt.掠过，擦过；略读
   slave                n.奴隶；苦工
   slavery              n.奴隶制度；苦役
   sleeve               n.袖子，袖套
   slender              a.细长的；微薄的
   slice                n.薄片，切片；部分
   slide                vi.滑 vt.使滑动 n.滑
   slight               a.细长的；轻微的
   slightly             ad.稍微，有点
   slip                 vi.滑跤；滑落；溜
   slipper              n.拖鞋，便鞋
   slippery             a.滑的，使人滑跤的
   slit                 n.裂缝 vt.切开，撕开
   slogan               n.标语，口号
   slope                n.倾斜；斜面 vi.倾斜
   slum                 n.贫民窟，贫民区
   sly                  a.狡猾的；躲躲闪闪的
   soak                 vt.浸，泡 vi.浸泡
   soap                 n.肥皂
   sob                  vi.&n.啜泣，呜咽
   sober                a.清醒的；适度的
   socialism            n.社会主义
   socialist            a.社会主义的
   society              n.社会；团体；社交界
   sock                 n.短袜
   soda                 n.碳酸钠，纯碱；汽水
   soft                 a.软的；柔和的
   softly               ad.柔软地；温柔地
   solely               ad.单独地，唯一地
   solemn               a.庄严的；隆重的
   solid                a.固体的 n.固体
   soluble              a.可溶的；可以解决的
   solution             n.解决，解答；溶解
   solve                vt.解答，解释，解决
   sophisticated        a.老于世故的；高级的
   sore                 a.痛的；恼火的 n.疮
   sorrow               n.悲痛，悲哀，悲伤
   sorry                a.难过的；对不起的
   sow                  vt.播(种) vi.播种
   space                n.空间；场地；空白
   spacecraft           n.航天器，宇宙飞船
   spaceship            n.航天飞船
   spade                n.铲，铁锹
   span                 n.跨距；一段时间
   Spanish              a.西班牙的n.西班牙人
   spare                vt.节约 a.多余的
   spark                n.火花，火星
   sparkle              vi.发火花 vt.使闪耀
   sparrow              n.麻雀
   speak                vi.说话；发言 vt.说
   speaker              n.说话者；扬声器
   spear                n.矛，枪
   special              a.特殊的；专门的
   specialist           n.专家
   specific             a.特有的；具体的
   specify              vi.指定，详细说明
   specimen             n.样本，标本，样品
   spectacle            n.光景，景象；眼镜
   speech               n.言语；演说；方言
   speed                n.快；速率 vi.快行
   spell                vt.拼写 vi.拼字
   spelling             n.拼字，拼法，拼写法
   spend                vt.用钱，花费；度过
   sphere               n.球，圆体；范围
   spider               n.蜘蛛
   spill                vt.使溢出 vi.溢出
   spin                 vt.纺；使旋转 n.旋转
   spirit               n.精神；气魄；情绪
   spiritual            a.精神的，心灵的
   spit                 vi.吐 vi.吐唾沫
   splash               vt.&n.溅，泼，飞溅
   splendid             a.壮丽的；显著的
   split                vt.劈开 vi.被劈开
   spoil                vt.损坏，糟蹋；宠坏
   sponge               n.海绵
   sponsor              n.发起者 vt.发起
   spontaneous          a.自发的；本能的
   spoon                n.匙，调羹
   spray                n.浪花；喷雾 vt.喷
   spread               vt.伸开；传播 n.传播
   spring               vi.跳，跃 n.跳跃；泉
   spring               n.春天，春季
   springtime           n.春季，春天
   sprinkle             n.洒，撒；小雨
   spur                 n.刺激物 vt.刺激
   spy                  n.间谍，特务 vt.侦察
   square               n.正方形；广场
   squeeze              vt.&vi.榨，挤；压榨
   squirrel             n.松鼠
   stab                 vt.&vi.&n.刺，戳
   stability            n.稳定，稳定性，巩固
   stable               a.稳定的，不变的
   stable               n.厩，马厩，牛棚
   stack                n.堆，垛 vt.堆积
   stadium              n.露天大型运动场
   staff                n.工作人员；参谋
   stage                n.舞台；戏剧；阶段
   stain                vt.沾污；给…着色
   stair                n.楼梯
   staircase            n.楼梯，楼梯间
   stake                n.桩；赌金；奖品
   stale                n.陈腐的；走了气的
   stamp                n.戳子；邮票；标志
   stand                vi.站；坐落 n.架，台
   standard             n.标准 a.标准的
   standpoint           n.立场，观点
   startle              vt.使大吃一惊 n.吃惊
   starve               vi.饿死 vt.使饿死
   state                n.状态；国家；州
   state                vt.陈述，说明，阐明
   statement            n.陈述，声明
   statesman            n.政治家，国务活动家
   statistical          a.统计的，统计学的
   statue               n.塑像，雕像，铸像
   status               n.地位，身分
   stay                 vi.停留；住 n.逗留
   steadily             ad.稳定地，不变地
   steady               a.稳固的 vt.使稳定
   steal                vt.偷，窍取
   steam                n.蒸汽 vi.蒸发 vt.蒸
   steamer              n.轮船，汽船
   steel                n.钢，钢铁
   steep                a.险峻的，陡峭的
   steer                vt.&vi.驾驶
   stem                 n.茎，(树)干 vi.起源
   step                 n.(脚)步；步骤 vi.走
   stern                a.严厉的；坚定的
   steward              n.乘务员，服务员
   stewardess           n.空中小姐，女乘务员
   stick                n.棍，棒 vt.刺；粘贴
   sticky               a.粘性的；胶粘的
   stiff                a.硬的；僵直的
   stiffen              vt.使硬；使僵硬
   still                a.静止的 n.寂静
   stimulate            vt.刺激，激励，激发
   sting                vt.刺；刺痛 vi.&n.刺
   stir                 vt.动；拨动；激动
   stitch               n.一针；针脚 vt.缝
   stock                n.原料；库存品；股本
   stocking             n.长(统)袜
   stomach              n.胃；肚子；食欲
   stone                n.石，石头；宝石
   stony                a.多石的；冷酷的
   stool                n.凳子
