   table                n.桌子；餐桌；项目表
   tablet               n.碑，匾；药片
   tag                  n.附加语；标签
   tail                 n.尾巴；末尾部分
   tailor               n.裁缝 vt.裁制衣服
   take                 vt.拿；抓；拿走；吃
   tale                 n.故事，传说
   talent               n.天才；才能；人才
   tame                 a.驯服的；顺从的
   tan                  n.棕褐色 a.棕黄色的
   tank                 n.坦克；大容器，槽
   tap                  vt.&vi.&n.轻叩
   tap                  n.塞子；龙头 vt.开发
   tape                 n.线带；磁带，录音带
   target               n.靶，标的；目标
   task                 n.任务，工作，作业
   taste                vt.尝；尝到 n.味觉
   tax                  n.税，税款；负担
   taxi                 n.出租汽车
   tea                  n.茶；茶叶；茶树
   teach                vt.讲；教育 vt.教书
   teacher              n.教师，老师，先生
   teaching             n.教学，讲授；教导
   team                 n.队，组
   tear                 n.眼泪，泪珠
   tear                 vt.撕开，撕裂
   technical            a.技术的，工艺的
   technician           n.技术员，技师
   technique            n.技术，技巧；技能
   technology           n.工艺学，工艺，技术
   tedious              a.冗长乏味的，沉闷的
   teenager             n.青少年
   telegram             n.电报
   telegraph            n.电报机；电报
   telephone            n.电话 vi.打电话
   telescope            n.望远镜
   television           n.电视；电视机
   tell                 vt.讲述；吩咐；辨别
   temper               n.韧度；心情，情绪
   temperature          n.温度；体温
   temple               n.圣堂，神殿，庙宇
   temporary            a.暂时的，临时的
   tempt                vt.引诱，诱惑；吸引
   temptation           n.诱惑，引诱
   tenant               n.承担人，房客，佃户
   tend                 vt.照管，照料，护理
   tend                 vi.走向，趋向；倾向
   tendency             n.趋向，趋势，倾向
   tender               a.嫩的；脆弱的
   tennis               n.网球，网球运动
   tense                n.时态，时
   tense                a.拉紧的，绷紧的
   terminal             a.末端的 n.末端
   terrible             a.可怕的；极度的
   terrific             a.可怕的；极大的
   territory            n.领土，版图；领域
   terror               n.恐怖，惊骇
   test                 n.&vt.试验；检验
   text                 n.原文，本文；课文
   textbook             n.课本，教科书
   textile              n.纺织品 a.纺织的
   than                 conj.(比较级)比
   thank                vt.谢谢，感谢 n.感谢
   that                 a.那 pron.那 ad.那样
   the                  art.(定冠词)这，那
   theatre              n.戏院；戏剧；教室
   their                pron.他(她、它)们的
   theirs               pron.他(她)们的东西
   them                 pron.(宾格)他们
   themselves           pron.他们自己
   then                 ad.当时；然后；那么
   theoretical          a.理论(上)的
   theory               n.理论；学说；意见
   there                ad.在那里；在那点上
   thereby              ad.因此，从而，由此
   therefore            ad.因此，所以
   thermometer          n.温度计，寒暑表
   these                a.&pron.这些
   they                 pron.(主格)他(她)们
   thick                a.厚的；密的；浓
   thickness            n.厚(度)；密(度)
   thief                n.窃贼，偷窃犯
   thin                 a.薄的；淡的 vi.变薄
   thing                n.物；用品；事；情况
   think                vt.想；想要；认为
   third                num.第三；三分之一
   thirdly              ad.第三
   thirst               n.渴，口渴；渴望
   thirsty              a.渴的；渴望的
   thirteen             num.十三，十三个
   thirty               num.三十，三十个
   this                 a.这；今 pron.这
   thorn                n.刺，棘；荆棘；蒺藜
   thorough             a.彻底的；详尽的
   those                pron.那些
   though               conj.虽然 ad.可是
   thought              n.思想；思维；想法
   thoughtful           a.沉思的；体贴的
   thousand             num.千，千个 n.无数
   thread               n.线；丝；螺纹；头绪
   threat               n.威胁，恐吓，凶兆
   threaten             vt.&vi.威胁，恐吓
   three                num.三，三个
   thrill               n.一阵激动
   thrive               vi.兴旺，繁荣，旺盛
   throat               n.咽喉，喉咙；嗓音
   throne               n.宝座，御座；王位
   throng               n.群，人群 vt.挤满
   through              prep.穿过ad.从头到尾
   throughout           prep.遍及 ad.到处
   throw                vt.投，掷，抛，扔
   thrust               vt.插，刺 n.插；讽刺
   thumb                n.(大)拇指
   thunder              n.雷 vi.打雷 vt.吼出
   Thursday             n.星期四
   thus                 ad.如此，这样；因而
   tick                 n.滴答声；记号
   ticket               n.票，券；纲领；传票
   tide                 n.潮，潮汐；潮流
   tidy                 a.整洁的；整齐的
   tie                  n.领带；联系 vt.系
   tiger                n.虎
   tight                a.紧的；紧身的
   till                 prep.conj.直到…为止
   timber               n.木材，木料
   time                 n.时间；时机；次，回
   timetable            n.时间表，时刻表
   timid                a.胆怯的；羞怯的
   tin                  n.锡；罐头
   tiny                 a.微小的，极小的
   tip                  n.梢，末端，尖，尖端
   tip                  vt.轻击 vi.给小费
   tire                 vi.疲劳，累；厌倦
   tired                a.疲劳的；厌倦的
   tissue               n.薄绢；薄纸；组织
   title                n.标题，题目；称号
   to                   prep.到，向，达到
   toast                n.烤面包 vt.烘，烤
   toast                n.祝酒；祝酒词
   tobacco              n.烟草，烟叶
   today                ad.在今天；现在
   toe                  n.脚趾，足尖
   together             ad.共同，一起
   toilet               n.厕所，盥洗室，浴室
   tolerance            n.忍受，容忍；公差
   tolerate             vt.忍受，容忍，宽恕
   tomato               n.番茄，西红柿
   tomb                 n.坟，冢
   tomorrow             ad.在明天 n.明天
   ton                  n.吨；大量
   tone                 n.音；腔调；声调
   tongue               n.舌，舌头；语言
   tonight              ad.在今夜 n.今夜
   too                  ad.也，还；太，过分
   tool                 n.工具，器具，用具
   tooth                n.牙齿
   top                  n.顶；首位 a.顶的
   topic                n.题目，论题，话题
   torch                n.火炬，火把；手电筒
   torrent              n.奔流，激流，洪流
   tortoise             n.龟，乌龟
   torture              n.拷问；折磨 vt.拷打
   toss                 vt.&vi.扔，抛，掷
   total                a.总的 vi.合计，总共
   touch                vt.触摸；触动 n.触
   tough                a.坚韧的；健壮的
   tour                 n.&vi.旅行，游历
   tourist              n.旅游者，观光者
   toward(s)            prep.向；对于；接近
   towel                n.毛巾，手巾
   tower                n.塔 vi.屹立，高耸
   town                 n.镇，市镇，城镇
   toy                  n.玩具，玩物
   trace                n.痕迹；丝毫 vt.跟踪
   track                n.行踪；路径；轨道
   tractor              n.拖拉机；牵引车
   trade                n.贸易；职业 vi.交易
   tradition            n.传统，惯例
   traditional          a.传统的，惯例的
   traffic              n.交通，通行；交通量
   tragedy              n.悲剧；惨事，惨案
   trail                n.痕迹；小径 vt.跟踪
   train                vt.培养 n.列车；队列
   training             n.训练，锻炼，培养
   traitor              n.叛徒，卖国贼
   tram                 n.(有轨)电车
   tramp                n.流浪者，游民
   transfer             vt.转移；调动vi.转移
   transform            vt.改变；改造；变换
   transformation       n.变化；改造；转变
   transformer          n.变压器，转换器
   transistor           n.晶体管
   translate            vt.翻译，译 vt.翻译
   translation          n.翻译；译文，译本
   transmission         n.传送；传动；发射
   transmit             vt.传送，传达；发射
   transparent          a.透明的；易识破的
   transport            vt.运输 n.运输
   transportation       n.运输，运送，客运
   trap                 n.陷阱；诡计 vt.诱骗
   travel               vi.&vi.&n.旅行
   tray                 n.(浅)盘，托盘，碟
   treason              n.谋反，通敌，叛国罪
   treasure             n.财富；珍宝 vt.珍视
   treat                vt.对待；处理 n.款待
   treatment            n.待遇；治疗，疗法
   treaty               n.条约；协议，协定
   tree                 n.树
   tremble              vi.发抖，哆嗦；摇动
   tremendous           a.极大的，非常的
   trend                vi.伸向；倾向 n.倾向
   trial                n.试，试验；审判
   triangle             n.三角(形)
   tribe                n.部落，宗族
   trick                n.诡计；窍门 vt.哄骗
   trifle               n.小事，琐事；少许
   trim                 a.整齐的 vt.使整齐
   trip                 vi.绊；失足 vt .绊倒
   triumph              n.凯旋；胜利 vi.成功
   troop                n.军队；一群，大量
   tropical             a.热带的
   trouble              n.烦恼；困难 vi.烦恼
   troublesome          a.令人烦恼的；麻烦的
   trousers             n.裤子，长裤
   truck                n.卡车，载重汽车
   true                 a.真的；忠实的
   truly                ad.真正地；忠实地
   trumpet              n.喇叭，小号
   trunk                n.树干；大衣箱，皮箱
   trust                n.信任 vt.相信；委托
   truth                n.真理；真实；真实性
   try                  vt.试；审问 vi.尝试
   tub                  n.桶，盆，浴缸，浴盆
   tube                 n.管；电子管，显像管
   tuck                 vt.折短，卷起；塞
   Tuesday              n.星期二
   tuition              n.教，教诲；学费
   tumble               vi.摔倒，跌倒；打滚
   tune                 n.调子；和谐 vt.调谐
   tunnel               n.隧道，坑道，地道
   turbine              n.叶轮机，汽轮机
   turbulent            a.骚动的，骚乱的
   turkey               n.火鸡；火鸡肉
   turn                 vt.转；翻 vi.转动
   turning              n.旋转；变向；转弯处
   turnip               n.萝卜，芜菁
   tutor                n.家庭教师；导师
   twelfth              num.第十二
   twelve               num.十二，十二个
   twentieth            num.第二十
   twenty               num.二十，二十个
   twice                ad.两次，两倍
   twin                 a.孪生的 n.孪生儿
   twinkle              vi.闪烁，闪耀
   twist                vt.捻；拧 vi.&n.扭弯
   two                  num.二，两个
   type                 n.型，类型 vi.打字
   typewriter           n.打字机
   typhoon              n.台风
   typical              a.典型的，代表性的
   typist               n.打字员
   tyre                 n.轮胎，车胎
