ugly                 a.丑陋的；可怕的
   ultimate             a.最后的，最终的
   ultimately           ad.最终，最后
   umbrella             n.伞，雨伞
   unable               a.不能的，不会的
   unbearable           a.难堪的，忍受不了的
   uncertain            a.无常的；不确定的
   uncle                n.伯父，叔父，舅父
   uncomfortable        a.不舒服的；不自在的
   unconscious          a.不省人事的
   uncover              vt.揭开…的盖子
   under                prep.在…下面；低于.
   undergo              vt.经历，经受，忍受
   undergraduate        n.大学肆业生
   underground          a.地下的；秘密的
   underline            vt.划线于…之下
   underneath           ad.在下面，在底下
   understand           vt.懂；获悉 vi.懂得
   understanding        n.理解；理解力；协定
   undertake            vt.从事；承担；保证
   undertaking          n.任务，事业；许诺
   undo                 vt.解开，打开；取消
   undoubtedly          ad.无容置疑，肯定地
   uneasy               a.心神不安的，忧虑的
   unexpected           a.想不到的，意外的
   unfair               a.不公平的，不公正的
   unfortunate          a.不幸的；可取的
   unfortunately        ad.不幸地
   unhappy              a.不幸福的，不快乐的
   uniform              a.一样的 n.制服
   union                n.联合；团结；协会
   unique               a.唯一的，独一无二的
   unit                 n.单位；单元；部件
   unite                vi.联合 vt.使联合
   unity                n.单一；统一；团结
   universal            a.宇宙的；普遍的
   universe             n.宇宙，世界
   university           n.大学，综合性大学
   unjust               a.非正义的；不公平的
   unkind               a.不仁慈的，不和善的
   unknown              a.不知道的；未知的
   unless               conj.除非，如果不
   unlike               a.不同的 prep.不象…
   unlikely             a.未必的，未必可能的
   unload               vt.卸(货) vi.卸货
   unlucky              a.不幸的；不吉的
   unnecessary          a.不必要的，多余的
   unpleasant           a.令人不快的，讨厌的
   unsatisfactory       a.不能令人满意的
   unstable             a.不稳固的；不稳定的
   unsuitable           a.不合适的，不适宜的
   until                prep&conj.直到…为止
   unusual              a.不平常的；独特的
   unusually            a.不平常地，非常
   unwilling            a.不愿意的
   up                   ad.向上；起床，起来
   upon                 prep.在…上；在…旁
   upper                a.上面的；地位较高的
   upright              a.垂直的；正直的
   upset                vt.弄翻，打翻，倾覆
   upside-down          a.颠倒的，乱七八糟的
   upstairs             ad.在楼上 a.楼上的
   up-to-date           a.直到最近的，现代的
   upward               a.向上的，上升的
   upwards              ad.趋向上升；以上
   urge                 vt.推进；催促 n.冲动
   urgent               a.紧急的；强求的
   us                   pron.(宾格)我们
   usage                n.使用，对待；惯用法
   use                  vt.用；耗费 n.用
   used                 vi.过去常常
   used                 a.旧的；习惯于…的
   useful               a.有用的，有益的
   useless              a.无用的，无价值的
   user                 n.用户，使用者
   usual                a.通常的；平常的
   usually              ad.通常
   utility              n.效用，有用，实用
   utilize              vt.利用
   utmost               a.最远的 n.极限
   utter                a.完全的，彻底的
   utter                vt.发出，说，讲
   vacant               a.空的；未被占用的
   vacation             n.假期，休假
   vacuum               n.真空；真空吸尘器
   vague                a.模糊的，含糊的
   vain                 a.徒劳的；自负的
   valid                a.有效的；正当的
   valley               n.(山)谷，溪谷；流域
   valuable             a.值钱的；有价值的
   value                n.价值；价格 vt.评价
   van                  n.大篷车，运货车
   vanish               vi.突然不见，消失
   vanity               n.虚荣心，虚夸
   vapour               n.汽，蒸气
   variable             a.易变的 n.变量
   variation            n.变化，变动；变异
   variety              n.多样化；种类；变种
   various              a.各种各样的，不同的
   vary                 vt.改变；使多样化
   vase                 n.瓶，花瓶
   vast                 a.巨大的；大量的
   vegetable            n.植物；蔬菜
   vehicle              n.车辆，机动车
   veil                 n.面纱，面罩；遮蔽物
   velocity             n.速度，速率
   velvet               n.丝绒，天鹅绒
   venture              n.&vi.冒险 vt.敢于
   verb                 n.动词
   verify               vt.证实，查证；证明
   version              n.译文；说法；改写本
   vertical             a.垂直的，竖式的
   very                 ad.很；完全 a.真的
   vessel               n.容器；船，飞船；管
   vest                 n.汗衫；背心；内衣
   veteran              n.老兵，老手
   vex                  vt.使烦恼，使恼火
   via                  prep.经过；通过
   vibrate              vt.使颤动 vi.颤动
   vibration            n.颤动，振动；摆动
   vice                 n.罪恶；恶习；缺点
   vice                 n.(老)虎钳
   victim               n.牺牲者，受害者
   victorious           a.胜利的，得胜的
   victory              n.胜利，战胜
   video                a.电视的 n.电视
   view                 n.看；视力；风景
   viewpoint            n.观点，看法，见解
   vigorous             a.朝气蓬勃的
   village              n.乡村，村庄
   vinegar              n.醋
   violence             n.猛烈，激烈；暴力
   violent              a.猛烈的；狂暴的
   violet               n.紫罗兰
   violin               n.小提琴
   virtually            ad.实际上，事实上
   virtue               n.善；美德；优点
   visible              a.可见的，看得见的
   vision               n.视；想象力；梦幻
   visit                vt.&n.访问，参观
   visitor              n.访问者；游客
   visual               a.看的；看得见的
   vital                a.生命的；有生命力的
   vitamin              n.维生素，维他命
   vivid                a.鲜艳的；生动的
   vocabulary           n.词汇表；词汇，语汇
   voice                n.说话声；意见；语态
   volcano              n.火山
   volleyball           n.排球，排球运动
   volt                 n.伏特，伏
   voltage              n.电压
   volume               n.卷，册；容积；音量
   voluntary            a.自愿的，志愿的
   vote                 n.选举，投票，表决
   voyage               n.&vi.航海，航空
