   wage                 n.工资，报酬
   waggon               n.四轮运货马车
   waist                n.腰，腰部
   wait                 vi.等，等候 n.等待
   waiter               n.侍者，服务员
   wake                 vi.醒，醒来 vt.唤醒
   waken                vi.醒来 vt.弄醒
   walk                 vi.&n.走，步行
   wall                 n.墙，壁，围墙，城墙
   wallet               n.钱包，皮夹子
   wander               vi.漫游；迷路；离题
   want                 vt.要 n.需要；缺乏
   war                  n.战争；冲突，斗争
   warn                 vt.警告 vi.发生警告
   wash                 vt.洗；冲出 vi.洗涤
   waste                n.浪费；废物；垃圾
   watch                vt.&vi.观看 n.手表
   water                n.水 vt.使湿，灌溉
   waterfall            n.瀑布
   waterproof           a.不透水的，防水的
   wave                 n.波；波涛 vi.波动
   wavelength           n.波长
   wax                  n.蜡，蜂蜡
   way                  n.路；路线；方向
   weakness             n.虚弱，软弱；弱点
   wealth               n.财富，财产；丰富
   wealthy              a.富的，富裕的
   weapon               n.武器，兵器
   wear                 vt.穿着，戴；磨损
   weary                a.疲倦的 vt.使疲乏
   weather              n.天气
   weave                vt.织，编 vi.纺织
   wedding              n.婚礼
   Wednesday            n.星期三
   weed                 n.杂草，野草 vi.除草
   week                 n.星期，周
   weekday              n.周日，工作日
   weekend              n.周末，周末假期
   weekly               a.每周的 ad.每周
   weep                 vi.哭泣，流泪
   weigh                vt.称…的重量；掂量
   weight               n.重；砝码；重担
   welcome              int.&n.&vt.欢迎
   weld                 vt.&n.焊接，熔接
   welfare              n.幸福，福利
   well                 n.井
   well                 ad.好；完全地 int.嘿
   well-known           a.众所周知的，出名的
   west                 n.西；西洋 a.西方的
   western              a.西方的，西部的
   westward             a.向西的 ad.向西
   wet                  a.湿的；下雨的
   what                 pron.什么 a.什么
   whatever             pron.无论什么
   wheat                n.小麦
   wheel                n.轮，车轮
   when                 ad.什么时候；当…时
   whenever             conj.无论何时，每当
   where                ad.在哪里 pron.哪里
   wherever             ad.究竟在哪里
   whether              conj.是否
   which                pron.哪一个 a.哪一个
   whichever            a.无论哪个，无论哪些
   while                conj.当…的时候；而
   whilst               conj.&n.当…的时候
   whip                 vt.鞭笞；搅打 n.鞭子
   whirl                vt.使回旋 vi.&n.回旋
   whisky               n.威士忌酒
   whisper              vt.低声地讲 vi.低语
   whistle              n.口哨 vi.吹口哨
   white                a.白的 n.白色
   whitewash            vt.粉刷，涂白
   who                  pron.谁；…的人
   whoever              pron.谁；无论谁
   whole                a.完整的 n.全部
   wholly               ad.完全地，全部
   wicked               a.坏的；令人厌恶的
   widespread           a.分布广的，普遍的
   widow                n.寡妇
   width                n.宽阔，广阔；宽度
   wife                 n.妻子
   wild                 a.野生的；野蛮的
   will                 aux.v.将要，会；愿
   willing              a.愿意的，心甘情愿的
   win                  vi.获胜，赢 vt.赢得
   wind                 n.风；气息，呼吸
   wind                 vt.绕，缠绕 vi.卷曲
   window               n.窗子，窗户，窗口
   wine                 n.葡萄酒，果酒
   wing                 n.翼，翅膀，翅
   winner               n.获胜者，优胜者
   winter               n.冬天，冬季
   wipe                 vt.&n.揩，擦
   wire                 n.金属线；电缆；电信
   wireless             a.不用电线的，无线的
   wisdom               n.智慧，才智；名言
   wise                 a.有智慧的，聪明的
   wish                 vt.祝；想要 n.希望
   wit                  n.智力，才智，智能
   with                 prep.和…一起；具有
   withdraw             vt.收回；撤回vi.撤退
   within               prep.在…里面
   without              prep.无，没有，不
   withstand            vt.抵挡，反抗
   witness              n.证据；证人 vt.目击
   wolf                 n.狼
   woman                n.妇女，女人，女性
   wonder               n.惊异，惊奇；奇迹
   wonderful            a.惊人的；极好的
   wood                 n.树林，森林；木头
   wooden               a.木制的；呆板的
   wool                 n.羊毛；毛线，绒线
   woollen              a.羊毛制的，毛线的
   word                 n.词；话；消息；语言
   work                 n.工作；职业 vi.工作
   worker               n.工人；工作者，人员
   workman              n.工人，劳动者，工匠
   workshop             n.车间，工场；创作室
   world                n.世界；世人；世间
   world-wide           a.遍及全球的
   worm                 n.虫，蠕虫
   worry                vt.使烦恼 vi.发愁
   worse                a.更坏的 ad.更坏
   worship              n.礼拜；崇拜 vt.崇拜
   worst                a.最坏的 ad.最坏地
   worth                a.值…的 n.价值
   worthless            a.无价值的，无用的
   worthwhile           a.值得花时间的
   worthy               a.有价值的；值得的
   would                aux.v.将；愿；总是
   wound                n.创伤，伤 vt.使受伤
   wrap                 vt.裹，包，捆 n.披肩
   wreath               n.花环，花圈，花冠
   wreck                n.失事；残骸 vt.破坏
   wrist                n.腕，腕关节
   write                vt.书写；写 vi.写
   writer               n.作者，作家，文学家
   writing              n.书写，写；著作
   wrong                a.错误的 ad.错，不对
   X-ray                n.X射线，X光
   yard                 n.院子，庭院；场地
   yard                 n.码
   yawn                 vi.打呵欠 n.呵欠
   year                 n.年；年年
   yearly               a.每年的 ad.一年一度
   yell                 vi.叫喊
   yellow               a.黄(色)的 n.黄(色)
   yes                  ad.是，是的
   yesterday            n.&ad.昨天，昨日
   yet                  ad.还；已经 conj.而
   yield                vt.&vi.出产 n.产量
   you                  pron.你，你们
   young                a.年轻的 n.青年们
   your                 pron.你的，你们的
   yours                pron.你们的(东西)
   yourself             pron.你自己；你亲自
   youth                n.青春；青年们；青年
   youthful             a.年轻的，青年的
   zeal                 n.热心，热情，热忱
   zealous              a.热心的，热情的
   zebra                n.斑马
   zero                 n.零；零点，零度
   zone                 n.地区，区域，范围
   zoo                  n.动物园 
