abbreviation n.节略，缩写，缩短
abide vt.遵守；vt.忍受
abolish vt.废除，取消
absent a.不在意的
absorption n.吸收；专注
abstract a.理论上的；n.抽象
absurd a.不合理的，荒唐的
abundance n.丰富，充裕
accessory n.同谋；a.附属的
accord n.调和，符合；协议
acknowledge vt.承认；告知收到
acquaint vt.使认识，使了解
action n.作用；情节
adhere vi.粘附；追随；坚持
adjacent a.毗连的；紧接着的
adjoin vt.贴近，毗连；靠近
adjustable a.可调整的，可校准的
administration n.局(或署、处等)
admiration n.钦佩；赞美，羡慕
adoption n.收养；采纳，采取
adore vt.崇拜；很喜欢
advantageous a.有利的，有助的
advertise vt.通知；vi.登广告
advocate n.辩护者；vt.拥护
aerial a.空气的；航空的
aerospace n.航空和宇宙航行空间
affirm vt.断言，批准；证实
agitation n.鼓动，煸动；搅动
agreeable a.惬意的；同意的
alas int.唉，哎呀
album n.粘贴簿；相册；文选
alert a.警惕的；活跃的
algebra n.代数学
alien a.外国的；n.外国人
alignment n.队列；结盟，联合
allied a.联合的；联姻的
allowance n津贴，补助费
alongside prep.在…旁边
ally n.盟国，同盟者，伙伴
alteration n.变更，改变；蚀变
alternate vt.使交替；a.交替的
amateur a.业余的n.业余爱好者
ambassador n.大使，使节
ambient a.周围的，包围着的
ambiguous a.模棱两可的；分歧的
ambitious a.有雄心的；热望的
ample a.足够的；宽敞的
amplitude n.广大；充足；振幅
amusement n.娱乐，消遣，乐趣
analogue n.类似物；同源语
analogy n.相似，类似；比拟
analytic(al)；a.分析的；分解的
anniversary n.周年纪念日
announce vt.报告…的来到
annually ad.年年，每年
anode n.阳极，正极，板极
answer vi.符合，适合
antarctic a.南极的；n.南极区
antenna n.触角；天线
antique a.古代的；n.古物
anybody n.重要人物
apparent a.显然的
appendix n.附录，附属物；阑尾
applaud vt.喝彩；欢呼vi.欢呼
applause n.喝彩；夸奖，称赞
appreciable a.可估价的；可察觉的
appreciation n.欣赏；鉴别；感激
apt a.恰当的；聪明的
arc n.弧，弓形物；弧光
arch n.拱门；vt.用拱连接
architect n.建筑师；创造者
arctic a.北极的；n.北极
array vt.装扮；n.队列；排列
ascend vi.攀登，登高；追溯
ascertain vt.查明，确定，弄清
ascribe vt.把…归于
ashore ad.在岸上，上岸
ass n.驴；傻瓜，蠢笨的人
assassinate vt.暗杀，行刺；中伤
assault vt.袭击；殴打；n.攻击
assert vt.断言，宣称；维护
assessment n.估定；查定；估计数
assumption n.采取；假定；傲慢
assurance n.保证；财产转让书
astonishment n.惊奇，惊讶
astronomy n.天文学
atom n.微粒；微量
attachment n.连接物，附件；爱慕
attendance n.到场；出席人数
attendant n.侍者；护理人员
attorney n.代理人；辩护律师
audience n.正式会见；拜会
author n.创造者，创始人
automate vt.使自动化
avail vt.有益于；n.效用
availability n.有效(性)；可得性
aviation n.飞行
awake vi.认识到
awful a.威严的；令人崇敬的
awkward a.不雅观的
axial a.轴的；轴向的
axis n.轴，轴线；第二颈椎
axle n.(轮)轴，车轴，心棒
