bachelor n.未婚男子；学士
bacon n.咸猪肉，熏猪肉
bacterium n.细菌；拳击迷
badge n.徽章，像章；标志
baffle vt.使挫折；n.迷惑
bait n.饵；引诱物
balcony n.阳台；楼厅，楼座
bald a.秃头的；无毛的
ballet n.芭蕾舞；舞剧
bamboo n.竹；竹杆，竹棍
bandage n.绷带，包带
bandit n.土匪，盗匪，歹徒
bank vi.把钱存入银行
banker n.银行家
bankrupt a.破产的；vt.使破产
banquet n.宴会，盛会，酒席
barely ad.仅仅，勉强
barge n.驳船；大型游船
barley n.大麦
barometer n.气压计，睛雨表
barren a.贫瘠的；不妊的
baseball n.棒球；棒球运动
basement n.地下室；地窖；底层
basin n.内海；盆地，流域
battery n.炮兵连；兵器群
battle vi.战斗；vt.与…作战
bazaar n.集市，廉价商店
bead n.有孔小珠；露珠
beam vi.发光，发热；微笑
bearing n.支承；忍受；方位
beetle n.甲虫；近视眼的人
beforehand ad.预先；提前地
bend vt.使屈从；vi.屈从
bestow vt.把…赠与
between ad.当中，中间
beware vt.&vi.谨防，当心
bewilder vt.迷惑，把…弄糊涂
bid vt.命令；vi.报价
bishop n.(基督教的)主教
bitterness n.苦味，辛酸，苦难
blacksmith n.铁匠，锻工
blast n.管乐器的声音
blaze vt.使燃烧；vi.燃烧
bleach vt.漂白；vi.变白
blind n.百叶窗；窗帘；遮帘
block n.阻塞；障碍物；炮闩
blond n.白肤金发碧眼的人
blouse n.女衬衫；童衫；罩衫
blue a.伤心的；下流的
blunder vi.犯大错；n.大错
blush vi.脸红，害臊；n.脸红
board vt.(收费)供…膳食
body n.物体；(液)体；实质
boiler n.锅炉；热水贮槽
bore n.讨厌的人；麻烦事
bound a.应当的；必定的
bourgeois a.资产阶级的；平庸的
boycott vt.&n.联合抵制
brace n.支柱；vt.拉紧，撑牢
brand vt.在…上打烙印
breakdown n.崩溃，倒塌；失败
breed n.(动物)品种
bribe n.贿赂；vt.向…行贿
bridegroom n.新郎
bridge vt.架桥于，用桥连接
bridle n.笼子；束缚；vt.抑制
brightness n.明亮，辉煌，聪明
broaden vt.&vi.放宽，变阔
bronze n.青铜色
brood vt.沉思vi.郁闭地沉思
Buddhism n.佛教，释教
budget n.预算，预算案
buffalo n.水牛；水陆坦克
bugle n.军号，喇叭
bull n.买空的证券投机商
bulletin 告示，公告，公报
bump vt.撞击；vi.撞；n.肿块
bureaucracy n.官僚主义；官僚机构
burglar n.夜盗，窃贼
burial n.安葬，埋葬，埋藏
buzz vi.(蜂等)嗡嗡叫
bypass n.旁通管；vt.绕过
by-product n.副产品
