cable n.海底电报
calculus n.微积分；结石
can vt.装罐头
cane n.(藤等)茎；手杖
cancel vt.删去，勾销，取消
capability n.能力，才能；性能
capacitance n.电容，电容量
capacitor n.电容器
cape n.披肩，斗篷；海角
captive a.被俘虏的；被迷住的
cartoon n.漫画，动画片
cartridge n.弹药筒，子弹；软片
catalogue vt.为…编目录
catalyst n.催化剂；刺激因素
category n.种类，类目；范畴
cater vi.迎合，投合
Catholic a.天主教的n.天主教徒
caution n.小心；告诫；vt.警告
cautious a.小心的，谨慎的
cavity n.洞，穴，空腔
cement vt.粘结；vi.粘紧
censor vt.审查，检查
cereal n.谷类，五谷，禾谷
certainty n.确实性，确信，确实
challenge n.艰巨任务；要求回避
champion n.斗士；提倡者
characterize vt.表示…的特性
charcoal n.炭，木炭；生物炭
charge n.负荷；充电；vt.装满
charm n.魅力；妩媚；vi.迷人
charter vt.租；n.宪章；契据
chatter vi.&n.喋喋不休
cheat n.欺诈；骗取
check n.支票，帐单
cherish vt.珍爱；怀有(感情)
chestnut n.栗子；栗树；栗色
chill vi.感到寒冷；冷淬
chip n.薄片，碎片
choice n.入选者；a.优等的
chop n.一块排骨，肉块
chord n.(乐器的)弦；vi.协调
chorus vt.&vi.合唱
Christ n.救世主(耶稣基督)
Christian a.基督教的
cigar n.雪茄烟，叶卷烟
circular n.传单，通报，通函
circulation n.循环；(货币等)流通
circus n.马戏；马戏团
cite vt.引用，引证；举例
civilian n.平民；a.平民的
claim n.权利，所有权
clamp n.夹子；vt.夹住，夹紧
clap n.拍手喝采声；霹雳声
clash n.碰撞声；抵触，冲突
clasp vt.扣住，扣紧，钩住
classic n.名著；a.不朽的
clatter n.得得声，卡嗒声
cleanliness n.清洁
clearing n.(森林中的)空旷地
client n.顾客；诉讼委托人
climax n.(兴趣的)顶点
cling vi.粘住；依附；坚持
clinic n.诊所，医务室；会诊
clip vt.夹住；n.夹子，钳子
clip vt.剪；剪辑报刊
cloak vt.掩盖，覆盖，掩饰
clockwise a.&ad.顺时针方向转的
closet n.小房间；壁碗橱
cloudy a.混浊的；模糊不清的
cluster n.一串；vt.使成群
clutch vt.抓住；vi.掌握，攫
coach vt.辅导，指导，训练
cock n.旋塞，开关，龙头
coefficient n.协同因素；系数，率
coffin n.棺材，柩
coherent a.粘着的；紧凑的
coin vt.铸造(硬币)
coincide vi.相符合；相巧合
coke n.焦炭；vt.&vi.炼焦
collaborate vi.协作，合作；协调
collide vi.碰撞；冲突，抵触
colonial a.殖民地的，殖民的
colonist n.移民；殖民地居民
combat vt.跟…战斗；vi.格斗
combustion n.燃烧；氧化；骚动
comedy n.喜剧；喜剧场面
commence vt.开始；vi.获得学位
commend vt.称赞，表扬；推荐
commission n.委托，委任；委托状
commodity n.日用品，商品，物品
commonplace a.平凡的；n.平常话
commonsense a.有常识的
commonwealth n.共和国；联邦
compact a.紧密的；vt.使紧凑
comparable a.可比较的；类似的
compatible a.一致的；兼容制的
compensate vt.&vi.补偿，赔偿
compensation n.补偿，赔偿，赔偿费
competitive a.竞争的，比赛的
competitor n.竞争者，敌手
complaint n.疾病，病痛；主诉
complement vt.补充；n.补足(物)
completion n.完成，结束，完满
complexity n.复杂(性)
complication n.复杂，混乱；并发症
compliment n.问候；vt.赞美，祝贺
comply vi.应允，遵照，照做
composer n.作曲家；调停人
composite a.合成的；n.合成物
composition n.组成，构成，结构
comprehend vt.了解，理解，领会
compression n.压缩，压紧，浓缩
compulsory a.强迫的，义务的
conceit n.自负，自高自大
conceive vt.设想，以为；怀孕
concentrate vt.&vi.浓缩，提浓
conception n.概念，观念，想法
concern n.所关切的事；商行
concert n.一齐，一致，协作
concession n.让步，迁就
confidence n.私房话，秘密，机密
confidential a.秘密的；亲信的
confirmation n.证实，确定；确认
conform vt.使遵守；vi.一致
confront vt.使面对；使对证
conqueror n.征服者，胜利者
consciousness n.意识，知觉，觉悟
consequence n.重要(性)，重大意义
consequent a.作为结果的；必然的
conservative a.有保存力的，防腐的
consistent a.前后一致的，连贯的
console n.悬臂，肘托；控制台
consolidate vt.巩固；vi.合并
constituent a.形成的；n.选民
constitute vt.构成，组成
constitution n.(人的)体格，素质
constraint n.强迫，结束；强制力
construction n.结构；作图(法)
consul n.领事
consumer n.消费者，用户
consumption n.消费(量)，灭绝
contend vi.竞争；vt.坚决主张
context n.上下文；来龙去脉
continental a.大陆的，大陆性的
contradict vt.反驳，否认
contrary n.反对命题
contrast vt.使对比vi.形成对比
controversy n.争论，辩论，争吵
convention n.公约，(换俘等)协定
convert vt.转变，改变，变换
convey vt.传达；传播；转让
conviction n.确信，信服，深信
cooperative a.合作的；n.合作社
coordinate a.同等的；n.同等的人
correctly ad.正确地，恰当地
correlate n.互相关联的事物
correlation n.相互关系；对射
correspondence n.通信；符合；对应
corrosion n.腐蚀，侵蚀；锈
corrupt vt.贿赂；a.腐败的
cosmic a.宇宙的；广大无边的
cosmos n.宇宙；秩序，和谐
couch n.睡椅，长沙发椅
counsel n.商议；忠告；律师
count n.起拆理由，罪状
counter a.&ad.相反的(地)
courageous a.勇敢的，无畏的
courteous a.有礼貌的，谦恭的
courtesy n.礼貌，谦恭，请安
coward a.懦怯的，胆小的
crab n.蟹，蟹肉；vi.捕蟹
crack vi.&vt.发出爆裂声
cradle n.摇篮，发源地
craft n.技巧
crank n.曲柄；vi.转动曲柄
crash vi.撞坏，摔坏，砸碎
credit vt.&n.相信，信任
crisis n.危机；转折点
