damn vt.诅咒；n.诅咒；丝毫
dazzle vt.&vi.炫耀；迷惑
deafen vt.使聋；使隔音
deal vi.做买卖；对付
dealer n.商人，贩子；发牌者
dean n.(大学)院长，系主任
decay vt.使腐朽，使腐烂
decidedly ad.明确地，坚决地
decimal a.小数的，十进制的
decisive a.决定性的；果断的
declaration n.宣布，宣言；申诉
decline vt.下倾；偏斜；衰退
decompose vt.&vi.腐败；分解
decorative a.装饰的；可作装饰的
decree n.法令，政令；教令
dedicate vt.奉献；献身
deem vt.认为，相信；vi.想
deepen vt.加浓
default n.&vi.不履行；缺席
deficiency n.缺乏；不足之数
deficient a.缺乏的；欠缺的
define vt.规定；立(界限)
deflect vt.&vi.(使)偏斜
deflection n.偏斜，歪斜；偏差
deform vt.损坏…的形状
deformation n.损坏；变形；畸形
defy vt.向…挑战；蔑视
degradation n.降级；退化；衰变
degrade vt.使降给；使堕落
delegate n.代表，委员，特派员
deliberate a.深思熟虑的；审慎的
deliberately ad.审慎地，故意地
denial n.否定；拒绝相信
denote vt.指示，意味着
denounce vt.谴责，声讨；告发
dentist n.牙科医生
dependant n.受赡养者；侍从
deposit n.押金；寄存物
deposition n.免职，罢免；口供
depression n.消沉；不景气萧条期
deprive vt.夺去；使(人)失去
deputy n.代理人；a.副的
derivation n.引出；起源；衍生
descendant n.子孙，后裔；弟子
descent n.下降；出身；斜坡
desert vt.遗弃；擅离(职守)
designate vt.指出，指示；指定
desolate a.荒芜的；孤独的
dessert n.甜点心
destine vt.命定，注定；预定
destiny n.命运，天数
destructive a.破坏(性)的，危害的
detach vt.分开；派遣(军队)
detail n.琐碎，小事
detain vt.耽搁；扣押，拘留
detective n.侦探，密探
detector n.发觉者，探测器
develop vt.使(颜色等)显现
deviate vt.(使)背离，偏离
deviation n.背离，偏离；偏差数
devotion n.献身，热诚，专心
devour vt.吞食；吞灭，毁灭
diagnose vt.诊断(疾病)
dictator n.独裁者，专政者
diesel n.柴油发动机，内燃机
diet n.饮食，食物
difficult a.难以满足的
dignity a.尊贵；(举止)庄严
diminish vt.减少，减小，递减
dine vi.吃饭；vt.宴请
dioxide n.二氧化物
diploma n.毕业文凭，学位证书
diplomatic a.外交的；有策略的
directory n.姓名地址录；董事会
disagreement n.不一致；争论
disappearance n.消失，消散；失踪
disastrous a.灾难性的；悲惨的
discern vt.看出，辨出；辨别
discount n.折扣；打折扣卖
discourse n.讲话，演说，讲道
discrimination n.辨别；识别力；歧视
disgrace n.失宠，耻辱，丢脸
disillusion n.觉醒；vt.使觉醒
dismay n.惊慌，沮丧，灰心
dismiss vt.忘掉
disorder n.疾病，小病
dispatch vt.派遣；调度；n.急件
disperse vt.(使)分散；驱散
displace vt.移置；取代；置换
displacement n.移置；免职；置换
disregard vt.不管，不顾；n.不管
dissatisfaction n.不满，不平
dissipate vt.驱散；浪费vi.消散
dissolve vt.解除(婚约等)
distinct a.独特的
distinctly ad.显然，清楚地
distinguish v.使显出特色，使杰出
distort vt.歪曲，曲解，扭曲
distortion n.弄歪，歪曲；畸变
distract vt.分散(心思)；打扰
disturbance n.动乱；干扰；侵犯
diverge vi.分岔；分歧
diversion n.转移；改道；娱乐
divert vt.使转向；vi.转移
divine a.神的；敬神的
dizzy a.头晕眼花的，眩晕的
dock vt.把…引入船坞
doctrine n.教义，主义；学说
documentary a.纪录的，文献的
dome n.圆屋顶，拱顶
domestic a.养在家里的
dominant a.统治的；n.主因
dominate vt.统治，支配，控制
doom n.命运，毁灭；vt.注定
doubtless ad.无疑地；很可能
dove n.鸽子，斑鸠
drain vi.(水等)流掉
drainage n.排水；下水道
drama n.戏剧性事件；戏剧性
drastic a.激烈的；严厉的
drawback n.退款；妨碍；弊端
dreadful a.可怕的；令人敬畏的
dry a.干巴巴的，枯燥的
duke n.公爵，君主；手
duplicate n.复制品；vt.复制
dust n.垃圾，废品，灰烬
dwarf n.矮子，侏儒
dwell n.居住；vi.凝思，细想
dynamic(al)；a.机能上的
dynamo n.发电机
