earnings n.工资，收入；收益
eastward a.&ad.向东的，向东
echo vt.反射(声音等)
eclipse n.(日，月)食
ecology n.生态学；个体生态学
economically ad.节约地，在经济上
economics n.经济学；经济
edit vt.编辑，编纂；校订
editorial n.社论，期刊的社论
Egyptian a.埃及的；n.埃及人
eject vt.逐出，排斥；喷射
elapse vi.(时间)过去，消逝
elbow vt.用肘挤，挤进
electrician n.电工，电气技师
electrode n.电极；电焊条
electronics n.电子学
elegant a.(举止、服饰)雅致的
elemental a.基本的；自然力的
elevate vt.提高(思想)；抬高
elevation n.高度；标高；隆肿
elliptical a.椭圆的；省略的
eloquence n.雄辩；口才，修辞
embarrass vt.使负债；使复杂化
embassy n.大使馆；大使的职务
embody vt.体现；包含，收录
embrace vt.包括，包含；包围
embroidery n.绣花，刺绣；绣制品
emerge vi.浮现，出现；显露
emigrate vi.永久移居国外
emission n.散发；传播；发出物
empirical a.经验主义的
enchant vt.迷住；用魔法迷惑
enclosure n.围绕；围场，围栏
end n.目标，目的
endanger vt.危及，危害
endeavor vi.&n.努力，尽力
endow vt.资助；赋予，授予
endurance n.耐久力，持久力
energetic a.积极的；精力旺盛的
energize vt.给与…能量；电压
engage vt.使(齿轮等)啮合
engagement n.婚约；约会，债务
enhance vt.提高，增加；夸张
enlighten vt.启发，开导；启蒙
enrich vt.使富裕；使丰富
enroll vt.登记，招收vi.参军
enterprise n.艰巨的事业；事业心
entertainment n.招待，招待会
entitle vt.把…称作
entreat vt.&vi.恳求
entry n.通道；条目
environmental a.环境的，环境产生的
episode n.一段情节；插曲
epoch n.(新)时代；历元
equation n.平衡；平均；反应式
equator n.赤道，天球赤道
equilibrium n.平衡，均衡；均衡论
equivalent a.等面(体)积的
erect a.竖起的
erosion n.腐蚀，侵蚀；糜烂
errand n.差使，差事
escort n.&vt.护卫，护送
essence n.本质，本体；精华
essential a.特发的；自发的
establish vt.使…被永久地接受
estate n.房地产；财产，产业
eternal n.永久的；不朽的
evaporate vt.使脱水vi.发散蒸气
even a.同一日期的
evenly ad.一致地，平静地
everlasting a.永久的；持久的
evil n.邪恶，罪恶；祸害
evolution n.开方；(天体的)形成
excel vt.胜过；vi.杰出
except vt.把…除外，除去
exceptional a.例外的；优越的
excess n.过度行为，暴行
excessively ad.过分，极端地
exclamation n.呼喊，惊叫；感叹
exclusive a.除外的；孤傲的
excursion n.离题
excuse vt.与…辩解；使免除
execution n.实行，执行；处死刑
executive n.总经理，董事
exemplify vt.举例证明(解释)
exert vt.发挥(威力)，施加
exile vt.流放；n.被流放者
expect vt.料想，认为
expedition n.探险；探险队
expenditure n.(时间等)支出，消费
expel vt.驱逐，开除；排出
experimentally ad.实验上，实验性地
experimentation n.实验，试验；实验法
expire vi.满期，到期；断气
explicit a.明晰的；直率的
exploration n.考察；勘探；探查
exposition n.说明，解释；陈列
extinct a.绝种的；熄灭了的
extinguish vt.熄灭，扑灭；消灭
extra n.附加物；额外的人手
extract vt.取出；榨取；n.摘录
extraction n.抽出；提取法；摘要
extraordinarily ad.非常地，特别地
extravagant a.奢侈的；过度的
extreme n.极端不同的性质
