fabricate vt.制作，组合；捏造
fabrication n.制作，构成；捏造
facilitate vt.使容易；助长
faction n.派别，宗派，小集团
fair a.美丽的
fake n.假货，膺品；a.假的
fall vi.变成，成为；陷于
fantastic a.空想的；奇异的
fascinate vt.迷住；vi.迷人
fastener n.扣件，钮扣，揿钮
faultless a.无过失的；无缺点的
fearless a.无畏的，大胆的
fell vt.砍倒(树等)；砍伐
fellowship n.伙伴关系；联谊会
feminine a.女性的；女子气的
fence n.击剑(术)；vi.击剑
ferrous a.铁的；亚铁的
ferry n.渡船；渡口；vt.运送
fertile a.(创造力)丰富的
fighter n.斗争者；战斗机
filament n.细丝；长丝；灯丝
fill vt.担任(职务)；填补
filter vi.滤过
filth n.污秽，污物；淫猥
finance vt.提供资金
finely ad.精细地，美好地
finite a.有限的；有尽的
fireplace n.壁炉
firework n.爆竹，花炮，烟火
firmness n.坚固，坚定，稳固
first-rate a.第一流的，优秀的
fission n.裂开；分裂生殖
fitness n.适当，恰当；健康
fitting a.适当的；n.配合
fixture n.固定；定期存款
flake n.片，薄片；肌膈
flame vi.发火焰；vt.点燃
flank n.肋，肋腹；侧面
flannel n.法兰绒；法兰绒衣服
flap vt.&n.拍打；vi.拍动
flask n.瓶；火药筒；砂箱
flatten vt.把…弄平；击倒
flatter vt.奉承，阿谀，谄媚
flavour vt.给…调味
flaw n.缺点，瑕疵；裂隙
flee vi.逃走；vt.逃避
flexible a.灵活的，可变通的
flight n.溃退，逃跑；外流
fling vi.&vt.(用力)扔，抛
float n.漂浮物；浮标，木筏
flock vi.群集，聚集
fluctuate vi.波动；vt.使波动
fluctuation n.波动；脉动；踌躇
flush n.兴奋，脸红；发烧
flutter vi.(鸟)振翼；飘动
flux n.流；涨潮；流量
fly v.飞跑，逃跑，消失
foam n.泡沫；泡沫塑料
follow vt.从事(职业)，经营
follower n.契据的附面；从动件
footpath n.小路，人行道
fore ad.在前面；a.先前的
foreign a.无关的
foresee vt.预见，预知，看穿
forge vt.打(铁等)，锻造
formal a.形态的；规范的
formerly ad.以前，从前
formidable a.可怕的；难对付的
formulate vt.用公式表示
formulation n.明确的表达
forsake vt.遗弃，抛弃，摒绝
fort n.要塞，堡垒
forthcoming a.即将到来的；现有的
fortress n.堡垒，要塞
forum n.论坛，讨论会
forward ad.向前，将来vt.转递
fossil n.化石；a.化石的
foster vt.养育，抚养；培养
foul a.肮脏的；丑恶的
fowl n.家禽；禽肉
fraction n.分数；分馏的部分
fracture n.破裂；裂痕；vi.破裂
fragile a.脆的；体质弱的
fragrant a.香的，芬芳的
frail a.脆弱的；意志薄弱的
framework n.机构，组织，体制
freight n.运费；货运；负担
frequency n.频繁，屡次；频率
frequent a.常见的；频繁的
freshen vt.使显得新鲜
fret vt.&vi.(使)烦恼
friction n.擦热皮肤
fright n.惊吓，恐怖
frightful a.可怕的；讨厌的
fringe n.穗，毛边；边缘
fro ad.往，去，回，向后
frock n.(女)上衣，罩衫
frustrate vt.挫败；使无效
furious a.狂暴的；强烈的
further vt.增进
fury n.狂怒，暴怒；猛烈
fuse n.保险丝，导火线
fuss n.忙乱；吹捧；vi.忙乱
