gamble n.赌博；vt.冒…的险
gangster n.匪徒，歹徒，暴徒
gap n.山口，山峡；差距
garage n.汽车修理站；飞机库
garlic n.蒜，大蒜
garment n.衣服；服装，衣着
gather vt.推测，推断
gathering n.集会，聚会，聚集
gear n.齿轮，传动装置
generalization n.一般化；概括，综合
generalize vt.概括出vi.形成概念
generate vt.发生，产生；生成
generosity n.慷慨，宽宏大量
geographical a.地理的；地区(性)的
geology n.地质学；(某地)地质
geometrical a.几何学的
germ n.细菌，病原菌；幼芽
gesture vi.(讲话时等)做手势
gigantic a.巨大的；巨人似的
ginger n.姜，生姜
gleam n.微光；vi.发微光
glider n.滑翔机；滑翔导弹
global a.球面的；全球的
glorify vt.赞美(上帝)；颂扬
glossary n.词汇表；术语汇编
glue vt.粘牢
gnaw vt.啃，咬断；vi.啮
goddess n.女神；绝世美女
goodness n.善良，善行，美德
gorilla n.大猩猩；暴徒，打手
gorgeous a.绚丽的；极好的
gossip n.闲谈；碎嘴子；漫笔
govern vt.决定，支配；控制
grab vt.&vi.攫取，抓取
gracious a.谦和的
gradient n.斜坡；a.倾斜的
gramophone n.留声机
granite a.花岗岩，花岗石
grant n.授予物，拨款
graphite n.石墨，石墨电极
grasshopper n.蚱蜢，蝗虫，蚂蚱
grassy a.草多的；草似的
grateful a.可喜的，令人愉快的
gravel n.砂跞；砂砾层；结石
graze vi.喂草；放牧(牲畜)
grease n.动物脂，脂肪
greed n.贪心，贪婪
grief n.悲哀，悲痛，悲伤
grim a.冷酷无情的，严厉的
grin vi.咧着嘴笑
grind vt.折磨，压榨
groove n.槽；vt.开槽于
grope vi.(暗中)摸索，探索
gross a.(语言、举止)粗俗的
grove n.林子，小树林，园林
growl vi.(狗等)嗥叫；咆哮
grumble vi.抱怨，发牢骚
grunt vi.作呼噜声；咕哝
guilt n.有罪，犯罪；内疚
guitar n.吉他，六弦琴
gust n.阵风，一阵狂风
gutter n.沟，边沟；檐槽
