hail vt.向…欢呼；vi.招呼
halve vt.对分；平摊
ham n.火腿；(兽类的)后踝
hamper vt.妨碍，阻碍，牵制
handbook n.手册，便览，指南
handicap vt.妨碍，使不利
handout n.施舍物，救济品
handy a.方便的；便于使用的
harbour vt.隐匿，窝藏；怀着
hard a.(酒)烈性的
hardy a.强壮的，耐劳的
harmonious a.和谐的，协调的
harp n.竖琴；天琴座
harsh a.粗糙的；严厉的
hatch vt.舱盖，舱口；短门
haughty a.傲慢的，轻蔑的
haul vt.拖曳；拖运
haunt vt.常去；vi.经常出没
hazard vt.使遭危险；n.危险
head vt.用头顶(球)vi.出发
heading n.标题，题词，题名
headlong a.&ad.头向前的(地)
headquarters n.总局，总店
hearth n.壁炉地面；炉边
heater n.加热的人，加热器
hearty a.衷心的；丰盛的
heave vt.(用力地)举起；抛
Heaven n.上帝，神
heighten vt.加高，提高；增加
hemisphere n.半球；半球地图
henceforth ad.今后，从今以后
herald ad.传令官；通报者
herb n.草本植物；香草
herd vt.放牧；vi.成群
hesitate vi.含糊，支吾；口吃
hide n.生皮，兽皮，皮革
hike vi.作长途徒步旅行
hindrance n.障碍，妨碍
hinge n.合页，折叶，铰链
hip n.臀部，髋；屋脊
hiss n.嘶嘶声；vi.嘶嘶作声
historian n.历史学家；编史家
historic a.历史的；历史性的
hit n.轰动一时的人(或事)
hitherto ad.迄今，到目前为止
hoarse a.(声音)嘶哑的
hoe vt.&vi.锄地
hoist vt.升起；vi.扯起来
hollow vt.凿空；vi.变空
homely a.家庭的；家常的
homogeneous a.同类的；均匀的
hook vt.用钩连接，用钩挂
hop vi.跳舞；(人)单足跳
horizon n.层位
horn n.角状物，角制品
hose n.长筒袜；软管
hospitality n.好客，殷勤；宜人
hostage n.人质，抵押品
hostess n.女主人；旅馆女老板
hostile a.敌对的；不友好的
hound n.狗；角鲨；卑鄙的人
house n.议院，会议厅
hover vi.徘徊；傍徨；翱翔
howl n.嚎叫；哀号；vi.吠
hug vt.搂；n.紧紧拥抱
hull n.外壳，豆荚；薄膜
hum n.嗡嗡声；vt.哼曲子
humanitarian a.博爱的；n.慈善家
humanity n.人类；人性，人情
humidity n.湿气；湿度
hurl vt.猛投；vi.猛冲
hurrah int.好哇，万岁，乌拉
hurricane n.飓风，十二级风
hurt n.损伤，伤害，创伤
hush n.沉默；int.嘘！
hydraulic a.水力的；水力学的
hydrocarbon n.烃，碳氢化合物
hymn n.赞美诗，圣歌；赞歌
hypothesis n.假设；前提
