ice vt.使成冰；vi.结冰
icy a.冰冷的；冷冰冰的
idealism n.唯心主义；理想主义
ideally ad.理想地；理论上
identical a.同一的；恒等的
identification n.认出，鉴定；身份证
idiot n.白痴；傻子
idleness n.懒惰；赋闲无事
ignite vt.引燃；vi.着火
ignorance n.无知，无学，愚昧
illiterate a.文盲的；n.文盲
illuminate vt.照明，照亮；阐明
illusion n.幻想；错觉；假象
imitation n.仿制品，伪制物
immerse vt.沉浸；给…施洗礼
immigrate vt.(使)移居入境
immortal a.不朽的；永生的
impart vt.给予，传递；告诉
impartial a.公正的，无偏见的
implement n.工具，服装；vt.贯彻
implore vt.乞求，恳求，哀求
impose vi.利用；欺骗
impress vt.盖印，在…打记号
improper a.不适当的；不合理的
impulse n.推动，冲力；冲动
impurity n.不纯；杂质；不道德
inaccessible a.达不到的，难接近的
inaccurate a.不精密的，不准确的
inadequate a.不充足的，不适当的
inasmuch ad.因为，由于
inaugurate vt.开始；使就职
incapable a.无能力的；无资格的
incense n.香，熏香；香气
incidence n.发生，影响；入射
incidentally ad.附带地；顺便提及
inclination n.倾斜，点头；斜坡
incline n.坡度
inclusive a.包围住的；包括的
incompatible a.不相容的
incomplete a.不完全的，未完成的
incorporate vt.结合，合并，收编
incredible a.难以置信的，惊人的
indefinite a.无限期的
indicative a.指示的；陈述的
indignation n.愤怒，愤慨，义愤
indispensable a.必不可少的，必需的
individual a.特殊的
indoor a.室内的；室内进行的
induce vt.劝诱；引起；感应
induction n.就职；归纳推理
indulge vt.放纵(感情)vi.纵情
industrious a.勤劳的，勤奋的
inertia n.惯性，惯量；无力
inevitably ad.不可避免地
infect vt.使受影响
infectious a.传染的；感染性的
infer vt.&vi.猜想，臆测
inference n.推论；推断的结果
inferior n.下级；晚辈，次品
infinite n.无限；无穷(大)
infinitely ad.无限地，无边地
infinity n.大量，大宗；无穷大
inflation n.通货膨胀，物价飞涨
influence n.势力，权势
ingenious a.机灵的；精巧制成的
ingenuity n.机灵；设计新颖
ingredient n.配料，成分
inherent a.固有的，生来的
initial a.词首的
initially ad.最初，开始
initiate vt.开始，创始；启蒙
initiative a.创始的；n.第一步
inject vt.注射；注满；喷射
inland a.国内的；内地的
inlet n.进口，水湾；vt.引进
innovation n.创新，改革，新设施
innumerable a.无数的，数不清的
inorganic a.无生物的；无机的
input vt.输入；n.输入
insert vi.(肌肉)附着
insight n.洞察力，洞悉，见识
insignificant a.无意义的；低微的
insistent a.坚持的；逼人注意的
inspector n.检查员；巡官
inspiration n.灵感；妙想；鼓舞
instability n.不稳定性；不坚决
installment n.分期付款
instantaneous a.瞬间的，即刻的
instructor n.指导者，教员
instrumental a.仪器的；有帮助的
insulate vt.使绝缘，使绝热
insulator n.隔离者；绝缘体
intake n.吸入；输入能量
integral a.组成的；整的
integrate vt.使结合，使并入
integrity n.诚实，正直
intellect n.理智，智力，才智
intent a.目不转睛的，热切的
interact vi.相互作用
interconnect vt.使互相联系
intercourse n.交际，往来，交流
interface n.分界面
interior n.内部；a.内部的
intermediate n.中间体；调解人
interpret vt.解释；vi.口译
intervene vi.干涉，干预；播进
interview vt.接见，会见，会谈
intonation n.语调，声调；发声
introduce vt.提出(议案等)
invalid n.病人；a.有病的
invariably ad.不变地，永恒地
inversely ad.相反地
invoice n.发票，发货清单
irregularity n.不规则；不整齐
irrespective a.不考虑的，不顾的
irrigation n.灌溉；冲洗法
irritate vt.激怒；引起不愉快
ivory n.象牙；牙质；乳白色
