jam n.堵塞；vt.使…堵塞
jealousy n.妒忌，嫉妒，猜忌
jean n.斜纹布，牛仔裤
jelly n.冻，果子冻；胶状物
jerk vt.猛地一拉；vi.急拉
Jesus n.耶稣
jewellery n.珠宝，珠宝饰物
jingle vt.&vi.(使)丁当响
jog vt.使(马等)缓步行进
jug n.带柄水罐，大壶
junction n.连接；接头；中继线
jungle n.丛林，密林，莽丛
junior n.年少者；晚辈
Jupiter n.丘庇特；木星
kernel n.(果实的)核；谷粒
kidnap vt.诱拐，绑架
kidney n.肾，腰子；性格
kit n.成套工具；用具包
knight n.骑士，武士；爵士
lace vi.系带，用带子束紧
landscape n.风景，景色，景致
largely ad.大规模地
late a.去世不久的
latent a.存在但看不见的
latitude n.纬度；
laundry n.送洗衣店去洗的东西
leaflet n.传单，活页；广告
leakage n.漏，泄漏；漏出物
lease n.租约，契约，租契
legislation n.立法；法规
length n.程度，范围
lengthen vt.使延长；vi.变长
leopard n.豹
lessen vt.减少；vi.变少
lever n.途径，工具，手段
liability n.责任；倾向；债务
liable a.有(法律)责任的
lighter n.打火机，引燃器
likelihood n.可能(性)
likeness n.同样；类似，相似
lily n.百合，百合花，睡莲
limb n.分支，突出物
limestone n.石灰石
limp vi.蹒跚，跛行；n.跛行
line vt.加衬里于
linear a.线的；长度的
liner n.班船，定期班机
linger vi.逗留，徘徊；拖延
lining n.(衣服里的)衬里
lipstick n.唇膏，口红
literal a.文字(上)的；字面的
literally ad.照字义，逐字地
literary a.精通文学的
litter n.废物，杂乱；vi.乱扔
lobby n.前厅，(剧院的)门廊
locality n.位置，地点，发生地
location n.定位，测位；测量
locomotive a.运动的；机动
lodging n.寄宿，住宿；住所
lofty a.高耸的；高尚的
log n.航海日志；飞行日志
longing n.渴望；a.显示渴望的
longitude n.经线，经度
loosely ad.松松地，松散地
loosen vi.变松
lounge n.(旅馆等的)休息室
lubricate vt.使润滑vi.加润滑油
luminous a.发光的；光明的
lump vt.(使)成团；vi.结块
lunar a.月亮的
luxurious a.爱好奢侈的，豪华的
