magician n.魔法师；变戏法的人
magistrate n.地方行政长官
magnet n.有吸引力的人(或物)
magnetism n.磁；魅力；催眠术
magnify vt.放大，扩大
magnitude n.大小；重大；星等
maid n.少女；处女
maiden n.少女，未婚女子
main n.总管道，干线
maintenance n.扶养；坚持
majesty n.威严，尊严；陛下
makeup n.组织；性格；化装品
malice n.恶意；蓄意犯罪
mammal n.哺乳动物
manifest vt.表明；a.明白的
manipulate vt.操作；控制，手持
mansion n.大厦，大楼；宅第
manuscript n.手稿，底稿，原稿
maple n.槭树，枫树
margin n.余地；幅度；赚头
marginal a.记在页边的；边缘的
market vt.(在市场上)销售
Mars n.火星；战争
marsh n.沼泽地，湿地
marshal n.元帅；陆军元帅
martyr n.烈士，殉难者
marvel n.奇迹；惊奇；vt.惊奇
masculine a.男性的；强壮的
massacre n.大屠杀，残杀
massive a.粗大的；大而重的
mast n.桅杆；杆；vt.扯帆
mature vt.使成熟；vi.成熟
measurement n.(量得的)尺寸，大小
mechanics n.力学，机械学；结构
mechanism n.机械装置；机制
meditate vt.沉思，冥想，反省
melancholy n.&a.忧郁(的)，悲伤
melody n.旋律，曲调；歌曲
membership n.成员资格；会员人数
menace vt.&vi.&n.(进行)威胁
mend vt.改正，修正；改进
merchandise n.商品，货物
merciful a.仁慈的，宽大的
mercury n.汞，水银；水银柱
merit vt.值得vi.应受赏(罚)
mesh n.网眼，筛孔，网络
mess vt.弄脏，弄乱，搞糟
message n.启示，要旨，教训
metallic a.金属的；n.金属粒子
metallurgy n.冶金学，冶金术
metropolitan a.主要都市的n.大主教
microprocessor n.微信息处理机
microscopic a.显微镜的，微观的
microwave n.微波
mighty a.强大的；巨大的
migrate vi.迁移，移居
mild a.(烟、酒)味淡的
milky a.牛奶的；乳白色的
millionaire n.百分富翁，巨富
mingle vt.使混合vi.混合起来
miniature n.缩影；a.缩小的
minimize vt.使减到最小
mint n.薄荷；薄荷糖
mint n.造币厂；巨额，富源
mirror n.反映，借鉴
mishief n.调皮，捣蛋，胡闹
miser n.守财奴，吝啬鬼
misery n.痛苦，悲惨，不幸
misfortune n.不幸，灾祸，灾难
missionary n.传教士
mist n.薄雾；vi.下薄雾
mistress n.情妇，情人
mitten n.连指手套；露指手套
mixer n.混合者，搅拌器
mob vi.聚众闹事
mobilize vt.动员；vi.动员起来
mock n.嘲弄；vt.嘲弄，挖苦
moderately ad.适度地，适中
modesty n.谦逊；端庄；羞怯
modification n.缓和；修改；修饰
modulate vt.调整，调节(声音)
module n.模数；模；组件
molecular a.分子的；克分子的
momentary a.瞬息间的，片刻的
monarch n.君主，最高统治者
monk n.和尚，僧侣，修道士
monopoly n.垄断，独占，专利
monster n.怪物；畸形的动植物
monstrous a.可怕的；极大的
moor vt.使停泊；使固定
mop n.墩布，洗碗刷
morality n.道德，美德，品行
mortgage n.抵押；vt.抵押
Moslem n.&a.穆斯林(的)
mosque n.清真寺
moss n.苔藓，地衣
motel n.汽车游客旅馆
motive a.发动的，运动的
motorway n.汽车道，快车路
mount v.装配；固定；n.支架
mountainous a.多山的；山一般的
move n.行动，步骤
multiplication n.增加；繁殖；乘法
multitude n.大批，大群；大量
municipal a.市的，市立的
murmur n.低沉连续的声音
muscular a.肌肉发达的，强健的
muse vi.沉思，默想，冥想
mustard n.芥子，芥末
mute n.弱音器；闭止音
mystery n.神秘小说，侦探小说
