napkin n.餐巾(纸)
narration n.叙述；故事；叙述法
negative a.负的，阴性的
negligible a.微不足道的
negotiate vi.谈判，交涉，议定
neighbouring a.邻近的，接壤的
nest vi.筑巢；vt.为…筑巢
net vt.用网捕；用网覆盖
network n.网络；广播网
neutron n.中子
nice a.细微的，微妙的
nickel n.镍；镍币
nickname n.绰号，浑号
nightmare n.恶梦；经常的恐惧
nominate vt.提名，推荐；任命
norm n.标准，规范；平均数
normalization n.正常化，标准化
northward(s)；ad.向北方；a.向北的
nose n.突出部分(如船头等)
notable n.值得注意的；著名的
noted a.著名的，知名的
notify vt.通知，告知；报告
notion n.概念，意念；看法
notorious a.臭名昭著的
notwithstanding prep.尽管，虽然
nought n.无，零
nourish vt.提供养分，养育
nourishment n.食物；营养(情况)
novel a.新的，异常的
novelty n.新颖；新奇的事物
nucleus n.原子核；细胞核
number vt.共计，达…之数
numerical a.数字的，数值的
nun n.修女，尼姑
nursery n.苗圃，养鱼池
nut n.螺帽，螺母
