pace vi.(马)溜蹄走
pacific a.性情温和的
pamphlet n.小册子
panel n.(选定的)专门小组
panic n.恐慌，惊慌
pant vi.气喘
panther n.豹，黑豹；美洲狮
pantry n.食品柜，餐具室
pants n.裤子；男用短衬裤
paper vt.用纸包装(或覆盖)
parachute n.降落伞；风散种子
parade vt.夸耀(才能等)
paragraph n.小新闻，短评
paralyse vt.使麻痹，使瘫痪
parameter n.参(变)数；参量
participant n.参加者；a.有份的
participate vi.参与；vt.分享
particular a.苛求的；特称的
partition n.分开，分割；融墙
passport n.达到目的的手段
pasture n.牧场；牲畜饲养
patent a.专利的；n.专利
pathetic a.哀婉动人的；可怜的
patriot n.爱国者，爱国主义者
patriotic a.爱国的
patrol n.巡逻；n.巡逻，巡查
patron n.庇护人；赞助人
pattern vt.仿制，仿造，模仿
peacock n.孔雀
peak n.(物体的)尖端
peck vt.&vi.啄，啄起
peculiarity n.特性，独特性；怪癖
pedal n.踏脚，踏板，脚蹬
pedestrian n.行人，步行者
pedlar n.(挨户兜售的)小贩
peel n.果皮，蔬菜皮
peer vi.凝视；隐约出现
penalty n.处罚，刑罚；罚款
penetration n.穿入；渗透，侵入
pendulum n.(钟等的)摆
perception n.感觉；概念；理解力
perch n.(禽鸟的)栖木
perfect vt.使熟练，使改善
perfection n.尽善尽美；无比精确
peril n.危机；危险的事物
perimeter n.周(边)，周长
periodic n.周期的；一定时期的
periodical n.期刊，杂志
peripheral a.周界的；末梢的
perish vi.死亡，夭折；枯萎
perpendicular a.垂直的；n.垂直(线)
perpetual a.永久的；四季开花的
perplex vt.迷惑，困惑，难住
persecute vt.迫害，残害
persevere vi.坚持，不屈不挠
persist vi.持续，存留
persistence n.坚持；持续，存留
personality n.人格，个性；人物
personnel n.人事部门
persuasion n.劝说，说服；主张
pertinent a.恰当的；有关的
pest n.害虫；害人虫
petition n.请愿；vt.向…请愿
petty a.细小的；器量小的
photoelectric a.光电的
photography n.摄影术
physically ad.物质上；体格上
pickle n.腌制食品，泡菜
pier n.(桥)墩；码头
pierce vt.穿透，戳穿，洞察
pilgrim n.香客，朝圣者
pineapple n.凤梨，波萝
pious a.虔诚的；虔奉宗教的
pipe n.管乐器
pirate n.海盗；每盗船
piston n.活塞
pitch n.人造树脂
plague n.瘟疫，鼠疫；天灾
plain a.坦白的；普通的
plastic a.塑料的；塑性的
plateau n.高原；平稳时期
platform n.政纲，党纲，宣言
plea n.请愿，请求，恳求
plead vt.为…辩护；vi.抗辩
pledge n.誓言；vt.使发誓
pluck vt.鼓起(勇气)，振作
plump vt.丰满的；鼓起的
plunder v.&n.掠夺，劫掠
pneumatic a.空气的；气动的
poke vt.戳，刺；伸(头等)
polar a.南(北)极的；极性的
polarity n.极性；(思想等)归向
politics n.政纲，政见，策略
poll n.投票；vi.投票
polymer n.聚合物，多聚物
ponder vt.考虑；vi.沉思
pop vi.(意外地)出现
pope n.(罗马天主教的)教皇
popularity n.通俗性；普及，流行
porcelain n.瓷；a.瓷的，瓷制的
pore n.毛孔，气孔，细孔
portable a.可移动的
pose vt.(使)摆好姿势
position n.主张，立场；形势
positive a.正的；阳性的
positively ad.确定的，断然
possibility n.可能的事
postal a.邮政的，邮局的
postulate vt.要求，假定，假设
poultry n.家禽
practicable a.能实行的；适用的
prairie n.大草原，牧场
preach vt.说教，布道；鼓吹
precede vt.先于…；vi.领先
predecessor n.前辈，前任者
prediction n.预言，预告；预报
predominant a.占优势的；主要的
pregnant a.怀孕的；意义深长的
prejudice n.偏见，成见；损害
prescription n.药方，处方的药
presentation n.介绍；赠送；呈现
preservation n.保存，储藏；保持
preset vt.预先装置
preside vi.主持；主奏
press n.印刷机，印刷所
pressure n.电压；大气压力
prestige n.威望，威信，声望
presumably ad.推测起来，大概
presume vt.假定，假设，揣测
prevalent a.流行的；盛行的
prevention n.预防，阻止，妨碍
prey vi.猎物；vi.捕获
prick vt.刺(穿)；n.刺孔
primitive a.远古的，未开化的
principally ad.主要，大抵
printer n.印刷工；印花工
priority n.先，前；优先，重点
prism n.棱柱(体)；棱镜
probe n.探针；vt.用探针探查
proceeding n.程序，行动，事项
producer n.生产者；舞台监督
productive a.生产的；出产…的
productivity n.生产率；多产
proficiency n.熟练，精通
proficient a.熟练的，精通的
profitable a.有利的；有益的
profound a.深刻的；渊博的
program vi.编制程序
prohibition n.禁止；禁令，禁律
projector n.投影仪；探照灯
prolong vt.延长，拉长，拖延
promotion n.促进；提升；创立
promptly ad.敏捷地，迅速地
propaganda n.宣传；宣传机构
propagate vt.繁殖；传播，普及
propagation n.繁殖；传播；蔓延
propel vt.推进，推动
propeller n.螺旋桨，推进器
proper a.合乎体统的，正派的
prophecy n.预言，预言能力
prophet n.预言家，先知
proposition n.命题，主题；提议
propulsion n.推进，推进力
prose n.散文
proton n.质子，氕核
prototype n.原型；典型，范例
proverb n.谚语，格言，箴言
province n.领域，范围，职权
provision n.规定，条款，条项
provoke vt.对…挑衅；激发
prudent a.谨慎的；精明的
psychology n.心理学；心理
puff vi.喘气；vt.喷(烟等)
pulley n.滑轮，滑车，皮带轮
pumpkin n.南瓜，南瓜藤
punch vt.冲压；n.冲压机
puppy n.小狗；幼小的动物
purify vt.提纯，精炼(金属)
