radial a.光线的；放射的
radiant a.绚丽的；容光焕发的
radiator n.暖气片，散热器
radical a.基本的；激进的
radius n.半径距离；界限
raise vt.提出，发起，发出
raisin n.葡萄干
rally n.&vt.&vi.(重新)集合
ramble vi.闲逛，漫步；聊天
ranch n.(北美洲的)大牧场
random n.随机；a.随机的
range vt.排列；把…分类
rap n.轻敲击声；vt.敲击
rapidity n.快，迅速；陡，险峻
rapture n.狂喜，欢天喜地
rascal n.流氓，恶棍，无赖
rash a.轻率的；鲁莽的
rate n.价格；vt.对…评定
rational a.推理的；适度的
rattle vt.发出格格声
reactor n.反应器；反应堆
realistic a.现实的；现实主义的
realization n.(理想等的)实现
rear vt.饲养，培植；抚养
reason vt.辩论，讨论
rebuke vt.指责，非难，斥责
receiver n.接待者；收受者
recipe n.菜谱，烹饪法；处方
reciprocal a.相互的；互利的
reckless a.粗心大意的；鲁莽的
reckon vi.数，算帐；vt.认为
reclaim vt.开垦，开拓；回收
recognition n.认出，识别；重视
recommendation n.推荐，介绍；建议
reconcile vt.使和好；调停
recreation n.消遣，娱乐活动
rectangle n.矩形，长方形
rectify vt.纠正；调整；精馏
reed n.芦笛，牧笛
reef n.礁，礁石，暗礁
reel vt.卷，绕
referee n.(足球等)裁判员
reference n.参考文献；参照系
refinery n.精炼厂，提炼厂
refrain vi.抑制，制止，忍住
refreshment n.(精力的)恢复，爽快
refugee n.难民，流亡者
regenerative a.新生的；回授的
regime n.政体，政权；制度
regiment n.团，军团；一大群
regularity n.规则性；整齐
regulate vt.调整，调节，对准
regulation n.规章，规则；调节
reign n.朝代
reject vt.舍弃，抛弃；排斥
relay vt.分程传递；使接替
religion n.信念，信条
remainder n.剩余(物)；余数
repay vt.&vi.偿还，报答
repeal vt.撤销；放弃；n.撤销
repel vt.拒绝；使厌恶
replace vt.送还，归还，赔还
replacement n.归还；取代；置换
report n.传说，议论
representation n.描写；陈述；代表
representative a.代表性的；代议制的
reproduce vt.仿造
reproduction n.再生(产)；繁殖
reptile n.爬行动物；两栖动物
requisite a.需要的；n.必需品
resemblance n.相似，相似性
resent vt.对…不满，怨恨
reservation n.保留；预定，预订
reserve n.缄默，自我克制
reside vi.居住，驻扎；属于
resident n.常住者
residual a.剩余的；残数的
resign vt.使顺从，使听任于
resignation n.听从，屈从，顺从
resolute a.坚决的，果敢的
respectable a.可敬的；人格高尚的
response n.回音，回签；灵敏度
responsible a.重要的；可靠的
restrain vt.抑制，制止，遏制
resultant a.作为结果而发生的
resume n.(谋职者的)个人简历
retail n.零售；a.零售的
retard vt.延迟，放慢
retirement n.退休，引退；退隐
retort vt.&vi.反击；反驳
reveal vt.告诉，揭示，泄露
revenue n.收入；收入数目
reverse n.背面，反面
revive vt.&vi.苏醒；复兴
revolve vt.&vi.(使)旋转
ridicule vi.&n.嘲弄，挖苦
rigorous a.(性格等)严峻的
rim n.边；边缘，(眼镜)框
rinse vt.涮，嗽；冲洗
riot n.&vi.骚乱，暴乱
rip vi.撕啐，扯破，划破
ripple n.涟漪，细浪，波纹
roam vt.在…漫步，漫游
roller n.滚柱，滚筒，辊
Roman n.罗马人，古罗马人
romance n.传奇；浪漫文学
romantic a.好幻想的
rooster n.公鸡；狂妄自负的人
rotate vt.&vi.(使)旋转
roundabout a.迂回的；转弯抹角的
routine a.日常的；n.常规
row n.吵嚷，吵架，口角
royalty n.皇家，王族，皇族
ruby n.红宝石
rule n.裁决，裁定
ruthless a.无情的，冷酷的
