safeguard n.保护措施；护照
salmon n.鲑，大马哈鱼
salute vt.迎接，欢迎
sandwich vt.夹入，挤进
sardine n.沙丁鱼
satellite n.附属物
satisfaction n.快事，乐事；愉快
satisfactorily ad.圆满地
saturation n.饱和(状态)；浸透
Saturn n.农神；土星
scan n.扫描，扫掠
scandal n.丑事，丑闻；耻辱
scar n.瘢痕
scarcity n.缺乏，不足，萧条
scarlet n.猩红色；a.猩红的
scheme vt.计划；vi.搞阴谋
scholarship n.学问，学识；奖学金
scoff vt.&vi.嘲笑，嘲弄
scope n.眼界
scorch vi.烧焦，枯萎；挖苦
scout vt.搜索，侦察，跟踪
scramble vi.&n.爬行，攀登
scrap n.碎片；废料；vt.废弃
scratch n.起跑线，起步线
scripture n.《圣经》；圣书
scrub n.&vt.擦洗，擦净
sculpture n.雕刻(术)；雕刻品
seam n.缝口；接缝；骨缝
seaport n.海港，港口，港市
seaside n.海滨(胜地)；海边
second vt.支持
second-hand n.旧的，第二手的
section n.切下的部分
seemingly ad.表面上，外表上
segment n.切片，部分；段，节
selection n.精选的东西；选择
senator n.参议员；评议员
sensation n.感觉，知觉；轰动
senseless a.愚蠢的，无意义的
sensible a.明显的，感觉得到的
sensitivity n.敏感(性)；灵敏性
sensor n.传感器，灵敏元件
sentiment n.感情；情操；情绪
sequence n.序列
sermon n.布道，讲道，说教
serpent n.蛇(尤指大蛇或毒蛇)
set n.集(合)
settlement n.调停；(新)住宅区
severe a.激烈的；简朴的
shabby a.褴褛的；破旧的
shade n.(色彩的)浓淡，深浅
shadowy a.有影的；幽暗的
shady a.可疑的，靠不住的
shaft n.(工具的)柄，杆状物
sham n.假冒；膺品；vt.假装
shame vt.使羞愧，玷辱
shameful a.可耻的；不道德的
shark n.鲨鱼；贪婪狡猾的人
sharply ad.严厉地，苛刻地
shatter vt.粉碎，破碎；毁坏
sheer a.纯粹的；全然的
shell n.炮弹，猎枪子弹
sheriff n.郡长；警察局长
shipbuilding n.造船(业)，造船学
shipment n.装货；装载的货物
shipwreck n.船舶失事
shortage n.短缺，不足额
shortcut n.近路，捷径
shorten vt.弄短，缩小，减少
shorthand n.速记，速记法
should v.aux.应该，竟然会
shoulder vt.承担，挑起，肩负
shove vt.推；vi.(使劲)推
shovel n.铲，铁铲；vt.铲
shower vi.下阵雨；vt.使湿透
shrill a.尖声的；vt.尖声地叫
shrimp n.(小)虾，河虾，褐虾
shrine n.神殿，神龛，圣祠
shrub n.灌木，灌木丛
shrug vt.&vi.耸(肩)；n.耸肩
shutter n.百叶窗；(相机)快门
shuttle n.(织机的)梭
sideways ad.斜向一边地
siege n.包围，围攻，围困
sift vt.筛，过滤；vi.通过
sight n.情景，名胜，风景
sign n.征兆，迹象，病症
significant a.有效的
signify vt.表示，意味着
silicon n.硅(旧名矽)
similarity n.类似，相似；类似点
simple a.单纯的；迟钝的
simplicity n.单纯，质朴
simultaneous a.同时的，同时存在的
sincerity n.真诚，诚意；真实
singular a.异常的，奇异的
sink n.(厨房内的)洗涤槽
siren n.汽笛，警报器
sitting-room n.起居室
situated a.位于…的
situation n.(建筑物等的)位置
skeleton n.骨骼，骷髅；骨架
skip vi.跳；跳绳；略过
skyscraper n.摩天楼
slack a.萧条的；懈怠的
slander n.&vt.诽谤，诋毁
slang n.俚语；行话，黑话
slap vt.掴，拍；n.巴掌，拍
slaughter vt.&n.屠杀，屠宰
slave vi.作苦工；vt.奴役
slide n.滑板，滑座
slim a.细长的；微小的
slit vt.切开；n.狭长的切口
slumber n.睡眠；沉睡状态
smart vi.刺疼，扎疼，剧痛
smash vt.打碎，打破，粉碎
smuggle vt.私运；vi.走私
snack n.快餐，小吃
snail n.蜗牛；行动缓慢的人
snap vt.猛咬，突然折断
sneer vi.&n.冷笑；嘲笑
sneeze vi.打喷嚏
sniff vi.用鼻子吸；vt.嗅
snob n.势利小人
snobbish a.势利的，谄上欺下的
snore vi.打鼾，打呼噜
sociology n.社会学
sodium n.钠
sofa n.长沙发，沙发
soften vt.使软化；vi.变软弱
softness n.温和，柔和；软弱
software n.(计算机的)软件
solar a.利用太阳光的
solidarity n.团结；休戚相关
solidify vt.&vi.团结；凝固
solo n.独唱，独奏；独唱曲
sophisticated a.老于世故的；高级的
sorrowful a.使人伤心的；悲伤的
southwards ad.向南方
sovereign n.君主；a.统治的
souvenir n.纪念品，黄豆
soy n.酱油；大豆，黄豆
spacious a.广阔的，广大的
span n.(桥墩间的)墩距
spatial a.空间的，占据空间的
specialize vt.使专门化，专业化
species n.种，物种；种类
specification n.载明，详述；规格
specimen n.抽样，样品
spectacle n.场面；景象，奇观
spectator n.参观者，观众
spectrum n.系列，范围；波谱
speculate vi.思索，沉思；投机
spherical a.球形的，球面的
spice n.香料，调味品；香气
spill n.(人)摔下，跌下
spiral a.螺旋(形)的，盘旋的
spite n.恶意，怨恨
splash vt.溅泼；vi.泼水；n.溅
split n.分裂，分化；派系
spokesman n.发言人，代言人
squash vt.压碎；n.鲜果汁
squat vi.&vt.(使)蹲下
squeeze n.压榨；榨取，佣金
stability n.坚定
stagger vi.蹒跚；vt.使摇晃
stainless a.纯洁的；不锈的
stairway n.楼梯
stalk n.主茎，叶柄；高烟囱
stall n.货摊，书摊；厩
stammer vt.口吃地说；n.口吃
standardize vt.使与标准比较
start vt.开动，着手；开设
stationery n.文具；信笺
statistics n.统计，统计数字
steady a.坚定的，扎实的
steak n.大块牛肉；牛排
steal vt.偷偷地做，巧取
stem n.词干；(手表的)转柄
stereo n.立体声；a.立体声的
stern n.艉，船尾；臀部
stew vt.炖；vi.炖着；n.炖肉
stiff a.生硬的
stiffness n.硬度
stillness n.寂静，无声
sting n.剧痛；刺激；vt.刺
stitch n.一针，缝线；vt.缝
stone n.果核，(水果的)硬核
storage n.贮藏，保管；仓库
storm n.爆发；vt.&vi.猛攻
stout a.矮胖的；坚固的
straighten vt.把…弄直vi.挺起来
straightforward a.老实的；ad.坦率地
strait n.海峡
strange a.外地的，异乡的
stray vi.迷路；a.迷路的
streamline n.流线；流线型
strength n.兵力；强度
stride vi.大踏步走；n.大步
strife n.冲突，竞争
striking a.显著的，惊人的
strip n.窄条，长带
strive vi.努力，奋斗，力求
stroll n.散步，溜达，闲逛
stubborn a.顽固的；顽强的
studio n.工作室；播音室
stuffy a.不透气的，闷热的
sturdy a.坚定的；牢固的
subdivide vt.把…再分
subdue vt.使屈服，征服
subject vt.使隶属
subordinate a.下级的，辅助的
subscribe vi.订购，认购；预订
subscript a.写在下方的；n.下标
subscription n.预约，用户，订阅费
subsequent a.尔后的
subsequently ad.其后，其次，接着
subsidiary a.辅助的，补充的
substance n.财产；内容，本旨
substantial a.物质的；坚固的
subtle a.微妙的；精巧的
succession n.继承(权)，后裔
successor n.继承人，继任者
suffice vi.足够；有能力
suicide n.&vi.&vt.自杀
suit vt.使配合vi.彼此协调
suitcase n.小提箱，衣箱
sullen a.绷着脸不高兴的
summary a.概括的；速决的
summit n.顶点，最高点；极度
summon vt.召唤；鼓起(勇气)
superb a.壮丽的；超等的
superficial a.表面的；肤浅的
superiority n.优越(性)，优势
supersonic a.超声的，超声速的
superstition n.迷信，迷信行为
supervise vt.&vi.监督，监视
supplement n.补角
support vt.经受，承受，忍受
