tack n.平头打；vt.钉住
tackle vt.解决，对付；n.用具
tact n.机敏，圆滑，得体
tactics n.策略；战术，兵法
tangle vt.使缠结，使纠缠
tanker n.油船；空中加油飞机
tape vt.系，捆
taper n.细小的蜡烛；微光
tar n.柏油，焦油
team vi.协作，合作
tease vt.逗乐，戏弄；强求
telex n.电传，用户电报
tempt vt.引诱，诱惑，劝诱
tensile a.张力的；能伸长的
terminal n.计算机终端；线接头
terminate vt.&vi.停止，终止
terminology n.术语学，术语
terrace n.平台，阳台，露台
terrify vt.使恐怖，使惊吓
terrorist n.恐怖分子
testify v.证明，证实，作证
Thanksgiving n.感恩节
theatre n.戏剧效果
theft n.盗窃，偷窃(行为)
theme n.题目；词干；主旋律
theorem n.定理；原理，原则
theory n.见解，看法，推测
thereafter ad.此后，以后
therein ad.在那里，在那时
thereof ad.它的，其；由此
thermal a.热的；温泉的
thesis n.论题，论点；论文
thicken vt.使变厚(或粗、密)
thigh n.股，大腿
thorough a.精心的；详尽的
thoughtless a.欠考虑的；自私的
thrash vt.痛打，鞭打；vi.打
thresh vt.打谷，脱粒；推敲
threshold n.门槛；入门，开端
thrifty a.节俭的；兴旺的
thrill vt.&vi.(使)激动
through prep.因为，由于
ticket n.(交通违章)罚款传票
tickle vt.挠，胳肢；逗乐
tighten vt.&vi.(使)变紧
tightly ad.紧地，牢固地
tile n.瓦片，瓷砖；贴砖
tilt vt.&vi.(使)倾斜
timely a.及时的；适时的
tiresome a.使人厌倦的，讨厌的
toad n.蟾蜍，癞蛤蟆
token n.象征；辅币；纪念品
tolerant a.容忍的；有耐力的
tone n.色调，光度；风气
torment n.痛苦；vt.折磨
torpedo n.鱼雷，水雷
torque n.转(力)矩，扭(力)矩
toss vi.翻来复去
tow vt.&n.拖引，牵引
towards prep.为了，有助于
tower vi.高耸，屹立；翱翔
track vi.留下足迹
trade vi.做买卖；交换
trader n.商人；商船
tradesman n.商人；手艺人
tragic a.悲剧性的，悲惨的
tramp vt.&vi.&n.步行，跋涉
trample vt.&vi.&n.践踏，蹂躏
tranquil a.平静的；稳定的
transaction n.处理；交易；和解
transform vt.变压；变换
transition n.转变，变迁；过渡
transmission n.遗传，传染
transplant vt.&vi.移植，移种
transverse a.横切的；n.横轴
traverse vt.横越，横切，横断
tread vi.&vt.踩，踏，践踏
treasurer n.司库，财务主管
trench n.深沟；壕沟，战壕
triangular a.三角的；三者间的
tribute n.贡物；献礼，贡献
trifle vi.玩忽；闲混；嬉耍
trigger n.扳机；vt.触发，引起
triumphant a.得胜的；得意洋洋的
trivial a.琐碎的；平常的
trolley n.手推车；无轨电车
troop n.一群，一队，大量
tropic n.热带地区；回归线
tropical a.热带的；炎热的
trot vi.&n.(马)小跑，慢跑
troublesome a.累赘的，困难的
tuberculosis n.结核病，肺结核
tug vi.用力拖；n.猛拉，拖
tulip n.郁金香
tuna n.金枪鱼
turtle n.海龟，玳瑁；甲鱼肉
tutor vt.教，指导
twilight n.黎明，黄昏；曙光
twist v.歪曲，曲解
tyranny n.暴政，专制；残暴
tyrant n.暴君；专制君主
