daily             a.每日的 ad.每日,天天 n.日报
dairy             n.牛奶场,奶店
damage            v./n.损害,毁坏 n.(pl.)损害赔偿费
damn              int.该死 vt.遣责;使失败 a.十足的 ad.极
dam               n.水坝,水闸
damp              n.潮湿 a.潮湿的 vt.使潮湿;使衰减
dance             n.舞(蹈);舞曲，舞会 v.跳舞;跳动
danger            n.危险;威胁;危险事物
dangerous         a.危险的，不安全的
dare              v.敢,胆敢
dark              a.黑暗的，深(色)的;隐秘的;n.无光，黑暗
darling           n.心爱的人,亲爱的
dash              v./n.冲,猛冲,突进 n.破折号
database          n.(databank)数据库
data              n.(datum的复数)资料，数据
date              n.日期,年代 v.注明…的日期 n./v.约会
daughter          n.女儿
dawn              n.黎明,拂晓 v.破晓;开始现出
daylight          n.日光,白昼,黎明
day               n.天，一昼夜;白昼，白天;时期，时代
daytime           n.白天,日间
dazzle            v.使惊奇,使倾斜;耀(眼) n.耀眼的光
dead              a.死的;无生命的;死气沉沉的 ad.完全地
deadline          n.最后期限
deadly            a.致命的;势不两立的; 极度的;必定的
deaf              a.聋的;不愿听的
dealer            n.商人
deal              v.处理;做买卖,经营;分配;对待 n.交易
dean              n.(大学)院长;主持牧师; (基督教)教长
dear              a.昂贵的;亲爱的;珍贵的 int.呵!哎呀!
death             n.死，死亡;灭亡，毁灭，死因
debate            v./n.争论,辩论
debt              n.债,债务
decade            n.十年
decay             v./n.腐朽,腐烂;衰减,衰退
deceit            n.欺骗,欺骗行为
deceive           v.欺骗,蒙蔽
december          n.十二月
decent            a.体面的;正派的,合乎礼仪的;合适的
decide            v.决定,下决心;解决,裁决
decimal           a.十进的,小数的,十进制的 n.小数
decision          n.决定,决心;决议;决策
decisive          a.决定性的
deck              n.甲板
declaration       n.宣言,宣布,声明
declare           v.宣布,宣告,声明;断言,宣称
decline           v.下降,衰落;拒绝 n.下降;斜面,倾斜,衰落
decompose         分解，腐烂，腐败
decorate          v.装饰,装璜,布置
decrease          n.减少,减小;减少量 v.减少,变少,降低
dedicate          vt.奉献;献身于
deduce            vt.(from)演绎,推断,推论
deduct            vt.扣除;演绎(推理)
deed              n.行为,行动;功绩,事迹;证书;契据
deem              v.认为,相信
deep              a.深的,深长的;深奥的;强烈的 ad.深入的,迟
deer              n.鹿
defeat            n.击败,战胜,失败 v.击败,战胜;使失败
defect            n.过失;缺点;不足
defence           n.(defense)防御,保卫;防务工事;辩护
defend            v.防守,保卫;为…辩护,为…答辩
deficiency        n.缺乏,不足;缺点,缺陷
deficit           n.赤字,逆差;亏损,亏空;不足,缺乏
define            v.给…下定义;阐述;阐释;限定,规定
definite          a.明确的;一定的;意志坚强的,立场坚定的
definition        n.定义,解释;(轮廓影像等的)清晰度;阐明;
deform            (使)变形
defy              v.(公然)违抗,反抗;蔑视
degenerate        v.衰退,堕落,蜕化 a.堕落的 n.堕落者
degree            n.程度;度数;学位;等级
delay             v./n.耽搁,延迟
delegate          n.代表 vt.委派…为代表;授权;委托
delete            vt.删除
deliberate        a.深思熟虑的,故意的 vt.研讨,商讨
