oak               n.橡树,橡木 a.橡木的
oar               n.桨,橹 v.划,划动,划行
oath              n.誓言,誓约,诅咒
obedience         n.服从,顺从
obedient          a.服从的,顺从的
obey              v.服从, 顺从
objection         n.(to)反对,异议,不喜欢,反对的理由
objective         n.目标,目的 a.客观的,真实的
object            n.物体;客体,对象;目标;宾语 v.(to)反对
obligation        n.义务,责任
oblige            v.强迫,迫使;责成;(使)感激,施恩于
obscure           a.暗的,朦胧的;模糊的,晦涩的
observation       n.观察,观测,监视;(pl.)观察资料;观察力
observe           v.观察,观测,注意到,监视,遵守,评述,说
obsession         n.迷住, 困扰
obsolete          a.已废弃的,过时的
obstacle          n.障碍(物),妨碍,阻碍,干扰
obstinate         顽固的，固执的，倔强的
obstruction       n.妨碍,障碍物
obstruct          v.阻隔,阻塞(道路、通道等)n.阻碍物,障碍物
obtain            v.获得,得到
obvious           a.明显的,显而易见的
occasional        a.偶然的,非经常的,特殊场合的;临时的
occasion          n.场合,时节,时刻;时机,机会
occupation        n.占领,占据;占用;职业,工作
occupy            v.占,占用;占据,占领;使忙碌,使从事
occurrence        n.发生,出现;事件,事故,发生的事情
occur             v.发生,出现;存在;想起,想到
ocean             n.海洋
october           n.十月
odd               a.奇数的;奇怪的;单只的;临时的;带零头的
odds              n.不平等,差异;机会
odd               的奇数的，单的，奇怪的
odor              n.(odour)气味,香味,臭味,名声
off               ad.离开;在远处;脱开 prep.从，从...离开
offence           犯法行为，过错
offend            v.犯罪,冒犯,违反,得罪,使...不愉快
offensive         a.冒犯的,攻击的 n.攻势,进攻
offer             v.提供,提议,出现 n.出价,提议,意图
office            n.办公室,办事处;职务,公职;部,局,处
officer           n.官员,办事员;工作人员;军官
official          n.官员,行政官员 a.官方的,官方的,正式的
offset            n.分支,补偿 v.抵消,补偿
offspring         n.子孙,后代;结果,产物
of                prep.…的;在…之中;用…制的;关于…的
often             ad.常常，经常，通常
oil               n.油，石油 v.给…加润滑油;涂油，上油
okay              a.(okey，OK，O.K.)好，行，不错 n.同意
old               a.年老的;…岁的;长时间的，老的;过去的
omit              v.省略,删去;遗漏,忽略
on                a.连接上 prep.在…上;靠近 ad.向前，继续
once              ad.一次，曾经 conj.一(旦)…就… n.一次
one               num.一 pron.一个(只)(表示代替可数的东西)
oneself           pron.[反身代词]自己;亲自，本人
onion             n.洋葱
only              ad.仅仅，只不过 a.唯一的 conj.可是，不过
onto              prep.在...上面;到...上面
opaque            a.不透明(光)的;难理解的,晦涩的
opening           n.开,开放,开始,空缺,机会 a.开始的,开幕的
open              n.公开,户外 a.开的,开放的 v.开
opera             n.歌剧
operate           v.操作,运转,开动,起作用,动手术
operational       a.操作的,运转的,起作用的,经营的
operation         n.运转,开动,操作,手术,运算,经营
operator          n.操作人员,(电话)接线员
opinion           n.意见,看法,主张
opponent          n.对手,反对者,敌手 a.对立的,对抗的
opportunity       n.机会
oppose            v.反对,使对立,使对抗,使相对
opposite          a.对面的,相对的,相反的 n.对立面
oppress           v.压迫,压制
optical           a.眼的,视力的;光学的
optimistic        a.乐观主义的
optimum           a.最适宜的 n.最适宜(条件)
optional          a.可以任选的,随意的,非强制的
option            n.选择(权),[商]选择买卖的特权
opt               vi.抉择，选择
oral              a.口头的
orange            n.柑,桔,橙
orbit             n.轨道 v.(使)沿轨道行
orchard           n.果园,果园里的全部果树,棒球场
orchestra         n.管弦乐队
or                conj.或，或者(表示选择);即，大约;否则
orderly           a.整齐的,有秩序的,有条理的 n.勤务兵
order             n.命令;次序;整齐;定货单;等级 v.定制,订购
ordinary          a.普通的,平凡的,平常的;平庸的
ore               n.矿石,矿砂
organic           a.器官的;有机的;有机体的
organism          n.生物，有机体
organization      n.(organization)组织,团体,机构
organ             n.器官;机构,机关;风琴
oriental          a.东方的,东方诸国的 n.东方人
orientation       n.方向,方位,定位,倾向性,向东方
orient            n.东方,亚洲 v.使朝东,为…定位,使适应
original          a.最初的,原文的;新颖的 n.原物,原作,原文
originate         v.(in,from)起源,发生;首创,创造
origin            n.起源,由来;出身,来历
ornament          v.装饰,美化 n.装饰,装饰物
orphan            n.孤儿
orthodox          a.传统的,正统的,习惯的,保守的,东正教的
other             a.另外的，其他的 n./pron.另一个人(或事)
otherwise         ad.另样,用别的方法;在其他方面conj.要不然
ought             aux.应该(使用时,之后应接to,再接动词原形)
ounce             n.盎司,英两
our               pron.[we的所有格]我们的
ourselves         pron.[反身代词]我们自己;我们亲自
ours              pron.[we的物主代词]我们的(所有物)
out               ad.出去;离家;突出来 a.外面的，往外去的
outbreak          n.(战争,愤怒,火灾等的)爆发,(疾病的)发作
outcome           n.结果,成果
outdoor           a.室外的,野外的
outer             a.外部的,外面的,外层的
outfit            n.用具,机构,全套装配 v.配备,(得到)装备
outing            n.外出,旅行,散步
outlet            n.出路,出口;销路,市场;发泄方法;电源插座
outline           n.轮廓,略图;大纲,梗概 v.概述,略述
outlook           n.景色,风光;观点,见解;展望,前景
output            n.产量,输出(量)
outrage           n.暴行,侮辱,愤怒 v.凌辱,引起…义愤,强奸
outset            n.开始,开端
outside           ad.向外面 n.外部 a.外部的 prep.在…外
outskirts         n.郊区
outstanding       a.突出的,显著的,杰出的
outward           a.外面的,公开的,向外的ad.向外,在外n.外表
oval              a.卵形的，椭圆形的 n.卵形，椭圆形
oven              n.炉,灶,灶箱
over              ad.在上方;遍及地 prep.在的上方 a.结束的
overall           a.全面的,综合的 n.(pl.)(套头)工作服
overcoat          n.外衣,大衣
overcome          v.战胜,克服
overflow          v.(使)外溢,(使)溢出;溢出,流出,漫出
overhaul          大修，全面检查，彻底革新
overhead          a.在头顶上的;架空的 ad.在头顶上
overhear          v.偶然听到,从旁听到
overlap           v.重叠,与…交叠 n.重叠
overlook          v.看漏,忽略;俯瞰,眺望;宽容,放任
overnight         a.通宵的,晚上的 ad.在昨夜,一夜工夫,突然
overpass          n.过街天桥 vt.胜过,通过,忽视
overseas          a.外国的,海外的 ad.在海外
overtake          v.追上,超过,突然降临,压倒
overthrow         v./n.推翻,颠覆
overtime          a.超时的,加班的 ad.加班
overturn          n.倾覆,破灭,革命 v.打翻,推翻,颠倒,翻倒
overwhelming      a.势不可挡的,压倒的
overwhelm         v.淹没,覆没,压倒,制服,使不知所措
owe               v.欠(债等),应向…付出,归功于,得感谢
owing             a.欠的,未付的
owl               n.猫头鹰
own               a.(用在所有格后面，加强语气)自己的
owner             n.物主,所有者
ownership         n.所有(权),所有制
oxide             n.[化]氧化物
ox                n.牛,公牛
oxygen            n.氧,氧气
ozone             n.臭氧;(海岸等的)新鲜空气
