abandon           vt.离弃，丢弃;遗弃，抛弃;放弃
abdomen           n.腹，下腹(胸部到腿部的部分)
abide             vi.(abode，abided)(by)遵守;坚持
ability           n.能力;本领;才能，才干;专门技能，天资
able              a.有(能力、时间、知识等)做某事，有本事的
abnormal          a.反常的，不正常的，不规则的
aboard            ad.&prep.在船(飞机、车)上;ad.上船(飞机)
abolish           vt.废除(法律、习惯等);取消
abound            vi.大量存在;(in，with)充满，富于
about             ad.在周围;大约 prep.关于;在周围 a.准备
above             a.上述的 ad.在上面 prep.在..之上，高于
abroad            ad.到国外，在国外;在传播，在流传
abrupt            a.突然的，出其不意的;(行为等)粗鲁无礼的
absence           n.缺乏，不存在;缺席，不在;缺席的时间
absent            a.缺席的;缺乏的,不存在的;心不在焉的
absolute          a.绝对的，完全的;确实的，肯定的
absorb            vt.吸收(水、光、蒸汽等);使全神贯注
abstract          a.抽象的 n.摘要，梗概 vt.提取;摘录要点
absurd            a.荒谬的，荒诞的，荒唐可笑的;不合理的
abundance         n.丰富，充裕，大量
abundant          a.大量(充足)的;(in)丰富(富裕)的
abuse             vt.滥用;辱骂;诋毁 n.滥用;恶习;弊端
academic          a.学院的，大学的;学术性的;理论的
academy           n.(高等)专科院校;学术社团，协会，研究院
accelerate        v.使加速，使增速，促进 vi.加快，增加
accent            n.口音,腔调;重音(符号)vt.重读
acceptance        n.接受，接收，验收，接纳;承认，认可
accept            vt.接受，领受;认可，同意 vi.同意，认可
access            n.进入;接入;到达;享用权;入口 vi.存取
accessory         n.附件,附属品;(为全套衣服增加美感的)服饰
access            接近（或进入）的机会
accidental        a.偶然的;意外的;无意中的
accident          n.意外遭遇,事故;意外(因素)
acclaim           v.向…欢呼，公认 n.欢呼，喝彩，称赞
accommodate       vt.向…提供住处;对...予以照顾性考虑
accommodation     n.(accommodations)住宿，留宿;膳宿供应
accompany         v.陪伴，陪同;伴随，和...一起发生，伴奏
accomplish        v.实现(计划等);达到(目的);完成(任务)
accordance        n.一致，和谐，符合
accordingly       ad.相应地，照着办，按照;于是，因此
according         to prep.据/照…(所说、所写);按…，视…
accord            vt.给予(欢迎、称颂等) vi.&n.符合，一致
accountant        n.会计人员，会计师
account           a.叙述，说明;账目，账户 vi.说明，解释
accumulate        vt.堆积，积累，积聚vi.累积，聚积
accuracy          n.准确(性);精确;准确度
accurate          a.正确无误的;准确的，精确的
accuse            vt.控告，指责 vi.指控，指责
accustomed        a.惯常的;习惯的，适应的(一般作表语)
accustom          使习惯于
ache              vi.痛;哀怜 n.(指连续)疼痛、酸痛i
achieve           vt.实现，完成;达到，得到vi.达到预期目的
acid              n.酸,酸性物质a.酸的,酸味的;尖刻的
acknowledge       vt.承认;接受;告知(信件等的)收到;答谢
acquaintance      n.认识，相识，了解;相识的人，熟人
acquaint          vt.(with)使认识，使了解，使熟悉
acquire           v.获得;学到(知识等);养成(习惯)
acquisition       n.取得，学到，养成(习惯);获得的东西
acre              n.英亩;田地;地产
acrobat           n.特技演员，杂技演员
across            prep.横过，越过;在的对面 ad.横过，穿过
action            n.行动，动作;作用;运转;行为;战斗
activate          vt.启动，激活;驱动，驱使;使开始起作用
active            adj.活跃的，敏捷的，积极的;在活动中的
activity          n.活动;活力;能动性;
actor             n.男演员;演员，行动者
actress           n.女演员
actual            a.实际的;现实的，真实的，目前的
act               v.表演;举动;起作用 n.行为，法令;一幕
acute             a.剧烈的;敏锐的;成锐角的;尖的，高音的
adapt             vt.使适应，使适合;改编;改写 vi.适应
addict            v.使沉溺;使上瘾 n.沉溺于不良嗜好的人
additional        a.额外的，附加的，另外的
addition          n.加，加法;附加部分，增加(物)
address           n.住址;致词 v.向...致词;在信封上写姓名
add               vt.加;增加(进);进一步说/写 vi.(to)增添
adequate          adj.充足的，足够的;适当的，胜任的
adhere            vi.(to)粘着;坚持，遵守;依附，追随
adjacent          a.(to)(时间上)紧接着的;邻近的，毗邻的
adjective         n.形容词 a.形容词的，用作形容词的
adjoin            v.临近，靠近;贴近，毗连
adjust            vt.调节;整顿，调整 vi.适应(to);使调节
administer        v.施行，实施;掌管，料理...的事务;给予
administrate      掌管，料理...的事务
administration    n.经营，管理;行政，行政机关，管理部门
admire            vt.钦佩,赞赏,羡慕;称赞,夸奖
admission         n.允许进入;承认;入场费，入会费，入场券
admit             vt.承认，供认;准许…进入，准许...加入
adolescent        n.青少年 a.青春期的，青少年的
adopt             vt.采用，采取(态度等);选定;收养
adore             vt.崇拜,敬慕,爱慕;非常喜欢
adult             n.成年人 a.成年的，充分长成的，成熟的
advanced          a.超前的，先进的;高级的;开明的;前进的
advance           n.前进，预付 vi.前进，进展 vt.促进，推进
advantage         n.优点，长处，有利条件;利益，好处
advent            n.(重要事件等的)到来，来临
adventure         n.冒险，冒险活动，奇遇 vt.大胆进行
adverb            n.副词 a.副词的
adverse           a.逆的，相反的;敌对的;不利的;有害的
advertise         vt.公告，公布;为...做广告 vi.登广告
advice            n.劝告，忠告，(医生等的)意见
advisable         a.可取的，适当的，明智的
advise            vt.忠告，劝告，建议;通知，告知
advocate          n.辩护者，拥护者，鼓吹者 vt.拥护，提倡
aerial            a.(在或来自)空中的，航空的 n.天线
aeroplane         n.(airplane)(英)飞机
aesthetic         a.(esthetic)美学的，艺术的;审美的
affair            n.[pl.]事务;事情(件);(个人的)事
affection         n.爱，喜爱;爱慕之情;感情;疾病，不适
affect            vt.影响;(疾病)侵袭;感动 n.情感，感情
affiliate         v.使隶属(或附属)于 n.附属机构，分公司
affirm            vt.断言，坚持声称;肯定;证实,确认;
affliliate        使隶属（或附属）于，使成为会员
affluent          a.富裕的，富有的，丰富的，富饶的
afford            vt.担负得起(损失、费用、后果等)，买得起
afraid            adj.害怕的，恐惧的;犯愁的，不乐意的
afternoon         n.下午，午后
after             prep.在...以后;在...后面 adv.以后，后来
afterward         ad.(afterwards)以后，后来
again             ad.再次，另一次;重新;除此，再，更，还
against           prep.对着，逆;反对;违反;紧靠着;对比
agency            n.代理(处);代办处;[美](政府的)机关，厅
agenda            n.议事日程，记事册
agent             n.代理人;代理商;产生作用的人或事物
age               n.年龄;时代;老年;长时间 v.(使)变老
aggravate         vt.加重(剧),使恶化;激怒,使恼火
aggressive        a.侵略的，好斗的，有进取心的，敢作敢为的
agitate           v.摇动(液体);使焦虑不安;困扰;鼓动
ago               ad.(常和一般过去时的动词连用)以前，…前
agony             n.(精神或肉体的)极大痛苦，创伤
agreeable         a.符合的;一致的;欣然同意的;令人愉快的
agreement         n.协定;协议;契约;达成协议;同意，一致
agree             vi.答应，赞同;适合，一致;商定，约定
agriculture       n.农业，农艺，农耕
ahead             ad.在前面(头);向(朝)前;提前
aid               n.援助，救护;助手，辅助物 vi.援助，救援
aim               n.目的;瞄准 vi.(at)目的在于 vt.把…瞄准
air-conditioning  n.空调设备，空调系统
aircraft          n.飞机，飞船，飞行器
airline           n.(飞机)航线 a.(飞机)航线的
air               n.空气;(复数)神气 vt.(使)通风;晾干
airport           n.机场，航空站，航空港
aisle             n.(教堂、教室、戏院等里的)过道，通道
alarm             n.惊恐;警报(器) vt.惊动，惊吓;向…报警
album             n.(同一表演者的)集锦密纹唱片;集邮册,相册
alcohol           n.酒精，乙醇;含酒精的饮料
alert             a.机警的，警觉的;机灵的 vt.使…警觉
alien             n.外侨，外国人;外星人 a.外国的;相异的
