bachelor          n.单身汉;学士(学位)
background        n.背景,经历;幕后
backward          a.向后的,倒行的;迟钝的 ad.向后,朝反方向
bacon             n.咸猪肉,熏猪肉
bacterium         n.(pl.)细菌
bad               a.坏的;低劣的;不舒服的;腐败的;严重的
badge             n.徽章,像章;标记;象征;记号
badly             ad.非常，严重地;坏地，差地，拙劣地
badminton         n.羽毛球
baggage           n.行李
bag               n.袋，提包 v.把…装入袋中;猎杀;占有
bait              n.饵，引诱物 vt.用饵引诱;折磨，奚落
bake              v.烤,烘,焙;烧硬,焙干
balance           v.称,(使)平衡 n.天平;平衡,均衡;差额,余款
balcony           n.阳台;(电影院等的)楼厅，楼座
bald              a.秃的,秃头的
ballet            n.芭蕾舞，芭蕾舞剧;芭蕾舞团
ball              n.球(状物);(正式的)舞会vt.把…捏成球状
balloon           n.气球,飞船;a.气球状的 v.乘坐气球;膨胀
ballot            n.(不记名)投票;投票总数;投票权 vi.投票
banana            n.香蕉
bandage           n.绷带 v.用绷带扎缚
band              n.条,带;乐队;波段;一群,一伙 v.缚,绑扎
bang              n.砰砰的声音;猛击 v.砰地关上,猛撞,猛击
bank              n.银行;岸,堤;vi.存入(经营)银行;信赖
bankrupt          a.破产的;彻底缺乏的 vt.使破产n.破产者
banner            n.旗(帜)
banquet           n.(正式的)宴会 vi.参加宴会 vt.宴情
ban               v.取缔,查禁;(from)禁止 n.禁止,禁令
barbecue          n.烤肉;烤肉用的台架 vt.炙烤(肉等)
barber            n.理发师
bare              a.赤裸的,空的;稀少的,仅有的 v.露出,暴露
barely            ad.赤裸裸地,无遮蔽地;仅仅,勉强,几乎没有
bare              赤裸的，光秃的，空无内容的
bargain           n.廉价货;交易,契约,合同 v.议价,成交
bark              vi.(狗等)吠，叫n.吠声，叫声;树皮
barn              n.谷仓,仓库
bar               n.条,杆,闩;酒吧;栅,障碍(物) v.闩上,阻拦
barrel            n.桶;枪管,炮管
barren            a.贫瘠的;不育的;(植物)不结果的;无用的
barrier           n.栅栏,屏障;障碍(物)
bar               条，块，杆，棒
baseball          n.棒球
basement          n.建筑物的底部,地下室,地窖
base              n.基础,底部;根据地 v.(on)把…基于
basic             a.基本的,基础的
basin             n.盆,脸盆;内海,盆地
basis             n.基础,根据
basketball        n.篮球，篮球运动
basket            n.筐，篮，篓
batch             n.一批,一组,一群
bathe             v.游泳,洗澡,浸,弄湿
bath              n.沐浴,洗澡;浴室(池,盆) v.(给…)洗澡
bathroom          n.浴室;盥洗室,卫生间
bat               n.球拍,球棒,短棒;蝙蝠
battery           n.电池(组);(器具等的)一组，一套;炮兵连
battle            n.战役,战斗;斗争 v.战斗,斗争,搏斗
bay               n.海湾,(港)湾
beach             n.海滩,湖滩,河滩
beam              n.(横)梁,桁条;(光线的)束,柱 v.微笑
bean              n.豆;菜豆,蚕豆
beard             n.胡须
bearing           n.轴承;忍受;关系，影响;举止;方向
bear              n.熊 v.忍受,容忍;负担;结果实,生子女
beast             n.兽,牲畜;凶残的人,举止粗鲁的人
beat              n.敲打;(心脏等)跳动 v.打败;(心脏等)跳动
beautiful         a.美的，美丽的;出色的，完美的
beauty            n.美，美丽;美人，美丽的事物
because           conj.因为，由于
become            vi.变成，开始变得vt.适合，同…相称
bed               n.床,床位;(苗)床,坛;河床，(湖、海的)底
beef              n.牛肉
bee               n.蜂，蜜蜂;忙碌的人
beer              n.啤酒
beforehand        ad.预先,事先
before            prep.(指时间)在…以前,在..前面，在..之前
beginning         n.开始，开端;起源，早期阶段
begin             v.(began,begun)开始，着手
beg               vt.请求，乞求 vi.恳请，行乞
behalf            n.利益
behave            v.举止,举动,表现;运转,开动
behavior          n.(behaviour)行为,举止;(机器等)运转情况
behind            prep.在...的背后，(遗留)在..后面;落后于
being             n.生物，生命,存在;
belief            n.信任，相信，信念;信仰，信条
believe           vt.相信，认为 vi.相信，信任，信奉
bell              n.钟,铃
belly             n.肚子，腹部;(像肚子一样)鼓起的部分，膛
belong            v.(to)属于,附属,隶属;应归入(类别,范畴等)
beloved           a./n.受爱戴的,敬爱的;爱人,被心爱的人
below             prep.在…下面，在…以下 ad.在下面，向下
belt              n.(皮)带,腰带;地带
bench             n.长凳,条凳;(工作)台,座
bend              v.(使)弯曲;屈从,屈服 n.弯曲(处),曲折处
beneath           prep.在…下边,在…之下 ad.在下方
beneficial        a.(to)有利的,有益的
benefit           n.利益,好处,恩惠 v.有益于;(from,by)受益
benign            a.(病)良性的,(气候)良好的,仁慈的,和蔼的
beside            prep.在...旁边，在...附近;和...相比
besides           ad.此外;并且 prep.于…之外;除…以外
best              a.最好的(good和well最高级) ad.最好地;最
betray            v.背叛,出卖;暴露,流露,泄露
better            a.较好的 ad.更好(地) v.改良 n.较佳者
bet               v.赌,打赌 n.打赌,赌注
between           prep.在…之间，在(两者)之间 ad.在中间
beverage          n.(水，酒等之外的)饮料
be                v.(就)是，等于;(存)在;到达，来到，发生
beware            v.当心,谨防
bewilder          v.使迷惑,难住
beyond            prep.在(或向)...的那边，远于;超出;
bias              n./v.(使有)偏见,偏心,偏袒
bible             n.圣经
bibliography      n.(有关某一专题的)书目;参考书目
bicycle           n.(bike)自行车 vi.骑自行车
