cabbage           n.洋白菜,卷心菜
cabinet           n.内阁，内阁会议;(带玻璃门存物品的)橱柜
cabin             n.客舱,机舱;小(木)屋
cable             n.电报;电缆;缆,索,钢丝绳 v.拍电报
cafe              n.咖啡馆,(小)餐馆
cafeteria         n.自助食堂
calcium           n.钙(化学符号Ca)
calculate         v.计算,推算;计划,打算
calendar          n.日历,月历
calm              a.(天气,海洋等)静的 n.平静 v.(使)平静
calorie           n.卡路里(食物所产生的热量或能量单位)
camel             n.骆驼
camera            n.照相机,摄影机
campaign          n.战役;运动
camp              n.野营,营地;帐篷,阵营 v.设营,宿营
campus            n.(大学)校园
canal             n.运河;(沟)渠
cancer            n.癌
candidate         n.候选人,候补者;报考者
candle            n.蜡烛
candy             n.糖果
cannon            n.大炮,火炮
canoe             n.独木舟,小游艇
canteen           n.(工厂、办公室等)食堂或小卖部
canvas            n.帆布;帆布画布，(帆布)油画
capable           a.有本领的,有能力的;(of)可以…的,能…的
capacity          n.容量,容积;能量,能力;接受力
cape              n.海角，岬;披肩，短披风
capitalism        n.资本主义
capital           n.首都;大写字母;资本 a.主要的,大写字母的
cap               n.便帽,军帽;盖,罩,套 v.覆盖于…顶端
capsule           n.胶囊;太空舱
captain           n.首领,队长;船长;上尉 v.做…的首领,指挥
captive           n.俘虏 a.被俘虏的,被监禁的
capture           v./n.捕获,俘虏;夺得,攻占
carbohydrate      n.碳水化合物; 糖类;(plural)淀粉质或糖类
carbon            n.碳
cardinal          n.(天主教的)红衣主教 a.首要的，基本的
card              n.卡片,名片;纸牌;纸片
career            n.(个人的)事业;专业，生涯，职业，经历
careful           a.小心的,仔细的;细致的,精心的
care              n.小心;关怀,照料 v.(about)关心,介意,计较
caress            vt./n.爱抚，抚摸
cargo             n.船货,货物
car               n.汽车，车辆，车;(火车)车厢
carpenter         n.木工,木匠
carpet            n.地毯
carriage          n.(四轮)马车;(火车)客车厢
carrier           n.搬运人;载体
carrot            n.胡萝卜
carry             v.运送,搬运;传送,传播;领,带
cart              n.(二轮货运)马车,手推车
cartoon           n.漫画,幽默画;动画片
carve             v.(雕)刻
case              n.箱,盒,容器;情况,事实;病例;案件
cashier           n.收银员,出纳员
cash              n.现金,现款 v.兑现,付(或收)现款
cassette          n.盒子;盒式磁带
castle            n.城堡;(国际象棋中的)车
cast              v.投,扔,掷,抛;铸造;投票;n.演员表
casual            a.偶然的,碰巧的;临时的,非正式的
casualty          n.伤亡人员;受害人;损失的东西;急诊室
casual            偶然的，无计划的，随便的，非正式的
catalog           n.(catalogue)目录(册) v.编目(录)
catastrophe       n.大灾难;(悲剧)结局
catch             v.捕捉,捕获;赶上;感染;理解,听到
category          n.种类，部属，类目;范畴，类型
cater             vi.(for/to)满足,迎合;(for)提供饮食及服务
cathedral         n.大教堂
catholic          a.天主教的 n.天主教徒
cat               n.猫;猫科;
cattle            n.牛;牲口,家畜
cause             n.原因;事业,事件,奋斗目标 v.使产生,引起
caution           n.谨慎;注意(事项)，警告vt.劝…小心
cautious          a.(of)小心的,谨慎的
cave              n.洞,穴
cease             v./n.停止,中止
ceiling           n.天花板;(规定价格、工资等的)最高限额
celebrate         vt.庆祝;颂扬，赞美vi.庆祝，过节
celebrity         n.名人，名流;著名，名声，名望
cellar            n.地窑,地下室
cell              n.细胞;小房间;蜂房;电池
cement            n.水泥;胶泥,胶接剂 v.胶合;巩固,加强
cemetery          n.坟墓，墓地，坟场
census            n.人口普查(调查)
centigrade        n./a.摄氏温度计(的);百分度(的)
centimetre        n.(centimeter)厘米
cent              n.分(币);百 per cent百分之
central           a.中心的,中央的,中枢的;主要的
centre            n.中心，中央，中间 vt.集中 vi.以..为中心
century           n.世纪,(一)百年
cereal            n.加工而成的谷类食物;谷类植物，谷物
ceremony          n.典礼,仪式;礼节,礼仪
certain           a.某,某一,某些;(of)一定的,确信的,可靠的
certainly         ad.一定,必定,无疑;当然,行
certainty         n.必然,肯定;必然的事
certificate       n.证(明)书,执照
certify           vt.证明，证实;发证书(或执照)给
chain             n.链(条);(pl.)镣铐;一连串 v.用链条拴住
chairman          n.主席,议长,会长,董事长
chair             n.椅子;(会议的)主席 vt.当…的主席，主持
chalk             n.粉笔,白垩
challenge         n.挑战(书);艰巨任务,难题 v.向…挑战
chamber           n.房间，室;会议室;议院;(动物体内)腔室
champagne         n.香槟酒;微黄色
champion          n.冠军,得胜者;拥护者,斗士
chancellor        n.(英)大臣;法官;(德、奥)总理;大学校长
chance            n.机会;可能性;偶然性,运气v.碰巧,偶然发生
change            n.改变,变化;零钱 v.更换,调换,交换;改变
channel           n.海峡,水道;信道,波道;路线,途径
chaos             n.混乱,紊乱
chap              n./v.(皮肤)变粗糙;发痛;n.小伙子
chapter           n. 章;回，篇
characteristic    a.(of)特有的,独特的 n.特征,特性
characterize      v.(characterise)表示…的特性;描述…特性
character         n.性格,品质,特性;人物,角色;字符,(汉)字
charge            v.索(价);控告;充电 n.(pl.)费用,代价;电荷
charity           n.慈善(团体),仁慈,施舍
charm             n.吸引力,魅力 v.迷人,(使)陶醉;施魔法于
charter           v.租船,租车,租用飞机;n.宪章，特许状
chart             n.图表;航海图;航行图 vt.绘图表，制图表
chase             v./n.追逐,追求
chat              v./n.闲谈,聊天
cheap             a.便宜的;低劣的,不值钱的
cheat             v.欺骗;作弊 n.骗子;欺诈,欺骗行为
check             使突然停止，制止
cheek             n.面颊,脸
cheer             v.(使)振奋,(使)高兴 v./n.喝彩,欢呼
cheese            n.干酪,乳酪
chef              n.(餐馆等的)厨师长，厨师
chemical          a.化学的 n.(pl.)化学制品,化学药品
chemist           n.化学家;药剂师
chemistry         n.化学
cheque            n.(check)支票,空白支票;总收入
cherish           vt.抱有，怀有(希望等);爱护，抚育;珍爱
cherry            n.樱桃(树)
chess             n.棋，国际象棋
chest             n.胸腔,胸膛;箱,柜
chew              v.咀嚼;思量
chicken           n.鸡肉;鸡，小鸡，小鸟
chief             a.主要的,首要的 n.首领,领袖
childhood         n.幼年,童年
child             n.( [pl.] children)小孩，儿童，儿女
chill             n.寒冷,寒气,寒战 v.使寒冷
chimney           n.烟囱
china             n.瓷器
chin              n.下巴,颏
chip              n.切屑,碎片;(土豆等的)薄片;集成电路块
chocolate         n.巧克力(糖),赭色
choice            n.选择(机会),抉择,选择项;入选者 a.精选的
choke             v.窒息,噎住;闷塞,堵塞,阻塞
choose            v.选择,挑选;甘愿
chop              v.砍,劈,斩 n.排骨,肉块
chorus            n.合唱队;合唱 v.异口同声地说,随声附和
christian         n.基督教徒 a.基督教徒的
christmas         n.圣诞节
christ            n.基督，救世主，耶稣
chronic           a.(疾病)慢性的;积习难改的;严重的,坏的
church            n.教堂;教会,教派;(宗教的)礼拜仪式
cigaret           n.(cigarette)香烟,纸烟,卷烟
cigar             n.雪茄烟
cinema            n.电影院;电影,影片
circle            n.圆,圆周;集团;周期,循环 v.环绕,旋转
circuit           n.环行,周线,巡回;电路,线路
circular          a.圆(形)的,环形的;循环的 n.传单,通报
circulate         v.(使)循环,(使)流通
circumference     n.圆周,周围
circus            n.马戏团,杂技团;马戏场,杂技场
cite              v.引用,引证,举(例)
citizen           n.公民;市民,居民
city              n.城市;都市;市
civil             a.公民的,市民的;民间的;民用的;有礼貌的
civilian          n.平民 a.平民的;民用的
civilization      n.(=civilisation)文明,文化
civilize          v.(=civilise)使文明,开化
claim             v.要求;声称;索赔 n.要求;断言;索赔;权利
clap              v.拍手,拍,轻拍 n.拍(手),掌声,霹雳声
clarify           v.澄清,阐明
clarity           n.清晰,明晰
clash             v./n.碰撞 n.碰撞声
clasp             n.扣子,钩子;握手 v.扣住,钩住;紧握,紧抱
classical         a.经典的,古典(文学)的
classic           n.(pl.)杰作,名著 a.第一流的,不朽的
classification    n.分类,分级
classify          v.分类,分等(级)
classmate         (名)同班同学
class             n.班级，年级;种类，等级，阶级;(一节)课
classroom         n.教室，课堂
clause            n.(正式文件或法律文件的)条款;从句,分句
claw              n.爪,脚爪
clay              n.粘土,泥土
clean             a.清洁的，干净的v.除去..污垢,把...弄干净
clear             a./ad.清晰的(地)vt.清除;使清楚vi.变清澈
clergy            n.[总称]牧师，神职人员
clerk             n.职员,办事员;店员
clever            a.聪明的,伶俐的,机敏的,精巧的
click             n.滴答声;vi.发出滴答声
client            n.律师等的当事人，委托人;商店的顾客
cliff             n.悬崖;峭壁
climate           n.气候;风气,社会思潮
climax            n.顶点,高潮
climb             v./n.攀登,爬
cling             v.(to)粘住;依附;坚持
clinic            n.诊所
clip              v.剪,修剪;钳,夹住 n.夹,钳;回形针
cloak             n.斗蓬，披风;掩饰，幌子vt.掩盖，掩饰
clock             n.钟 vt.记录(时间、速度等)，为…计时
clockwise         a.顺时针方向
clone             n.无性繁殖，克隆;复制品v.克隆
closet            n.(壁)橱a.私下的vt.把…引进密室会谈
close             v./n.关;结束 a./ad.近的(地);紧密的(地)
clothes           n.衣服(虽为复数，亦不可数)
clothe            v.(给…)穿衣,供给…衣服
clothing          n.服装,被褥
cloth             n.(一块)布,织物,衣料
cloud             n.云(状物);遮暗物,阴影;一大群
cloudy            a.多云的,阴(天)的;混浊的,模糊的
club              n.俱乐部,夜总会;社团;棍棒,球棒
clue              n.线索,暗示
clumsy            a.笨拙的,愚笨的
cluster           n.丛,群,串 v.群集,丛生
clutch            v.抓住,攫住,掌握 n.离合器
coach             n.长途公共汽车;教练 vt.训练，指导，培训
coalition         n.结合体，同盟;结合，联合
coal              n.煤,煤块
coarse            a.粗糙的,粗劣的;粗鲁的,粗俗的
coast             n.海岸,海滨
coat              n.上衣，外套;表皮;层,覆盖物 v.涂(盖)上
cocaine           n.可卡因，古柯碱(用作局部麻醉剂)
cock              n.公鸡,雄鸡;龙头,开关
code              n.代码,代号,密码;法典,法规,规划
coffee            n.咖啡(色)
cognitive         a.认知的，认识能力的
coherent          a.一致的，协调的;(话语等)条理清楚的
cohesive          a.粘合性的，有结合力的
coil              v.卷,盘绕 n.(一)卷,(一)圈;线圈,绕组
coincidence       n.巧合;同时发生，共同存在;符合，一致
coincide          vi.同时发生;巧合;一致;相符;
coin              n.硬币,货币 v.铸造(硬币),创造(新词)
coke              n.焦炭;可口可乐(COCA-COLA)的缩写
cold              a.冷的，寒冷的;冷淡的 n.冷，寒冷;伤风
collaborate       vi.协作，合作;(与敌人)勾结
collapse          v./n.倒塌;崩溃;(价格)暴跌;倒闭，破产
collar            n.衣领;环状物
colleague         n.同事,同僚
collection        n.收藏(品),收集(物)
collective        n.集体 a.集体的,共同的
collect           v.收集,搜集;领取,接走;收(税等);聚集,堆积
college           n.学院,高等专科学校,大学
collide           vi.[with]互撞，碰撞;冲突，抵触
collision         n.碰撞;(利益，意见等的)冲突，抵触
colonel           n.(陆军)上校
colonial          a.殖民地的，关于殖民的 n.殖民地居民
colony            n.殖民地;侨民;聚居区;(动植物的)群体
color             n.(=colour)颜色;颜料;肤色 v.给…着色
column            n.圆柱,柱状物;列;(报刊中的)专栏
combat            v./n.战斗,搏斗,格斗
combination       n.结合，联合;化合;团体;组合数码
combine           v.联合;结合;化合 n.集团;联合企业
comb              n.梳子 v.梳(理)
comedy            n.喜剧;喜剧性事件
come              v.来;出现于，产生;是，成为;开始，终于
comfortable       a.舒适的，舒服的;感到舒适的，安逸的
comfort           n.舒适，安逸;安慰，慰问 v.安慰，使舒适
comic             a.喜剧的，滑稽的n.连环漫画杂志;喜剧演员
command           n./v.命令，指挥，控制 n.掌握，运用能力
commemorate       vt.纪念，庆祝
commence          vt.开始 vi.获得学位
commend           v.称赞，表扬：委托保管;推荐
comment           n.注释,评论,意见 v.(on)注释,评论
commerce          n.商业，贸易;交际，交往
commercial        a.商业的;商务的;可获利的 n.广告节目
commission        n.委员会;委任,委托(书),代办;佣金,手续费
committee         n.委员会,全体委员
commit            v.把…交托给,提交;犯(错误),干(坏事)
commodity         n.(pl.)日用品;商品;农/矿产品;有用之物
common            a.普通的;共同的;一般的;n.公有地
commonplace       a.普通的，平庸的n.寻常的事物，平庸的东西
commonwealth      n.共和国,联邦,共同体
communicate       v.传达,传送;交流;通讯,通话
communication     n.通讯,传达;(pl.)通讯系统;交通(工具)
communism         n.共产主义
community         n.同一地区的全体居民,社会,社区;共同体
commute           v.乘公交车上下班,乘车(船等)往返于两地
compact           a.紧密的,结实的;简明的 v.使紧凑,压缩
companion         n.同伴,共事者;伴侣
company           n.公司;陪伴;宾客;连(队),(一)群,队,伙
comparable        a.(with,to)可比较的,比得上的
comparative       a.比较的,相当的
compare           vt.(to，with)比较;(to)把…比作vi.相比
comparison        n.比较,对比,比喻,比拟
compartment       n.卧车包房,(客车车厢内的)隔间;分隔的空间
compassion        n.同情;怜悯(for)
compass           n.罗盘,指南针;(pl.)圆规
compatible        a.能和睦相处的,合得来的;兼容的
compel            v.强迫,迫使
compensate        v.(for)补偿,赔偿
compensation      n.补偿(或赔偿)的款物;补偿，赔偿
competent         a.有能力的，能胜任的;足够的
compete           vi.比赛;竞争;对抗
competition       n.竞争，比赛;角逐，较量;[总称]竞争者
competitive       a.竞争的;好竞争的;(价格等的)有竞争力的
compile           vt.编辑，编制，搜集
complaint         n.抱怨，诉苦，怨言，控告;疾病
complain          v.(about,of)抱怨;申诉
complement        n.补足物，船上的定员;补语 vt.补充，补足
complete          a.完全的,圆满的 v.完成,结束,使完满
complex           a.复杂的;合成的,综合的 n.联合体
complicated       a.错综复杂的,麻烦的,难解的
complicate        v.使..复杂;使..难懂;使(疾病等)恶化;
complication      n.复杂,纠纷;并发症
compliment        n.(pl.)问候,致意 n./v.称赞,恭维
comply            v.(with)遵照，照做，应允;顺从，服从
component         n.组成部分,成分,元件 a.组成的,合成的
compose           v.组成,构成;(of)由…组成;创作(诗歌等)
composite         a.混合成的，综合成的n.合成物，复合材料
composition       n.作品,作文,乐曲;作曲;结构,组成,成分
compound          n.混合物,化合物 a.混合的,化合的;vt.混合
comprehend        vt.理解，领会;包含，包括
comprehension     a.理解(力),领悟;包含，包含力
comprehensive     a.内容广泛的,总括性的，综合的
compress          vt.压紧，压缩;(把思想、文字等)浓缩
comprise          vt.包含，包括，由...组成;构成，组成
compromise        n.妥协，折衷vi.妥协vt.危及，放弃(原则等)
compulsory        a.必须做的，强制性的，(课程)必修的
computer          n.计算机,电脑;计算者
compute           v./n.计算,估计
comrade           n.同志,同事,同伴,朋友
conceal           v.隐藏,隐瞒,隐蔽
concede           vt.承认;容许;(比赛结束前)认输;退让
conceive          v.(of)设想,构思,想象;以为;怀胎,怀有
concentrate       v.(on)集中,专心;浓缩 n.浓缩物
concentration     n.专心，专注;集中，集结;浓度
concept           n.概念，观念，设想
concerning        prep.关于，论及
concern           v.涉及,关系到 v./n.关心 n.(利害)关系
