eager             a.(for)渴望的,热切的
eagle             n.鹰
early             a.早的,早期的,及早的 ad.早,在初期
earnest           a.热心的,诚挚的 n.热心;真挚;定金;认真
earn              v.赚得,挣得,获得
ear               n.耳，耳朵;听力，听觉;穗
earth             n.地球;陆地;泥土，土壤;尘世，人间
earthquake        n.地震
ease              v.减轻;使舒适,使安心 n.容易;舒适,悠闲
eastern           a.东方的,东部的
easter            n.复活节
east              n.东,东方,东部 a.东方的,东部的
easy              a.容易的，不费力的，安逸的，宽裕的
eat               vt.吃，喝 vi.吃饭，吃东西
ebb               vi.衰退，减退 n.处于低潮，处于衰退状态
eccentric         a.古怪的，怪癖的，异乎寻常的n.古怪的人
echo              v./n.回声,反响,共鸣
eclipse           n.日食,月食
ecology           n.生态学
economical        a.节约的,经济的
economic          a.经济(上)的,经济学的
economics         n.经济学,经济情况
economy           n.节约;经济
edge              n.边,棱;刀口,刃 v.侧身移动,挤进
edible            a.可食用的
edition           n.版,版本,版次
editorial         n.社论 a.社论的;编辑上的
editor            n.编辑,编者
edit              v.编辑,校订
educate           v.教育,培养,训练
education         n.教育,培养,训练
effective         a.有效的,生效的;被实施的;给人深刻印象
effect            n.结果;效果;影响;印象 vt.招致;实现;达到
efficiency        n.效率;功效
efficient         a.有效的,效率高的;有能力的,能胜任的
effort            n.努力;成就;艰难的尝试
egg               n.蛋; 卵; 卵形物
ego               n.自我，自负，利已主义;(心理学)自我意识
eighteen          num.十八，十八个
eight             num.八 pron.八(个，只...)
eighty            num./a.八十 pron.八十(个，只...)
either            ad.也(不) pron.两者之一 a.(两者中)任一的
eject             v.喷射,排出;驱逐
elaborate         v./a.精心制作(的);详细阐述(的)
elapse            vi.(时间)溜走;(光阴)逝去
elastic           a.弹性的 n.松紧带,橡皮圈
elbow             n.肘，(衣服的)肘部vt.用肘推，用肘挤
elder             a.年长的,资格老的 n.长辈
elderly           a.较老的，年长的n.[the～]到了晚年的人
electrical        a.电的,电学的
electric          a.电的,导电的,电动的
electrician       n.电学家,电工
electricity       n.电,电流;电学
electronic        a.电子的
electron          n.电子
elect             v.选举,推选;选择,作出选择
elegant           a.优雅的;端庄的;雅致的
elementary        a.初步的;基本的;[化]元素的;自然力的
element           n.元素;要素;成分;元件;自然环境
elephant          n.(动物)象
elevate           vt.举起,提拔,振奋,提升...的职位
elevator          n.电梯,升降机
eleven            num.十一 pron./a.十一(个，只...)
eligible          a.符合条件的;(尤指婚姻等)合适(意)的
eliminate         vt.除去;淘汰;排(删,消)除;削减(人员)
elite             n.[集合名词]精华;精锐;中坚分子
eloquent          a.雄辩的,有说服力的;善辩的,口才流利的
else              ad.其它，另外，别的;[与or连用]否则
elsewhere         ad.在别处,向别处
e-mail            n.(electronic mail)电子信函，电子邮件
embark            v.(使)上船(或飞机,汽车等);着手,从事
embarrass         vt.使困窘,使局促不安;阻碍,麻烦
embassy           n.大使馆;大使及其随员
embed             vt.把…嵌(埋、插)入，扎牢;使深留脑中
embody            vt.具体表达,使具体化;包含,收录
embrace           v.拥抱;包含;包围;环绕;采用;接受
emergency         n.紧急情况,突然事件,非常时刻
emerge            vt.显现,浮现;暴露;形成;
emigrate          v.(反)immigrate;(to,from)自本国移居他
eminent           a.显赫的;杰出的;有名的;优良的
