fable             n.寓言
fabricate         v.捏造,编造(谎言,借口等);建造,制造
fabric            n.织物;织品;结构;构造;建筑物
fabulous          a.极好的;极为巨大的;寓言中的，传说中的
face              n.脸,面貌;表情;正面 v.面对着;朝,面向
facilitate        v.使变得(更)容易;使便利;推动;帮助;处进
facility          n.灵巧,熟练;(pl.)设备,设施,便利条件
fact              n.事实,实际
factor            n.因素,要素
factory           n.工厂
faculty           n.才能;学院,系;(学院或系的)全体教学人员
fade              v.褪色;衰减,消失n.淡入(出)n.乏味(平淡)的
failure           n.失败,不及格;失败者;故障,失灵;未能
fail              v.失败,不及格;衰退,减弱
faint             a.微弱的;不明显的;暗淡的 n./v.昏倒;昏晕
fair              a.公平的,合理的;相当的 n.集市,交易会
fairly            ad.公正地,正当地;相当,还算
fairy             a.幻想中的;虚构的;优雅的 n.仙女;精灵
faithful          a.守信的,忠实的,如实的,可靠的
faith             n.信任,信用;信仰,信条
fake              n.假货，赝品 a.假的，冒充的 v.伪造;伪装
fall              v.跌倒;下降;减弱;坠落;变成,陷于 n.秋季
false             a.谬误的,虚伪的,伪造的,假的
fame              n.名声;名望;传说 vt使出名;传扬…的名
familiar          a.熟悉的;通晓的;亲近的 n.熟客;密友
family            n.家,家庭成员;氏族,家庭;族,科
famine            n.饥荒,饥馑
famous            a.著名的
fancy             n.爱好,迷恋 v.想象,幻想 a.花式的,奇特的
fan               n.扇子,风扇;(影,球等)迷 v.扇,扇动,激起
fantastic         a.(fantastical)奇异的,幻想的,异想天开的
fantasy           n.幻想，空想;空想的产物，幻想作品
far               a./ad.远，久远，遥远 ad.到…程度，…得多
fare              n.车费,船费;伙食;乘客 v.过活;进展;经营
farewell          int.再会,别了 n.告别
fare              车费,船费,飞机票价
farmer            n.农民,农场主
farm              n.农场,饲养场 v.种田,经营农牧业
farther           ad.更远地,再往前地 a.更远的
fascinate         v.迷住,强烈吸引
fashionable       a.流行的,时髦的
fashion           n.流行式样(或货品),风尚,风气;样子,方式
fast              a.快的，迅速的;坚固的 ad.紧紧地;迅速地
fasten            v.扎牢,使固定
fatal             a.致命的,毁灭性的
fat               a.多脂肪的，肥胖的;丰厚的n.脂肪，肥肉
fate              n.命运
father            n.父亲;创始人，发明者;(Father)神父
fatigue           n./v.(使)疲劳
fault             n.过失,过错;缺点,毛病
faulty            a.有错误的，有缺点的，不完善的
favorable         a.(favourable)赞许的,有利的,讨人喜欢的
favorite          n.(favourite)最喜欢的人或物 a.喜爱的
favor             n.(favour)好感;喜爱;关切v.赞成,支持,偏爱
fax               n./v.传真(机)
fearful           a.可怕的，吓人的;害怕，担心，惊恐
