gallop            (马等的)飞跑，疾驰
gamble            赌博
gasp              喘气，喘息
gear              齿轮，传动装置，(排)档
generalize        归纳，概括
generate          产生，发生(电、热、光、力、摩擦力等)
genuine           真的，非人造的，名副其实的
geography         n.地理(学)
geology           n.地质(学)
geometry          n.几何(学)
germ              n.微生物,细菌
gesture           n.姿势,姿态,手势 v.做手势
get               v.获得，得到;使，使得;变得，成为;到达
ghost             n.鬼魂,幽灵
giant             n.巨人 a.巨大的
gift              n.礼品,赠品;天赋,才能
gigantic          a.巨大的,庞大的
giggle            vi./n.痴笑;咯咯地笑 vt.咯咯地笑着说
girl              n.少女，姑娘，女孩;女职员
give              v.给，授予;供给;献出，让步;捐赠;发表
glad              a.高兴的，快活的;乐意的，情愿的
glamor            n.(glamour)魅力;魔法 vt.迷惑
glance            v.(at,over)扫视 n.匆匆看,一瞥,一眼
glare             vi.怒目而视;发射强光 n.强光;怒视;炫耀
glass             n.玻璃;玻璃杯;镜子;(pl.)眼镜
glide             n./v.溜,滑行;(时间)消逝
glimpse           n./v.一瞥,瞥见
glitter           n.光辉,灿烂 v.闪闪发光;闪耀
global            a.球形的;全球的,全世界的;全面的
globe             n.球体,地球仪;地球,世界
gloomy            a.阴暗的,阴沉的,令人沮丧的,阴郁的
glorious          a.壮丽的,辉煌的;光荣的
glory             n.光荣,荣誉
glove             n.手套
glow              v.发热,发光,发红 n.白热
glue              n.胶,胶水 v.胶合,粘贴
goal              n.目的,目标;守门员,球门;进球
goat              n.山羊
god               n.上帝(小写god泛指所有的“神，神像”)
golden            a.金黄色的;贵重的,极好的
gold              n.金，黄金;金币;金黄色 a.金的，金制的
golf              n.高尔夫球
good              a.好的;善良的;擅长的;乖的 n.好处;利益
goodby            int.(goodbye)再见
goodness          n.善良，仁慈;(食物等)精华 int.天哪
goods             n.(pl.)货物，商品
goose             n.(pl.geese)鹅,雌鹅,鹅肉
gorgeous          a.华丽的;灿烂的;美丽的;宜人的;棒的
gossip            n./v.(说)闲话,闲聊
government        n.政府,内阁;管理,支配;政治,政体
governor          n.统治者,管理者,总督,州(省)长
govern            v.统治,管理;决定,支配
go                v.去，离开;走;放置;变成;运转 n.围棋
gown              n.长袍，特殊场合穿的长服
grab              v./n.(at)抓(住);夺(得)
graceful          a.优美的,文雅的,大方的
grace             n.优美,文雅;恩惠,恩泽;宽限,缓刑;感恩祷告
gracious          a.亲切的,客气的;宽厚的,仁慈的
grade             n.等级,级别;年级;分数 v.分等,分级
gradual           a.逐渐的,逐步的
graduate          n.大学毕业生,研究生 v.大学毕业a.毕了业的
grain             n.谷物,谷类;颗粒,细粒
grammar           n.语法,语法书
gramme            n.(gram)克
grand             a.盛大的,豪华的;重大的,主要的
grandmother       n.祖母,外祖母
grant             v.同意,准予;授予 n.授予物;津贴;转让证书
grape             n.葡萄
graphic           a.绘画似的, 图解的,生动的
graph             n.图表,曲线图
grasp             v./n.抓住,抓紧;掌握,领会
grass             n.草，草地
grateful          a.(to,for)感激的;感谢的
gratitude         n.感激,感谢
grave             n.坟墓 a.严肃的,庄重的
gravity           n.重力,引力;严肃,庄重
graze             vi.吃青草 vt.放牧;擦伤;掠过 .n.擦伤(处)
grease            n.动物脂,油脂,润滑脂 v.抹油,润滑
great             a.伟大的;重要的;大量的;很好的;美好的
greedy            a.贪吃的,贪婪的,渴望的
green             a.绿色的;生的;未成熟的 n.绿色;蔬菜;植物
greenhouse        n.温室
greeting          n.问候,致敬
greet             v.致敬,敬意,迎接;扑(鼻),入(耳),触(目)
grey              n./a.(gray)灰色(的)
grief             n.悲伤，悲痛;悲伤的事，悲痛的缘由
grieve            v.使悲伤,使伤心
grim              a.严酷的，令人害怕的;不愉快的，讨厌的
grind             (ground)磨，磨碎，碾碎
grin              n./vi.露齿而笑，咧嘴一笑
grip              v./n.紧握,抓紧;掌握
groan             v./n.呻吟
grocer            n.食品商,杂货商
grope             n./v.摸索,探索
gross             a.总的,毛(重)的;粗鲁的,粗俗的 n.总额
ground            n.地，地面，土地;场地，场所;理由，根据
group             n.群,组 v.分组
grown-up          a.成长的,成熟的,成人的 n.成年人
growth            n.生长,增长,发展
grow              v.生长，成长;渐渐变成;栽培，种植;发展
guarantee         n.保证,保证书 v.保证,担保
guard             v./n.保卫，守卫，提防 n.哨兵，警卫，看守
guess             v./n.猜测，推测;以为;猜想[同]surmise
guest             n.客人,宾客,旅客
guidance          n.引导,指导
guideline         n.指导方针，指导原则，准则，标准
guide             n.领路人;指南,导游 v.领路;指导;支配;管理
guilt             n.罪过,内疚
guilty            a.(of)有罪的,内疚的
guitar            n.吉他 vi.弹吉他
gulf              n.海湾
gum               n.树胶;口香糖
gun               n.枪，炮，手枪
gut               n.[pl.]胆量;内脏a.本能的vt.取出内脏
guy               n.家伙, 人
gymnasium         n.(gym)体育馆，健身房
