habitat           n.(动物的)栖息地，(植物的)产地
habit             n.习惯,习性,脾性
hail              v.下雹;欢呼,欢迎 n.雹
hair              n.毛发，头发;绒毛，毛状物
half              n.半，一半 a.一半的，不完全的 ad.一半地
hall              n.礼堂,会堂,办公大楼,门厅
halt              n.止步,停步,停止前进 v.止步,(使)停止
hamburger         n.汉堡包,牛肉饼
hammer            n.铁锤,槌,榔头 v.锤击,敲打
ham               n.火腿
hamper            v.妨碍,阻碍,牵制
handbook          n.手册,指南
handful           n.一把;少数;一小撮
handicap          v.妨碍 n.(身体或智力方面的)缺陷;不利条件
handkerchief      n.手帕
handle            n.柄,把手,拉手 v.处理,对待,操纵;触,抚养
hand              n.手，人手，雇员;专门业人员;指针 v.交
handsome          a.漂亮的,英俊的;慷慨的,数量可观的
handwriting       n.笔迹,手迹,书法
handy             a.手边的,近便的;方便的
hang              v.悬挂,垂吊;吊死,绞死
happen            v.(偶然)发生;碰巧，恰好
happy             a.快乐的，幸福的;乐意的;令人满意的
harassment        n.骚扰，扰乱;烦恼，烦乱
harbor            n.(harbour)海港;避难所 v.隐匿,窝藏
hard              a.坚硬的;结实的;困难的;难忍的;严厉的
harden            v.(使)变硬
hardly            ad.几乎不,简直不;仅仅
hardship          n.艰难,困苦
hardware          n.五金,金属制品;硬件
harm              n./v.伤害,损害,危害
harmony           n.协调,和谐;融洽
harness           v.治理,利用 n.马具,挽具
harsh             a.粗糙的;(声音)刺耳的;苛刻的，严酷的
harvest           n.收获,收成;成果,后果 v.收获,收割
haste             n.匆忙,急速;草率 v.赶快;匆忙
hasty             a.匆忙的,仓促的;草率的
hatch             v.孵,孵出;策划,图谋 n.舱口,小门
hate              v.恨,憎恨;不愿,不喜欢 n.恨,憎恶
hat               n.帽子(一般指有边的帽子)
hatred            n.憎恨,憎恶,怨恨
haul              v.拖曳,拖运,用力拖
have              v.有，具有;体会，经受;从事;使;吃，喝
hawk              n.鹰,隼
hay               n.干草
hazard            n.危险,冒险,危害 v.冒险,拼命
headache          n.头痛
heading           n.标题
headline          n.大字标题,新闻标题
headmaster        n.校长
head              n.头;顶部;领导,首脑 v.主管;位于..顶部
headquarters      n.司令部,指挥部;总部,总局
health            n.健康,健康状况;卫生
healthy           a.健康的,健壮的;有益健康的,卫生的
heal              v.治愈,愈合
heap              n.(一)堆,大量,许多 v.(up)堆,堆起
hearing           n.听,倾听;听力;审讯
heart             n.心(脏);内心，感情;热忱;中心，要点
hear              v.听见;审讯;(from)收到..的信/电话;听说
heat              n.热,热度;热烈,激烈 v.(给)加热,(使)变热
heaven            n.天,天空,天堂;(Heaven)上帝,神
heave             v.(用力)举，提，拉;扔;拖;呕吐n.举起
heavy             a.重的,重型的;沉重的,大量的,猛烈的
hedge             n.篱笆,树篱,障碍物 v.用树篱围住
heel              n.脚后跟,踵,鞋跟
heighten          v.提高,升高
height            n.高,高度;(常pl.)高地,高处
heir              n.继承人
helicopter        n.直升(飞)机
hell              n.地狱,阴间;苦境,极大痛苦
hello             int.英(美)喂,你好(用来打招呼或引起注意)
helmet            n.头盔,钢盔
helpful           a.(to)有帮助的,有益的,有用的
help              v.帮(援)助;有助于;[呼救]救命n.帮助(手)
hemisphere        n.半球
hence             ad.从此,今后;因此
henceforth        ad.今后
hen               n.母鸡
he                pron.他;(不论性别的)一个人
herb              n.药草，(调味用的)香草，草本植物
herd              n.群,兽群,牛群 v.放牧,群集
here              ad.在(到，向)这里;这时;在这一点上
heritage          n.遗产,继承物;传统
heroic            a.英雄的，英勇的，崇高的
heroine           n.女英雄;女主角
heroin            n.海洛因
hero              n.英雄，勇士;男主角，男主人公
her               pron.[she的宾格]她;[she的所有格]她的
herself           pron.[反身代词]她自己;她亲自，她本人
hers              pron.[she的物主代词]她的(所有物)
hesitate          v.犹豫,踌躇;含糊,支吾
hide              v.隐藏,躲藏;隐瞒 n.皮革,兽皮
hierarchy         n.等级制度;统治集团，领导层
high              a.高的，高度的，高级的，高尚的 ad.高高地
highland          n. 高地,高原
highlight         v.使显著,使突出;强调 n.最精彩的部分
highly            ad.高度地,很,非常;赞许地
highway           n.公路,大路
hi                interj.(hey)嗨!喂!
hijack            v.劫持，劫机，拦路抢劫
hike              n.徒步旅行;增加vi.徒步旅行vt.提高
hill              n.小山，山岗，高地;[pl.]丘陵(地带)
him               pron.他(he的宾格形式)
himself           pron.[反身代词]他自己;他本人
hinder            v.(from)阻止,妨碍 a.后面的
hinge             n.合页,铰链 vi.依…而定
hint              n.暗示,提示,线索 v.暗示,示意
hip               n.臀部，髋;屋脊
hire              n./v.雇用,租借
his               pron.[he的所有格/物主代词]他的(所有物)
historian         n.历史学家
historical        a.历史的;有关历史的
historic          a.有历史意义的;历史的
history           n.历史,历史学;来历,经历
hitherto          ad.到目前为止,迄今
hit               v.打,击;碰撞 n.击中;成功而风行一时的事物
hobby             n.业余爱好,嗜好,兴趣
hoist             v.举起,升起,吊起
holder            n.持有者,占有者;(台,架等)支持物
hold              v.拿着;保有;托住;举行;继续 n.握住;船舱
hole              n.洞,孔
holiday           n.假日,节日,假期,休假
hollow            a.空的,中空的;空洞的,空虚的 v.挖空,凿空
holy              a.神圣的,圣洁的
home              ad.回家,在家 n.家;家乡a.家庭的;家乡的
homework          n.(学生的)家庭作业、课外人员
homogeneous       a.同种类的，同性质的，有相同特征的
honest            a.诚实的,正直的,老实的
honey             n.蜜,蜂蜜
honorable         a.(honourable)可敬的;荣誉的,光荣的
honor             n.(honour)尊敬,敬意;荣誉,光荣 v.尊敬
hook              n.钩,吊钩,钩状物 v.钩住
hopeful           a.给人希望的，抱有希望的
hope              n.希望，期望;希望的人或事 v.希望，期望
hop               v.人单足跳;跳上(车等) n.蹦跳;短程飞行
horizon           n.地平线;眼界,见识
horizontal        a.地平线的;水平的
horizon           地平(线)
horn              n.(牛羊等的)角;号,喇叭;角状物;角制品
horrible          a.令人恐惧的，可怕的;极讨厌的，糟透的
horror            n.恐怖,战栗
horse             n.马;跳马，鞍马 v.骑马
horsepower        n.[机]马力
hose              n.水龙带,软管 v.用软管(淋浇,冲洗)
hospitality       n.好客,殷勤,款待
hospital          n.医院
hostage           n.人质
hostess           n.女主人,女主持人
hostile           a.敌对的,敌方的,敌意的
host              n.主人;旅店老板;节目主持人;一大群,许多
hot               a.(炎)热的;辣的;急躁的;激动的;热衷的
hotel             n.旅馆
hound             n.猎狗;卑鄙的人 vt.用猎狗追，追逐
hour              n.小时，钟点;时刻;课时，工作时间
household         n.家庭，家人 a.家庭(务)的，家常的
house             n.房屋;商业机构;[H-]议院 v.给...房子住
housewife         n.家庭主妇
housework         n.家务，家事(不可数)
housing           n.住房，住房供给;(外、阀)壳，防护罩
hover             vi.(鸟)盘旋，翱翔，(人)逗留在附近徘徊
how               ad.1.(表示方法、手段、状态)怎样;如何
however           ad.然而，可是，不过，无论如何 conj.无论
howl              n.怒吼，嗥叫 vi.(风等)怒吼，咆哮
