ice-cream         n.冰淇淋
ice               n.冰;冰冻甜食 vt.冰冻，使成冰
ideal             a.理想的;空想的;理想主义的;唯心的 n.理想
idea              n.想法，念头;概念，观念;意见，主意
identical         a.(to.with)同一的,同样的
identification    n.识别,鉴别;证件;认同
identify          v.识别,鉴别;(with)把…和…看成一样
identity          n.身份;本体;特征;同一(性);一致;国籍;等式
ideology          n.意识形态，(政治或社会的)思想意识
idiom             n.习语;成语方言;(艺术等的)风格,特色
idiot             n.白痴;极蠢的人;笨蛋
idle              a.空闲的,闲置的;懒散的 v.空费,虚度
if                conj.(用于连接宾语从句)是否;是不是
ignite            v.点火,引燃
ignorance         n.无知,愚昧;不知道
ignorant          a.无知的,愚昧的;不知道的
ignore            v.不理,不顾,忽视
ill               a.有病的;坏的;恶意的 ad.坏地;不利地
illegal           a.不合法的,非法的
illiterate        a.文盲的,未受教育的
illness           n.病,疾病
illuminate        vt.照亮，照明;用灯光装饰;说明，阐释
illusion          n.幻想，错误的观念;错觉，幻觉，假象
illustrate        v.举例说明,阐明;图解,加插图
illustration      n.说明;例证，插图;举例说明
image             n.形象，声誉;印象;像;形象的描述，比喻
imaginary         a.想象的,虚构的
imagination       n.想象(力);空想，幻觉;想象出来的事物
imaginative       a.富有想象力的,爱想象的
imagine           v.想象,设想,料想
imitate           v.模仿,仿效;仿造,伪造
imitation         n.模仿,仿效;仿制;仿造品
immediate         a.立即的,即时的;直接的,最接近的
immense           a.广大的,巨大的;[口]极好的
immerse           v.使沉浸在;使浸没
immigrant         a.(从国外)移来的,移民的 n.移民,侨民
immune            a.免疫的,有免疫力的;有受影响的;豁免的
impact            n.冲击,碰撞;影响 v.影响;挤入,压紧
impair            v.损害,损伤;削弱,减少
impartial         公正的，无偏见的
impart            vt.传授，给予;告知，通知
impatient         a.不耐烦的,急躁的
imperative        n.命令;需要;规则;祈使语气a.强制的;紧急的
imperial          a.帝国的，帝王的;(度量衡)英制的
impetus           n.推动(力),促进
implement         n.(pl.)工具,器具 v.贯彻,实现
implication       n.含意，暗示，暗指;牵连
implicit          a.含蓄的;(in)固有的;无疑问的;绝对的
imply             v.意指,含…意思,暗示
importance        n.重要,重要性
important         a.重要的,重大的;有地位的,有权力的
import            v./n.进口,输入,(pl.)进口商品;要旨,含意
impose            v.征(税);(on)把…强加给
impossible        a.不可能的;难以忍受的，很难对付的
impression        n.印象,感想;盖印,压痕
impressive        a.给人深刻印象的,感人的
impress           v.(on)印,盖印;留下印象,引人注目
improvement       n.改进,进步,增进;改进措施
improve           v.改善,改进,增进;好转,进步
impulse           v.推动 n.推动;冲动,刺激
inaccessible      达不到的
incentive         n.刺激;动力;鼓励;诱因;动机
inch              n.英寸
incidence         n.影响程度，影响范围;发生率
incidentally      ad.附带地,顺便提及
incident          n.事件,事变
incline           v.(使)倾斜;(使)倾向于 n.斜坡,斜面
include           v.包括,包含,计入
inclusive         a.(of)包括的,包含的;范围广的
income            n.收入,收益,所得
incorporate       v.合并,纳入,结合 a.合并的
increase          v./n.增加,增长,增进
increasingly      ad.不断增加地,日益
incredible        a.不可相信的,惊人的,不可思议的
incur             v.招致,惹起,遭受
indeed            ad.确实,实在;真正地,多么
independence      n.独立,自主
independent       a.(of)独立的,自主的
index             n.(pl.indexes,indices)索引 v.附以索引
indicate          v.指出,指示;表明,暗示
indication        n.指出,指示;表明,暗示
indicative        a.(of)指示的,暗示的
