jacket            n.短上衣,茄克衫
jam               n.阻塞,轧住;果酱 v.(使)阻塞,(使)轧住不动
january           n.一月
jargon            n.行话
jar               n.罐坛,广口瓶
jaw               n.颌,颚
jazz              n.爵士乐
jealous           a.(of)妒忌的;猜疑的,警惕的
jeans             n.牛仔裤(又称blue jeans, dungarees等)
jet               n.喷气发动机,喷气式飞机;喷口 v.喷出,喷射
jewel             n.宝石,宝石饰物
jewelry           n.(jewllery)(总称)珠宝
job               n.工作，职位;零活，一件工作;任务，职责
jog               v.慢跑
joint             n.接合处,接头;关节a.联合的,共同的,连接的
join              v.参加，加入;联合，连接;和…在一起
joke              n.笑话,玩笑 v.说笑话,开玩笑
jolly             a.欢乐的,高兴的
journalist        n.记者,新闻工作者
journal           n.定期刊物,杂志,日报;日志,日记
journey           n.旅行,旅程 v.旅行
joy               n.欢乐,喜悦;乐事,乐趣
judgement         n.(judgment)审判,判决;判断(力);看法,意见
judge             n.法官;裁判员;鉴定人 vt.审判;评论,裁判
judicial          a.司法的，法庭的，审判的;明断的，公正的
jug               n.(有柄，小口，可盛水等的)大壶，罐，盂
juice             n.(水果等)汁,液
july              n.七月
jump              v./n.跳跃,跳动,跳过;暴涨,猛增
junction          n.连接,接合,交叉点,枢纽站,接头,中继线
june              n.六月
jungle            n.丛林,生死地带
junior            a./n.年少的/者,三年级的/学生,下级(的)
junk              n.废物，旧货;舢板
jury              n.陪审团;全体评审员
just              ad.正好地;刚才;只不过 a.公正的，公平的
justice           n.公正,公平;审判,司法
justify           v.证明...正当(或有理、正确)，为...辩护
juvenile          n.青少年,少年读物 a.青少年的, 幼稚的
keen              a.锋利的;敏锐的;敏捷的;(on)热心的,渴望的
keep              v.保持,保存,遵守,经营,看守,拘留,维持
kettle            n.水壶
keyboard          n.键盘 vt.用键盘输入(信息)
key               n.钥匙;答案;关键;键 a.主要的，关键的
kick              n./v.踢
kidnap            vt.诱拐;绑架，劫持
kidney            n.肾,肾脏
kid               n.小孩,儿童 v.戏弄,取笑
kill              vt.杀死，消灭;破坏，毁灭;消磨(时间)
kilometre         n.(kilometer) 公里，千米(略作km)
kilo              n.(kilogram/kilogramme)千克
kind              a.仁慈的，友好的，亲切的，和蔼的 n.种类
kindergarten      n.幼儿园
kindness          n.仁慈,亲切;好意;友好行为
kingdom           n.王国,领域
king              n.君主，国王
kin               n.家族,亲属,血缘关系 a.亲属关系的,同类的
kiss              n./v.吻,接吻
kitchen           n.厨房
kite              n.风筝
kit               n.成套工具,用具包,工具箱
kneel             v.跪,下跪
knee              n.膝,膝盖
knife             n.刀,餐刀 v.用刀切,用匕首刺
knit              v.编织,编结;接合,粘合
knob              n.门把,(球形)把手,旋纽
knock             v.敲,敲打,碰撞 n.敲,击
knot              n.(绳)结;(树)节;节(=海里/小时) v.打结
knowledge         n.知识,学识;知道,了解
know              vt.知道，了解;认识;识别 vi.知道，了解
