lab               n.(laboratory)实验室
labor             n.(labour)工作，劳动;劳力 v.劳动，苦干
lace              n.花边;带子,鞋带 v.系带,扎带
lack              n./v.缺乏,不足
ladder            n.梯子,阶梯
lad               n.男孩,小伙子
lady              n.女士,夫人
lag               v./n.落后,滞后 vt.用隔热材料覆盖(锅炉等)
lake              n.湖泊，湖水
lamb              n.羔羊,小羊;羔羊肉
lame              a.跛的,(辩解、论据等)无说服力的
lamp              n.灯
landlady          n.女房东,女地主
landlord          n.房东,地主
land              n.陆地,土地,国家 v.(使)靠岸(登陆,降落)
lane              n.小路,小巷,行车道
language          n.语言,术语,(运用语言的)方式、风格
lantern           n.灯,灯笼
lap               n.大腿,(跑道的)一圈,一段路程,工作阶段
lapse             n.失误,流逝,丧失,下降 v.失效,偏离,流逝
laptop            n.膝上型电脑
large             a.大的,广大的,大规模的
largely           ad.主要地,基本上;大量地,大规模地
laser             n.激光
lash              v.鞭打,摆动,捆扎 n.鞭子,鞭打,睫毛,讽刺
last              a.最后的，刚过去的 ad.最后 n.最后 v.持续
late              a.迟的，晚的，晚期的;已故的 ad.迟，晚
lately            ad.最近,不久前
latent            a.潜在的,潜伏的,不易察觉的
later             ad.后来,过后
lateral           n.侧面的,旁边的
latin             a.拉丁的,拉丁文的 n.拉丁语
latitude          n.纬度,行动或言论的自由(范围),(pl.)地区
latter            a.后者的;后一半的，接近终了的 n.后者
laughter          n.笑,笑声
laugh             v.笑;(on)讥笑 n.笑,笑声
launch            v.发射;使(船)下水,发动,开展 n.发射,下水
laundry           n.洗衣房(店);待洗衣物,所洗衣物
lavatory          n.厕所,盥洗室
lawn              n.草地,草坪
law               n.法律,法规,法学,规律,定律
lawyer            n.律师
layer             n.层，层次;铺设者
layman            n.外行
layoff            n.临时解雇,操作停止,活动停止期间,失业期
layout            n.安排，布局，设计;规划图，布局图
lay               v.放，搁;下(蛋);铺设，敷设;设置，布置
lazy              a.懒惰的,懒散的
leadership        n.领导
leading           a.领导的,指导的;第一位的;最主要的
lead              v.领导;领先;通向,导致 n.带领,引导;铅
leaflet           n.小叶,嫩叶;传单,活页
leaf              n.叶子;(书刊的)一页,一张;金属薄片
league            n.同盟,联盟;联合会,社团
leak              v.漏,泄漏 n.漏洞,漏隙;泄漏,漏出
