machine           n.机器,机械 v.用机器加工
machinery         n.(总称)机器,机械
macroscopic       肉眼可见的
madame            n.(madam)夫人，太太，女士
mad               a.发疯的;狂热的,着迷的;恼火的,生气的
magazine          n.杂志,期刊
magic             n.魔术,魔(魅)力,巫术 a.有魔力的,魔术的
magistrate        n.地方行政官，地方法官，治安官
magnetic          a.磁的,有磁性的;有吸引力的
magnet            n.磁体,磁铁
magnificent       a.华丽的,高尚的,宏伟的
magnify           vt.放大,扩大,夸大,夸张
magnitude         n.大小,数量;巨大,广大
maiden            n.少女,处女 a.未婚的,纯洁的,无经验的
maid              n.少女,处女,女仆
mail              n.邮件 v.邮寄
main              a.主要的,总的 n.总管道;干线
mainland          n.大陆,本土
maintain          v.维修,保养,维持,供养,坚持,主张,支持
maintenance       n.维修,保养,维持,保持,生活费用
majesty           n.雄伟,壮丽,庄严,威严;最高权威,王权
major             a.主要的n.成年人,专业学生,主修课程v.主修
majority          n.多数,大多数,成年,法定年龄
make              n.(产品)来源，制法 vt.制造，做成，准备
male              n./a.男性(的),雄性(的)
malfunction       发生功能障碍，发生障碍
malignant         a.恶性的，致命的;恶意的，恶毒的
maltreat          粗暴地对待，虐待
mammal            n.哺乳动物
management        n.经营,管理;处理,操纵;管理部门
manager           n.经理,管理人
manage            v.经营,管理,处理;设法,对付;操纵,运用
maneuver          n.(manoeuvre)机动;运用,操作; v.机动
manifest          v.表明,证明,显示 a.明白的,明了的
manipulate        vt.(熟练地)使用，操作;(巧妙地)处理
mankind           n.人类
manner            n.方式;举止;(pl.)风度,礼貌;规矩;风俗
man               n.(pl.men)人;人类(单数，不加冠词);男人
manual            a.手的,手工做的,体力的 n.手册,指南
manufacture       v.制造,加工 n.制造,制造业;产品
manuscript        n.手稿,原稿
many              a.许多的，多的 pron.许多人或物，许多
map               n.地图,图 vt.在地图上标示出,绘制地图
marble            n.大理石,云石
march             n.三月(略作 Mar.)
marginal          a.记在页边的,旁注的;(意识)边缘的
margin            n.页边空白;边缘;余地;幅度
marine            a.海的,海生的;船舶的,航海的
marital           a.婚姻的,夫妻之间的
market            n.集市,市场;销路,需求(量) v.销售
mark              n.痕迹;记号;分数 v.标记,打分,使有特色
marriage          n.结婚,婚姻;结婚仪式
married           a.已婚的,夫妇的;(to)与…结婚的
marry             v.结婚,嫁,娶
marvelous         a.(marvellous)惊人的,奇迹般的,妙极的
marxist           a.马克思主义的 n.马克思主义者
masculine         a.男性的，似男性的;[语法]阳性的
mask              n.面具,面罩;假面具,伪装 v. 掩饰,化装
massacre          vt.残杀,集体屠杀 n.残杀,大屠杀
massive           a.大而重的,厚实的,粗大的;大规模的,大量的
mass              n.大量,众多;团,块;(pl.)群众,民众;质量
master            n.男主人;师傅;硕士 v.精通,控制 a.主要的
masterpiece       n.杰作,名著
match             n.火柴;比赛,竞赛;对手,配偶 v.匹配,相称
mate              n.伙伴,同事,同伴,配偶 v. 结伴,配对,交配
material          n.材料,原料,资料a.物质的,肉体的,实质性的
mathematical      a.数学的;数学上的
maths             n.(mathematics/math)数学
mat               n.席子,垫子
matter            n.物质,物体;毛病,麻烦;事情 v.有关系,要紧
mature            a.成熟的,熟的;成年人的 v.(使)成熟
maximum           n.最大值,极限 a.最大的,最高的
may               aux.v.可能，也许;可以，被允许;祝，愿
maybe             adv.可能;大概;也许
may               n.五月
mayor             n.市长
meadow            n.草地,牧场
meal              n.膳食,一餐
meaning           n.意思,意义,含义;重要性,价值
means             n.方法,手段
meantime          n.(meanwhile)其间,其时 ad.同时,当时
mean              v.表示…的意思 a.卑鄙的;平均的n.平均值
meanwhile         n.其时，其间 ad.当时，与此同时
measure           v.测量,分派,权衡 n.尺寸,量度器,措施,办法
meat              n.(食用)肉类
mechanical        a.机械的,由机构制成的;机械似的,呆板的
mechanic          n.技工,机修工
mechanism         n.机械装置,机构;机制
medal             n.奖章,勋章,纪念章
medical           a.医学的，医疗的，医药的;内科的
medicine          n.内服药,医药;医术;医学,内科学
medieval          a.中世纪的,中古(时代)的,老式的,原始的
meditate          v.想,考虑,(尤指宗教上的)沉思,冥想
meditation        n.熟虑;(尤指宗教的)默想,沉思;(pl.)冥想录
medium            n.(pl.media)媒体,方法,媒介,介质 a.中等的
meeting           n.会议,集合,汇合,会见,接见,汇合点
meet              n.会,集会 v.遇见;会谈;迎接;满足;符合
melody            n.旋律，曲调;悦耳的音乐
melon             n.甜瓜
melt              v.(使)融化,(使)熔化
member            n.成员,会员
membership        n.会员资格,成员资格
memo              n.(memorandum)备忘录
memorial          a.记忆的,纪念的 n.纪念物,纪念碑,纪念馆
memory            n.记忆,记忆力;回忆;存储(器)
menace            vt./n.有危险性的人(或物);威胁，威吓
mend              v.修理,缝补;改正,改进
mental            a.精神的,思想的,心理的,智力的,脑力的
mention           v./n.提及,说起
menu              n.菜单
me                pron.[I 的宾格]我
merchandise       n.商品,货物
merchant          n.商人,零售商
mercury           n.水银,汞
mercy             n.仁慈,怜悯,宽恕
mere              a.纯粹的;仅仅,只不过
merely            adv.仅仅，只不过
merge             v.(使)结合，(使)合并，(使)合为一体
merit             n.优点,价值,功绩 v.值得,应得
merry             a.欢乐的,愉快的
message           n.消息,信息,通讯,启示,教训,广告词,预言
