naive             a.天真的
naked             a.裸体的,无遮敝的,无掩饰的
namely            ad.即,也就是
name              n.名字(称/声/义) vt.给…取名;列举;提名
napkin            n.餐巾,餐巾纸,尿布
nap               n.小睡,打盹
narrate           叙述，讲述
narrative         a.叙述性的 n.叙述
narrow            a.狭窄的,狭的,狭隘的
nasty             a.肮脏的,卑劣的,下流的;令人厌恶的
national          a.民族的,国家的,国立的
nationality       n.国籍,民族
nation            n.民族,国家
native            a.本地的,本国的;天生的 n.本地人,本国人
natural           a.正常的;自然界的,天然的,天赋的,固有的
nature            n.自然界,大自然;性质,本性,天性
naughty           a.顽皮的,淘气的
naval             n.海军的,军舰的
navigation        n.航海,航空;导航,领航
navy              n.海军
near              a.近的，接近的;亲近的 prep.靠近 ad.接近
nearby            a.附近的 ad.在附近 prep.在…附近
nearly            ad.差不多,几乎
neat              a.整洁的,干净的,优美的,精致的
necessary         a.必需的,必要的;必然的 n.必需品
necessitate       v.使成为必要,需要
necessity         n.必要性,需要;必然性;(pl.)必需品
necklace          n.项链，项圈
neck              n.颈脖
need              aux.v./v.需要;必须 n.需要;贫困，困窘
needle            n.针,指针,针状物
negative          a.否定的,消极的,阴性的n.负数;(摄影)底片
neglect           v./n.忽视;疏忽,漏做,忽略
negligent         疏忽的，大意的
negligible        a.可忽略不计的，微不足道的
negotiate         v.商订;谈判，洽谈，交涉
negro             n.黑人 a.黑人的
neighborhood      n.(neighbourhood)邻居;四邻,街道
neighbor          n.(neighbour)邻居
neither           a.两者都不 pron.两者都不 ad.也不
nephew            n.侄子,外甥
nerve             n.神经;勇敢,胆量
nervous           a.神经的;神经过敏的,紧张不安的
nest              n.窝,巢 v.筑巢
net               n.网,网状物 v.用网捕,使落网 a.纯净的
network           n.网状物;广播网,电视网;网络
neutral           a.中立的;中性的,中和的
never             ad.永不，从不，决不;从来没有;不，没有
nevertheless      conj.(nonetheless)然而,不过ad.仍然,不过
new               a.新(近)的;新来的;不熟悉的;没经验的
news              n.新闻，消息;新闻报道，新闻广播
newspaper         n.报纸
next              a.紧接的，其次的;贴近的 ad.其次;居后
nice              a.美好的，令人愉快的;友好的，亲切的
nickel            n.镍;镍币;五美分
nickname          n.绰号，浑名vt.给…起绰号
niece             n.侄女,甥女
nightmare         n.恶梦;可怕的事物，无法摆脱的恐惧
night             n.夜间;夜;晚(上)
nine              num.九 pron./ad.九(个，只...)
nineteen          num./a.十九 pron.十九(个，只...)
ninety            num.九十，九十个
nitrogen          n.[化]氮
no                ad.不是，不 a.没有的;不允许 n.不，拒绝
noble             a.高尚的;贵族的,高贵的 n.贵族
nobody            pron.谁也不,无人 n.小人物
nod               v.点(头),点头招呼 n.点头招呼;打盹,瞌睡
noise             n.喧闹声,噪声,吵嚷声
noisy             a.吵闹的,喧闹的
nominal           a.名义上的;(金额,租金)微不足道的
nominate          v.提名,任命
none              pron.没有任何人(东西);都不 ad.一点也不
nonetheless       ad.[nevertheless]虽然如此, 但是
nonsense          n.胡说,废话
noodle            n.(常用复数)面条
noon              n.中午，正午
nor               conj./ad.也不，也没有
normal            a.正常的,普通的;正规的,标准的
normalization     n.(normalisation)正常化,标准化
norm              n.准则,规范,准则,平均数
northeast         n.东北 a.东北方的 ad.向东北,在东北
northern          a.北方的,北部的
north             n.北,北方a.北方的,北部 ad.向北方,在北方
northwest         n.西北方,西北部a.西北的ad.向西北,在西北
nose              n.鼻子;(飞机,船等的)前端,突出部分
notable           n.值得注意的,显著的,著名的
not               ad.不，不是，不会;没有
notebook          n.笔记本
note              n.笔记;按语,注释;钞票,纸币v.记下,摘下
noteworthy        值得注意的，显著的
nothing           n.没有东西;什么也没有;无关紧要的人或事
noticeable        a.显而易见的,值得注意的,重要的
notice            n.通知,通告,布告;注意,认识v.注意到,注意
notify            v.通知,告知,报告
notion            n.概念,想法,意念,看法,观点
notorious         a.臭名昭著的,声名狼藉的
notwithstanding   prep./ad./conj.尽管
noun              n.名词
nourish           v.提供养分,养育,怀有(希望,仇恨等)
novel             n.(长篇)小说 a.新奇的,新颖的
novelty           n.新奇,新颖,新奇的事物
november          n.十一月
nowadays          ad.现今,现在
now               ad.现在，如今，目前;当时，于是，然后
nowhere           ad.任何地方都不,没有地方
nuclear           a.核心的,中心的;原子核的,核能的
nucleus           n.(pl.nuclei)核,核心,原子核
nuisance          n.讨厌的人(或东西);麻烦事
numb              a.麻木的,失去感觉的 v.使麻木
number            n.数,数字,数量,号码,一群 v.共计,编号
numb              麻木的，失去感觉的
numerical         a.数字的，用数字表示的，数值的
numerous          a.众多的,许多的,大批的
nurse             n.护士,保姆 v.护理,看护
nursery           n.托儿所
nurture           n./v.养育,教育,教养 n.营养品v.给与营养物
nut               n.坚果;螺母,螺帽
nutrition         n.营养,营养学
nylon             n.尼龙
