racket            n.球拍
rack              n.挂物架,搁物架 v.使痛苦,折磨
radar             n.雷达
radiant           a.发光的,辐射的,容光焕发的
radiate           v.放射,辐射;散布,传播
radical           a.基本的,重要的;激进的,极端的;根本的
radioactive       a.放射性,放射引起的
radio             n.收音机;无线电报，无线电话v.无线电通讯
radius            n.半径,半径范围,有效航程,范围,界限
rage              n.愤怒
rag               n.抹布,破布,碎布
raid              n/v..袭击,搜查
rail              n.栏杆,围栏;(pl.)铁路;铁轨;横杆,栏杆
railroad          n.(railway)铁路 v.由铁道运输
rainbow           n.虹
rain              n.雨;雨天;下雨 vi.下雨 vt.使大量落下
raise             v.举起,提升;增加;饲养;引起;竖起;提出
rake              n.耙子,耙机 v.耙;搜索,探索
rally             v.重整,恢复,振作 n.聚集,集会,拉力赛
random            a.随机的,随意的 n.随机,随意
range             n.范围,领域;排列,连续;(山)脉v.排列成行
rank              n.军衔,社会阶层;排 v.分等级,把…分类
rape              n./vt.掠夺,蹂躏,强奸
rapid             a.快,急速的 n.(pl.)急流,湍滩
rap               n.叩击,轻拍,斥责 v.敲,拍,打,斥责,使着迷
rare              a.稀有的,难得的,珍奇的;稀薄的,稀疏的
rarely            ad.很少,难得,非常地
rash              a.轻率的,鲁莽的 n.皮疹
rate              n.速率;等级;价格,费用 v.估价;评级,评价
rather            ad.相当,有一点儿;宁愿,宁可
rational          a.理性的,合理的
ratio             n.比,比率
rat               n.鼠
raw               a.未煮过的,生的;未加工过的,未经训练的
ray               n.光线,射线
razor             n.剃刀
reach             v.抵达;(out)伸手,够到 n.能达到的范围
react             v.反应,起作用;(against)反对,起反作用
reader            n.读者;读本，读物;(英国的)大学讲师
readily           ad.容易地;乐意地,欣然地
reading           n.读书,读物,(仪表等的)读数,阅读
read              v.朗读;阅读 vt.辨认，观察 vi.读到，获悉
ready             a.(for)准备好的,现成的;甘心的
real              a.真的,真实的;实际的,现实的
realise           v.(realize)认识到,体会到;实现
realistic         a.现实(主义)的
reality           n.现实,实际;真实
really            ad.确实,实在,真正地,果然
