sacred            a.神圣的;宗教的;庄严的
sacrifice         n.牺牲,牺牲品;祭品 v.牺牲,献出
saddle            n.鞍,马鞍,鞍状物
safe              a.安全的,牢靠的;谨慎的,可靠的 n.保险箱
safeguard         v.维护,保护,捍卫 n.安全装置,安全措施
safety            n.安全,保险;安全设备,保险装置
sail              n.帆,航行 v.航行
sailor            n.水手,海员
saint             n.圣人,基督教徒;(用于人,地名前)圣
sake              n.缘故,理由
salad             n.色拉,凉拌菜
salary            n.薪金,薪水
sale              n.出售,上市;贱卖,廉价出售;销售额
salesman          n.售货员,推销员
salt              n.盐,盐,类 v.腌,盐渍
salute            v./n.敬礼,鸣礼炮;迎接,欢迎
salvation         n.拯救,救助;救济(者,品),救助工具;救世主
same              a.相同的 pron.相同的人(或物) ad.同样地
sample            n.样品,实例,标本,抽样检查 v.取样,采样
sanction          n./v.批准,同意,支持,认可 n.处罚,制裁
sand              n.沙;(pl.)沙滩,沙地
sandwich          n.三明治,夹肉面包 v.夹入,挤进
sane              a.心智健全的,神志清醒的,明智的,稳健的
sarcastic         a.讽刺的
satellite         n.卫星,人造卫星;附属物
satire            n.讽刺,讽刺文学,讽刺作品
satisfaction      n.满足,满意;乐事,愉快
satisfactory      a.令人满意的,圆满的,良好的,符合要求的
satisfy           v.满意,使满意,使相信,说服
saturate          vt.使充满，使饱和
saturday          n.星期六
sauce             n.酱汁,调味汁
saucer            n.茶托,碟子
sausage           n.香肠,腊肠
savage            a.野蛮的;凶恶的,残暴的 n.野人,未开化的人
save              v.救,拯救;储蓄,贮存;节省
saving            n.挽救,救助,节约,储蓄;(pl.)储蓄金,存款
saw               n.锯子,锯床 v.锯,锯开
say               vt.说，讲;说明;比如说 vi.说，发表意见
scale             n.刻度;天平,磅秤;比例尺;规模;音阶;鱼鳞
scandal           n.丑闻,诽谤,耻辱,流言蜚语,反感,公愤
scan              v.细看,审视;浏览;扫描 n.扫描
scarce            a.缺乏的,不足的;稀少的,罕见的
scarcely          ad.几乎不,简直没有,勉强
scare             n.惊恐,恐慌v.惊吓,受惊
scarf             n.围巾,头巾,领巾,领带
scar              n.疤,疤痕;创伤 v.使留下伤痕,创伤
scatter           v.散开,驱散;散布,散播
scene             n.景色,景象,舞台;(戏)一场
scenery           n.风景,舞台布景
scent             n.气味,香味,香水,线索,嗅觉 v.嗅,发觉
schedule          n.时间表,进度表 v.安排,预定
scheme            n.计划,方案;阴谋;配置 v.计划,策划;阴谋
scholar           n.学者
scholarship       n.奖学金;学问,学识
school            n.学校，(大学里的)学院;上学，学业;学派
science           n.科学;学科
scientific        a.科学上的
scientist         n.科学家
scissors          n.剪子
scold             v.责骂,训斥
scope             n.(活动)范围;机会,余地
score             n.得分,分数;二十 v.得(分),记(…的)分数
scorn             v./n.轻蔑,藐视
scout             n.侦察员,侦察机(舰) v.搜索,侦察
scramble          vi.(快速地)爬，攀登;互相争夺，争先
scrape            v.刮(掉),擦过,勉强通过 n.刮,擦痕,刮擦声
scrap             n.碎片;废料 v.废弃,报废
scratch           v.抓,搔,扒 n.抓,搔,抓痕;起跑线
scream            v./n.尖声叫,喊叫着说出,(风)呼啸
screen            n.屏幕,屏风;帘 v.掩蔽,包庇;筛选
screw             n.螺旋,螺丝(钉) v.拧,拧紧
script            n.剧本(原稿);手稿，原稿;笔迹，手迹
scrutiny          n.周密的调查;仔细看;监视;选票复查
sculpture         n.雕刻(术)，雕塑(术);雕刻作品
seal              n.封铅,封条;印,图章;海豹 v.封,密封
seam              n.缝,接缝
sea               n.海，海洋，大量
search            v./n.(for)搜索,寻找,探查
seaside           n.海滨,海边
season            n.季,季节,时节
seat              n.座位,底座;所在地,场所 v.使坐下
secondary         a.次要的,二级的;中级的,第二的
second            a.第二;次等的,二等的 n.秒 v.赞成,附和
secretary         n.秘书,书记;部长,大臣
secret            a.秘密的,机密的 n.秘密
section           n.章节,部分;地区,部门,科;截面,剖面
sector            n.部门，部分;防御地段，防区;扇形
secure            a.(from,against)安全的,放心的v.得到;防护
security          n.安全(感),防御(物),保证(人),(pl.)证券
seed              n.种子 v.播种;结实,结籽
seek              v.(after,for)寻找,探索;试图,企图
seemingly         ad.外观上，表面上
seem              v.好像,似乎
see               vt.看见;会面;探望;知道，获悉;送行
segment           n.段,片,节,部分
segregate         vt.使···分开，隔离(病患等)
seize             v.抓住,逮住;夺取,占领;没收,查封
seldom            ad.很少,不常
selection         n.选择,挑选;选集,精选物
select            v.选择,挑选 a.精选的,选择的
selfish           adj.自私的，利己的
self              n.自我，自己(pl.selves)
sell              v.卖,出售
semester          n.学期
semiconductor     n.半导体
seminar           n.(大学的)研究班,研讨会
senate            n.参议院,上院
senator           n.参议员
send              v.(sent,sent)1.打发;派遣 2.送;寄出
senior            a.年长的;地位较高的 n.(大学)四年级学生
sensation         n.感觉,知觉;激动,轰动,轰动一时的事情
sense             n.感官;感觉;判断力;意义 v.觉得,意识到
sensible          a.明智的,达理的;可觉察的,明显的
sensitive         a.(to)敏感的,易受伤害的;灵敏的
sentence          n.句子;判决,宣判 v.宣判,判决
sentiment         n.感情，柔情;看法;感觉
separate          a.(from)分离的,分开的
september         n.九月
sequence          n.先后,次序;连续,数列
serial            n.连载小说，连续剧;连载刊物 a.连续的
series            n.一系列,连续;丛书
serious           a.严肃的;主要的;严重的,危急的;认真的
servant           n.仆人
serve             v.服务,尽责;招待,侍候;符合,适用
service           n.服务;公共设施;维修保养;行政部门v.维修
session           n.(一届)会议,一段时间
setback           n.挫折;失效;复发;倒退
set               n.一套,一副,装置,接受机v.提出,调整,日落
setting           n.安置;落山;(固定东西的)柜架底座;环境
settlement        n.解决,决定,调停;居留区,住宅区
settle            v.安定,安顿;停息;定居;解决,调停
set               放置
seven             num.七，七个(人或物)
several           a.几个，若干，数个;各个的，各自的
severe            a.严厉的;剧烈的,严重的,严峻的,艰难的
sew               v.缝,缝纫
sex               n.性别,性
shabby            a.简陋的,破旧的,卑鄙的,不公平的
shade             n.荫,阴影;遮光物,罩 v.遮蔽,遮光
shadow            n.阴影,影子,荫;暗处,阴暗
shady             a.成荫的,多荫的;可疑的,靠不住的
shaft             n.轴;杆状物
shake             n./v.摇动,摇;颤抖,震动
shall             aux.v.(我，我们)将要，会;必须，应该
shallow           a.浅的,浅薄的 n.浅滩,浅处
shame             n.羞耻,耻辱;可耻的人(或事物) v.使羞愧
sham              n./a.假冒(的)，虚伪(的)
shampoo           n.洗发膏,香波;洗发,洗头 v.洗发,洗头
sham              假装，虚伪
shape             n.形状,外形;情况,状态;种类v.成型,塑造
share             v.(with)分配,共用;分担n.一份,份额;股份
shark             n.鲨鱼
sharp             a.锋利的;轮廓分明的;急转的ad.(指时刻)正
shatter           n.碎片;粉碎 v.粉碎;使疲惫;使震骇
shave             v.剃,刮,刨,削 n.刮脸
shear             v.剪,修剪
shed              v.流出;发散,散发,脱落,脱去 n.棚,小屋
sheep             n.(绵)羊;易受人摆布的人
sheer             a.纯粹的,十足的,全然的;陡峭的,险峻的
sheet             n.被单;(一)张,(一)片,薄片;大片
shelf             n.架子,搁板
shell             n.壳,贝壳;炮弹
shelter           n.掩蔽处;掩蔽,保护 v.掩蔽,躲避,庇护
shepherd          n.牧民,牧羊人
she               pron.(主格)她
shield            n.防护物,护罩;盾,盾状物 v.保护,防护
shift             v.替换,转移n.转换,转变;(轮)班,(换)班
shilling          n.先令
shine             v.照耀,发光;擦亮 n.光泽,光
shipment          n.装船,装运;装载的货物,装货量
ship              n.船舶，舰艇 v.装运，航运，运送;发货
shirt             n.衬衫
shiver            v./n.战栗,发抖
shock             n.震动;电击,触电;休克v.(使)震动/震惊
shoe              n.鞋
shoot             v.发射;掠过,疾驰而过 n.嫩枝,苗,射击
shopkeeper        n.店主
shop              n.商店，店铺;工厂，车间 v.买东西
shore             n.海滨,湖滨
shortage          n.不足,缺少
short             a.短的,矮的;(of)缺乏,不足 n.(pl.)短裤
shortcoming       n.短处,缺点
shorthand         n.速记
shortly           ad.立刻，不久;不耐烦地，简慢地
shot              n.开枪,射击;投篮;弹丸,炮弹,子弹
should            aux.v.应该;万一;可能，该;就;竟然会
shoulder          n.肩,肩部 v.肩负,承担
shout             v.大声叫，喊，呼出 n.呼喊，叫
shove             vt.乱推;乱塞vi.用力推，挤n.猛推
shower            n.阵雨;沐浴;(一)阵/大批v.下阵雨,倾注
show              n.节目，表演 v.上演(戏剧等)，放映(电影)
shrewd            a.机灵的,敏锐的;精明的
shrink            v.起皱,收缩;退缩,畏缩
shrug             vt./n.耸肩(表示冷淡、怀疑、无奈、不满等)
shutter           n.百叶窗;(照相机)快门;关闭装置
shuttle           n.往返汽车/列车/飞机;穿梭 v.往返穿梭
shut              v.关,关闭
shy               a.怕羞的，腼腆的;胆怯的vi.惊退，畏缩
sick              a.有病的,患病的;恶心的,想吐的
side              n.旁边，侧面;坡，岸;一边/侧/方 vi.支持
sideways          ad./a.向旁边(的),侧身,横着(的),斜着(的)
siege             n.包围，围攻，围困
sigh              n.叹息,叹息声 v.叹息,叹气
sight             n.视力;望见,瞥见;视域;眼界;情景,奇观
sightseeing       n.观光,游览
signal            n.信号,暗号 v.发信号,用信号通知
signature         n.签名,署名,签字
significance      n.意义,含义;重要性,重要的
significant       a.有意义的;重大的,重要的
signify           v.表示,意味;要紧,有重要性
sign              n.标记,招牌;征兆,迹象v.签名(于),署名(于)
silence           n.寂静,沉默 v.使沉默,使安静
silent            a.寂静,沉默的
silicon           n.硅
silk              n.丝,绸
silly             a.傻的,糊涂的,愚蠢的
silver            n.银;银器;银币 v.镀银
similar           a.(to)相似的,类似的
simple            a.简单的;单纯的,直率的;迟钝的,头脑简单的
simplicity        n.简单,简易;朴素;直率,单纯
simplify          v.简化,使单纯
simply            ad.简单地;完全,简直;仅仅,只不过;朴素地
simulate          v.模仿,模拟;假装,冒充
simultaneous      a.同时的,同时存在的
since             prep.自从 conj.自从;因为，既然 ad.后来
sincere           a.诚挚的,真实的,诚恳的
single            a.单人的;单一的,单个的;未婚的,独身的
singular          a.非凡的,卓越的;单数的
sing              v.唱,演唱;鸡叫
sink              v.(使)下沉,下落 n.水槽,水池
sin               n.罪,罪恶 v.犯罪
sip               v.小口地喝，抿，呷n.一小口的量
siren             n.警报声,警报器
sir               n.先生，长官;[S -用于姓名前]…爵士
sister            n.姐，妹;护士长;修女，女教士
site              n.位置,场所,地点
situated          a.坐落在…的
situation         n.形势,处境,状况;位置,场所;职位,职务
sit               vi.坐，坐下;位于;栖息;孵卵 vt.使就坐
six               num.六 pron./a.六(个，只...)
size              n.大小,尺寸,规模;尺码
skate             v.溜冰,滑冰 n.冰鞋
skeleton          n.骨骼;骨架,框架;梗概,提要
skeptical         a.怀疑的 [英]sceptical
sketch            n.素描;略图,草图;梗概 v.绘略图,速写,写生
skilled           a.(in)熟练的,有技能的;需要技能的
skillful          a.(skilful)(in,at)灵巧的,娴熟的
skill             n.技能,技巧,手艺;熟练
skim              vt.撇去(液体表面)之漂浮物 vi.轻轻掠过
skin              n.皮,皮肤;兽皮,皮毛;外皮,外壳 v.剥皮
ski               n.雪橇 v.滑雪
skip              vi.略过，跳过 n.跳跃 vt.故意忽略;略过
skirt             n.裙子;边缘,郊区
skull             n.头盖骨，颅骨
sky               n.天空;[pl.]天色;气候
skyscraper        n.摩天大楼
slack             a.懈怠的,松驰的;萧条的 n.淡季;(pl.)便裤
slam              v.(门、窗等)砰地关上 n.猛然关闭的声音
slap              n./v.拍,掌击
slaughter         n.屠杀，屠宰 vt.屠杀，宰杀
slave             n.奴隶,苦工 v.做苦工,拼命地干
sleep             v.(slept,slept)睡 n.睡眠
sleeve            n.袖子
slender           a.修长的,细长的,苗条的;微小的,微薄的
slice             n.薄片,切片;一份;部分切(片)
slide             v.(使)滑动 n.滑坡,滑道;滑,滑动;幻灯片
slight            a.轻微的,微小的;纤细的,瘦弱的
slim              a.苗条的;(机会)少的 v.减轻体重,变苗条
slipper           n.便鞋,拖鞋
slippery          a.滑的,滑溜的
slip              v.滑,滑倒;滑掉;溜走n.疏忽,小错,口误,笔误
slit              v.切开,截开,纵割 n.细长裂缝,狭长切口
slogan            n.标语,口号
slope             n.斜坡,斜面;倾斜,斜度 v.(使)倾斜
slot              n.狭缝;空位vt.放入狭缝中;把…纳入
slow              a.慢的,不活跃的 v.(down)(使)放慢,减速
slum              n.贫民窟,贫民区,陋巷
sly               a.狡猾的,偷偷摸摸的
small             a.小的;年幼的;不重要的;小规模(经营)的
smart             a.漂亮的;聪明的;巧妙的 v.剧痛,刺疼
smash             v./n.打碎,粉碎
smell             n.气味;嗅觉 v.嗅,闻到;散发(…的)气味
smile             n.微笑，笑容 vi.微笑，露出笑容
smog              n.烟雾
smoke             n.烟,烟尘;吸烟,抽烟 v.抽(烟);冒烟,冒气
smooth            a.光滑的;顺利的;柔和的 v.(over)掩饰
smuggle           v.走私;偷运
snack             n.快餐,小吃,点心
snake             n.蛇
snap              v.啪地移动;(使)突然断开，断开(成两截)
snatch            n./v.攫取,抢夺
sneak             vi.偷偷地走，溜vt.偷偷地做(或拿、吃)
sneeze            vi.打喷嚏，发喷嚏声n.喷嚏
sniff             vi.嗅…味道;抽鼻涕;对嗤之以鼻，蔑视
snob              势力的人，谄上欺下的人
snow              n.雪，下雪 vi.下雪;如雪一般地落下
snowstorm         n.暴风雪
so                ad.那么;非常;也;不错 conj.因此;以便
soak              v.浸泡,浸湿,浸透
soap              n.肥皂
soar              vi.(指鸟等)高飞，翱翔;飞涨;高耸
sober             a.清醒的;认真的,冷静的,适度的
sob               v./n.哭泣,呜咽
so-called         a.(贬)所谓的，号称的
soccer            n.足球
sociable          a.好交际的，友好的，合群的
social            a.社会的;交际的
socialism         n.社会主义
society           n.社会;社团,协会,社;社交界,上流社会
sociology         n.社会学
sock              n.(pl.)短袜
soda              n.苏打,汽水
sofa              n.长沙发，沙发
soft              a.软的;温柔的;细嫩的,光滑的;不含酒精的
software          n.软件
soil              n.泥土,土地,土壤 v.弄脏,(使)变脏
solar             a.太阳的,日光的
soldier           n.士兵,军人
sole              a.单独的,唯一的 n.脚垫,鞋底
solemn            a.庄严的,隆重的;严肃的
solidarity        n.团结;休戚相关
solid             a.固体的;结实的,稳固的,可靠的 n.固体
solitary          a.(好)孤独的;偏僻的;单一的，唯一的
solo              n.独奏 a.&ad.单独的(地);独唱的(地)
soluble           a.可溶的
solution          n.解答,解决办法;溶解,溶液
solve             v.解决,解答
some              a.几个;一些;有些;某(人或物) pron.一些
somebody          pron.某人，有人 n.重要人物
somehow           ad.以某种方式，用某种方法;不知怎么地
someone           pron.某人(=somebody)
something         pron.某事，某物;被视为有意义的事物
sometime          ad.将来(或过去)某个时候a.以前的
sometimes         ad.不时，有时，间或
somewhat          pron.&ad.一点儿，几分
somewhere         ad.某地，在某处;在附近，前后，大约
song              n.歌唱，(虫、鸟等)鸣声;歌曲，歌词
son               n.儿子;孩子(长者对年青或年幼男子的称呼)
soon              ad.不久，即刻;快，早
sophisticated     a.尖端的,复杂的,先进的;老练的,老于世故的
sophomore         (中学、大学)二年级学生
sore              a.疼痛的;痛心的 n.痛处,疮口
sorrow            n.悲衰,悲痛
sorry             a.对不起，抱歉的;难过，悔恨的;使人伤心
sort              n.种类,类别 v.分类,整理
soul              n.灵魂,心灵;精神,精力;人
sound             n.声音v.发声,响a.健全的,完好的;正当的
soup              n.汤
sour              a.酸的;发酸的;酸痛的;脾气坏的;刻薄的
source            n.源,源泉;来源,出处
sour              酸的，酸味的
southeast         n./a.东南(的),东南部(的)
southern          a.南方的,南部的
south             n.南,南方,南部 a.南方的,南部的
southwest         n./a.西南(的),西南部(的)
sovereign         a.独立的，有主权的 n.君主，国王，统治者
sow               v.播种
spacecraft        n.宇宙飞船
space             n.间隔;空地,余地;空间 v.留间隔,隔开
spaceship         n.宇宙飞船
spacious          adj.广阔的，宽敞的
spade             n.铁锹,铲子
span              n.跨度,跨距
spare             a.多余的,备用的 v.节约,节省;抽出(时间)
sparkle           v.发火花,闪耀
spark             n.火花,火星 v.发火花,发电花
speaker           n.说话者，发言者;说某种语言者;扬声器
speak             v.说话，讲话;演说，发言;(in)说某种语言
spear             n.矛,枪
special           a.特殊的,专门的;附加的,额外的
specialist        n.专家
speciality        n.(specialty)特性，性质;专业/长;特产
