taboo             v.禁忌，忌讳
tackle            n.滑车;用具,器械 v.处理,解决;抱住,抓住
tactic            n.(tactics)策略,战术
tag               n.标签;鞋带;垂饰;vt.加标签于;附加vi.紧随
tail              n.尾巴;尾部;跟踪者 vt.尾随，跟踪
tailor            n.裁缝 v.缝制,剪裁
take              v.拿取;吃;记录;取得;花费;捕获;认为
talent            n.才能,天资;人才
tale              n.故事,传说
talk              n.谈话;聊天;讲话;演讲 v.说话;交谈
tall              a.(身材)高的,高大的;夸大的,离谱的
tame              a.驯服的,温顺的;沉闷的,乏味的 vt.驯服
tangle            n.纠缠;缠结;混乱 v.(使)缠绕;变乱
tanker            n.油船
tank              n.罐,槽,箱;坦克 vt.储于槽中
tan               n./a.(皮肤因日晒而成)棕褐色(的) vt.晒黑
tape              n.带(子);录音带,磁带 v.录音;系,捆
tap               n.塞子;水龙头; n./v.轻打,轻敲; vt.开发
target            n.目标,对象,靶子
tariff            n.关税,税率;(旅馆,饭店等)价目表,收费表
tar               n.柏油，焦油 vt.涂或浇柏油/焦油于
task              n.任务,作业,工作
taste             v.品尝;(of)有…味道;体验 n.滋味;味觉
taxi              n.出租汽车v.[指飞机](使)滑行
tax               n.税(款),负担 v.对…征税,使负重担
teacher           n.教师(员)，老(导)师
teach             vt.教，讲授;教导(训)vi.讲课，当教师
team              n.小队,小组 v.协同工作
tea               n.茶(叶);午后茶点
tear              n.(pl.)眼泪 vt.撕裂;使…分裂 vi.破裂
tease             v.戏弄,取笑;挑逗 n.(爱)戏弄他人者;戏弄
technical         a.技术(性)的，工艺的;专门性的，专业性的
technician        n.技术员,技师,技工
technique         n.技巧，手艺，技能;技术，工艺
technology        n.科学技术;工业技术;应用科学
tedious           a.乏味的,单调的,冗长的
teenager          n.十几岁的青少年
telegram          n.电报
telegraph         n.电报机,电报 v.打电报,发电报
telephone         n.电话,电话机 v.打电话
telescope         n.望远镜 v.缩短，压缩
tell              vt.告诉，讲述;告诫;吩咐，命令;辨/区别
temperament       n.气质，性格，性情;资质
temperature       n.温度，体温;热度，发烧
temper            n.脾气;韧度vt.调和，使缓和;使回火
temple            n.庙宇,神殿,寺;太阳穴
tempo             n.节奏,行进速度;(音乐的)速度
temporary         a.暂时的,临时的
temptation        n.引诱，诱惑;诱惑物
tempt             v.诱惑,引诱;吸引,使感兴趣
tenant            n.承租人;房客;佃户 vt.租借，承租
tendency          n.趋势，趋向;倾向
tender            a.嫩的;敏感的;温柔的 v.提出,提供;投标
tend              v.趋向,往往是;照料,看护
tennis            n.网球
ten               num.十 pron./a.十(个，只...)
tense             n.时态 v.拉紧，(使)紧张 a.绷紧的，紧张的
tension           n.(紧张)状态;拉(绷)紧;张力，拉力
tentative         a.试探性的，暂时的;犹豫不决的
tent              n.帐篷
terminal          a.晚期的;终点的;期末的 n.终点(站);终端
terminate         vi.(使)结束，(使)停止
term              n.学期;期限,期间;(pl.)条件,条款;术语
terrible          a.很糟的;可怕的,骇人的;极度的,厉害的
terrific          a.极好的,非常的,极度的
terrify           v.使害怕,使惊恐
territory         n.领土;版图;领域,范围
terror            n.恐怖;可怕的人(事)
testify           v.作证，证明;(to)表明，说明
testimony         n.证据,证词;表明,说明
test              n./vt.试验;检验;测验
textbook          n.课本,教科书
textile           n.纺织品 a.纺织的
text              n.正文，文本;原文;教科书
texture           n.(织物)质地;(材料)构造;结构;肌理
than              conj.(用于形容词，副词的比较级之后)比
thanksgiving      n.感恩节
thank             vt.感谢int.[-s]谢谢n.[pl.]感谢(意)
that              a./pron.那，那个 ad.那么 conj.[引导从句]
the               art.这(那)个;这(那)些(指特定的人或物)
theater           n.(theatre)戏院;戏剧;阶梯教室
theft             n.偷窃(行为)，偷窃罪
their             pron..[they的所有格]他(她、它)们的
theirs            pron.[they的物主代词]他(她、它)们的
theme             n.题目，主题;主旋律，基调
them              pron.他们/她们/它们(they的宾格形式)
themselves        pron.他(她、它)们自己;他(她、它)们亲自
then              ad.当时，在那时;然后，于是;那么，因而
theoretical       a.理论(上)的
theory            n.理论,原理;学说,见解,看法
therapy           n.治疗，(不需要药物或手术的)物理疗法
there             ad.在那儿;往那儿;[作引导词表示"存在"]
thereafter        ad.此后,以后
thereby           ad.因此,从而
therefore         ad.因此，所以 conj.因此
thermal           a.热的,热力的;(小规模的)上升气流
thermometer       n.温度计
these             pron.&a.[this的复数]这些;这些人(东西)
thesis            n.(pl.theses) 论文;论题;论点
they              商店。(一般人经常用复数they来指一家商店)
thick             a.厚的，粗的，稠的，浓的 ad.厚，浓，密
thief             n.(thieves)贼;小偷
thigh             n.大腿;股骨
thin              a.薄的,细的;稀薄的,淡的;瘦的 v.变薄;变稀
thing             n.物，东西;事，事情;所有物;局面，情况
think             v.想，思索;认为，以为;想要;料想，预料
third             num.第三(个)，三分之一(的)
thirst            n.渴,口渴;(for)渴望,热望
thirsty           a.口渴的;(for)渴望的,热望的
thirst            渴，口渴
thirteen          num./a.十三 pron.十三(个，只...)
thirty            num.三十，三十个(人或物)
this              pron.这(个) a.这(个);今 ad.这(样)
thorn             n.刺,荆棘
thorough          a.彻底的,完全的;精心的
those             pron./a.[that的复数]那些;那些人(东西)
though            ad.可是，然而，不过 conj.尽管，虽然
thoughtful        a.认真思考的,沉思的;体贴的,关心的
thought           n.思想，思考，思维;意图，打算;想法
thousand          num./n./a.一千;[pl.]许许多多，成千上万
thread            n.线,细丝;线索,思路;螺纹 v.穿线,穿过
threaten          v.恐吓,威胁;有…危险,快要来临
threat            n.恐吓,威胁;坏兆头,危险迹象
three             num.三 pron./a.三(个，只...)
threshold         n.门槛;入门,开端
thrift            a.节约，节俭
thrill            n.一阵激动(恐惧) v.激动;(使)毛骨悚然
thrive            v.兴旺,繁荣
throat            n.咽喉,嗓子
throne            n.御座，宝座;王位，王权
throughout        prep.遍及，贯穿 ad.到处，自始至终，彻底
through           prep./ad.穿过;自始至终;由，以 a.直达的
throw             vt.扔;使突然陷入;使困惑n.投掷(距离)
thrust            vt.插入;猛推 n.插，推力 vi.刺，戳，冲
thumb             n.拇指 v.示意要求搭车;迅速翻阅
thunder           n.雷(声);轰隆声 v.打雷;大声说,吼叫
thursday          n.星期四
thus              ad.如此;像这样;于是;因此
ticket            n.票,入场券;票签;(交通违章)罚款传票
tick              n.滴答声;勾号 v.滴答响;打勾号于
tide              n.潮,潮汐;潮流,趋势
tidy              a.整洁的,整齐的 v.整理,收拾
tie               n.领带;联系,关系,纽带;束缚 v.扎,系,捆
tiger             n.虎;老虎
tight             a.紧的;紧身的,装紧的;密封的 ad.紧紧地
tile              n.瓦片,瓷砖 vt.铺瓦于，贴砖于
till              prep.直到，直到…为止，与until意思相同
tilt              v.(使)倾侧;(使)倾斜 n.倾侧;倾斜
timber            n.木材,木料
timely            a.及时的,适时的
time              n.时间，时刻;次，回;时代，时期;倍，乘
timid             a.胆怯的,怯懦的
tin               n.罐头;锡 a.锡制的 vt.镀锡于
tiny              a.极小的,微小的
tip               n.尖端;末端;小费 n./v.轻击;倾斜;给小费
tired             a.疲劳的;厌倦的
tiresome          a.使人厌倦的,讨厌的
tire              v.(使)疲倦,(使)厌倦 n.(=tyre)轮胎,车胎
tissue            n.织物,薄绢,纸巾;(动,植物的)组织
title             n.书名,标题;头衔,称号
toast             n.烤面包,吐司;祝酒(词)v.烘,烤;(向…)祝酒
tobacco           n.烟草,烟叶
today             ad.在今天;现今，在当代 n.今天;现在
toe               n.脚趾,足尖
together          ad.共同,一起;合起来,集拢地
toilet            n.厕所,盥洗室
token             n.表示;标志;记号;代用硬币 a.象征性的
tolerance         n.宽容;容忍,忍受;耐药力;公差
tolerant          a.容忍的,宽容的;有耐药力的
tolerate          vt.容忍,默许;对(药物、毒品等)有耐力
toll              n.(道路、桥等的)通行费;牺牲;死伤人数
tomato            n.西红柿
tomb              n.坟,冢
tomorrow          n.明天;来日，未来 ad.在明天，在明日
tone              n.音调,音色;风气,气氛;腔调,语气;色调
tongue            n.舌;语言
tonight           ad.在今晚;在今夜 n.今晚，今夜
ton               n.吨;(pl.)大量,许多
too               ad.也，还;太，过于;很，非常
tool              n.工具，用具;方法，手段
tooth             n.(pl.teeth)牙齿;齿状物;
topic             n.话题,主题,题目
top               n.顶，顶端;首位;顶点 a.最高的;顶上的
to                prep.(表示方向)到;向;(表示间接关系)给.
torch             n.手电筒;火炬,火把
torment           n.折磨;令人痛苦的东西(人)vt.折磨;纠缠
torrent           n.激流，洪流;爆发，(话语等的)连发
torture           v.拷问,拷打;折磨,磨难 n.拷问;折磨,痛苦
toss              vt.向上掷/扔;摇摆，颠簸 n.投，扔;摇动
total             n.总数,合计 a.总的,全部的 v.合计,总数达
touch             v.触,碰,摸;感动;涉及 n.触动,碰到;少许
tough             a.坚韧的,棘手的;强健的,吃苦耐劳的;粗暴的
tourist           n.旅游者，观光客;巡回比赛的运动员
tour              n.旅游，旅行;巡回演出/比赛 v.旅游
toward            prep.(towards)朝，向;将近;对于;为了
towel             n.毛巾 vt.用毛巾擦或擦干
tower             n.塔 v.高耸
town              n.市镇;市民;城市商业区，闹市区
tow               vt.(用绳、链等)拖(车、船等) n.拖,牵引
toxic             a.有毒的;中毒的
toy               n.玩具 vi.(with)漫不经心地考虑;摆弄
trace             n.痕迹,踪迹;极少量 v.描绘;跟踪,追踪
track             n.跑道,小路;轨迹,轮迹 v.跟踪,追踪
tractor           n.拖拉机,牵引车
trademark         n.商标;特征 vt.注册的…商标
trade             n.贸易,商业;职业,行业 v.经商,交易
tradition         n.传统; 惯例; 传说
traffic           n.交通,交通量
tragedy           n.悲剧;惨事,灾难
tragic            a.悲剧的,悲惨的
trail             n.踪迹,痕迹;小路 v.追踪,跟踪;拖,拖曳;
training          n.训练,培养
