ugly              a.丑陋的,难看的;丑恶的,讨厌的
ultimate          a.最后的,最终的;根本的
ultraviolet       a./n.紫外线(的)
umbrella          n.伞
unanimous         a.全体一致的,一致同意的
uncle             n.伯父，叔父，舅父，姑父，姨父
uncover           v.揭开,揭露
underestimate     vt.低估，看轻
undergo           vt.遭受,经历,承受
undergraduate     n.大学生,大学肆业生
underground       a.地下的;秘密的 n.地铁 ad.在地下
underlie          vt.位于...之下, 成为...的基础
underline         vt.在…下划线;强调
underlying        a.含蓄的,潜在的;在下面的
undermine         v.暗中破坏,逐渐削弱;侵蚀…的基础
underneath        prep.在…下面 ad.在下面,在底下
under             prep.在…下面; 在…以下 ad.在下面;少于
understanding     n.理解,理解力;谅解 a.了解的,通情达理的
understand        v.懂,理解;获悉,听说;揣测,认为
undertake         v.承担,担任;许诺,保证;着手,从事
undesirable       不合意的，不受欢迎的
undoubtedly       ad.无疑,必定
undo              v.松开,解开
uneasy            a.不安的,焦虑的
unemployment      n.失业,失业人数
unexpected        a.想不到的, 意外的, 未预料到
unfold            vt.打开;显露;展示 vi.呈现;显示;展示
unfortunately     ad.不幸地
uniform           n.制服,军服 a.相同的,一律的
unify             v.使联合,统一;使相同,使一致
union             n.联合,团结;联盟,联邦;协会,社团;和谐
unique            a.唯一的,独一无二的
unite             vi.联合,团结;统一,合并vt.使联合
unit              n.单位,单元;部件,元件;机组,装置
unity             n.团结;统一,一致,整体
universal         a.普遍的,全体的,通用的;宇宙的,世界的
universe          n.宇宙,万物
university        n.(综合)大学
unless            conj.除非 prep.除…外
unlike            a.不同的,不相似的 prep.不象,和…不同
unlikely          a.未必的,靠不住的
unload            vi.卸货;退子弹 vt.摆脱...之负担;倾销
until             conj.&prep.直到…为止，在…以前;直到…
unusual           a.不平常的,与众不同的
up                ad.向上，...起来;...完;起床 prep.向上
update            v.更新,使现代化
upgrade           v.提升,使升级
uphold            vt.支持,赞成;举起;坚持
upon              prep.在…上;在…旁 [=on]
upper             a.上面的;上部的,较高的
upright           a.垂直的,直立的;正直的,诚实的 ad.竖立着
uproar            n.骚动,喧嚣,鼎沸
upset             v.使…心烦意乱;打翻,推翻a.难过的;不安的
upstairs          ad.向楼上;在楼上;上楼 ad.楼上的
up-to-date        a.现代化的，最新的;跟上时代的
upward            a.向上的,上升的 ad.向上
urban             a.城市的, 市内的
urgent            a.急迫的，紧要的，紧急的
urge              vt.催促;怂恿;强调 n.强烈欲望,迫切要求
usage             n.使用，用法;习惯，习俗;惯用法
used              a.用旧了的，旧的;习惯于…;过去惯/经常
useful            a.有用的，实用的;有益的，有帮助的
use               n.使/应用;用法/途;益/用处 vt.用;消耗
us                pron.我们(we的宾格形式)
usual             a.通常的,平常的
usually           ad.通常,平常
utilize           vt.利用
utmost            a.最远的;极度的 n.极限,极度,最大可能
utter             v.说,发出(声音) a.彻底的,完全的
vacant            a.空的,未占用的;空缺的;神情茫然的
vacation          n.休假,假期
vacuum            n.真空,真空吸尘器
vague             a.不明确的,含糊的,暧昧的
vain              a.徒劳的,徒然的;自负的,爱虚荣的
valid             a.有效的;有根据的;正当的
valley            n.(山)谷;流域
valuable          a.贵重的,有价值的 n.(pl.)贵重物品,财宝
value             n.价格;价值;实用性 v.评价,估价;尊重
valve             n.阀;(英)电子管,真空管;(心脏的)瓣膜
vanish            vi.突然不见;消失
vanity            n.虚荣心,浮华
van               n.有篷汽车;有篷货运车厢
vapour            n.(vapor)汽，(水)蒸气
variable          a.易变的;可变的;变量的 n.变量
variation         n.变化,变动;变种,变异
variety           n.种种,多种多样;种类,品种
various           a.各种各样的;不同的
vary              vt.改变,变化;使多样化
vase              n.花瓶,瓶
vast              a.巨大的,辽阔的,大量的;巨额的
vegetable         n.蔬菜,植物 a.植物的,蔬菜的
vegetarian        n.素食主义者
vegetation        n.植物,草木
vehicle           n.车辆,交通工具;媒介,载体
veil              n.面纱,遮蔽物 v.用面纱掩盖,掩饰
vein              n.血管;静脉;叶脉;纹理;情绪 vt.使成脉络
velocity          n.速度,速率
velvet            n.丝绒,天鹅绒 a.丝绒制的,柔软的
ventilate         vt.使通风;给…装通风设备
venture           v.冒险,拼;大胆表示 n.冒险事业,拼,闯
verbal            a.用言辞的,用文字的;口头的;动词的
verb              n.动词
verdict           n.(陪审团的)裁决,判决;判断;定论
verge             n.边,边缘 v.濒临
verify            vt.证实,查证;证明
versatile         a.通用的;多才多艺的,多方面的
verse             n.韵文,诗;诗节,诗句
version           n.版本;译本,译文;说法
versus            prep.(vs.)…对…(在诉讼,比赛等);与…相对
vertical          a.垂直的,竖的 n.垂线
very              ad.很，非常;完全 a.正是的;真正，真实的
vessel            n.容器,器皿;船,舰;管,血管
vest              n.背心,马甲;汗衫,内衣
veteran           n.老手,老兵
veto              n./v.否决
via               prep.经;通过;凭借
vibrate           v.(使)振动,(使)摇摆;受…而感动
vice              n.邪恶;恶习;(pl.)台钳,老虎钳
vicinity          n.邻近,附近
vicious           a.恶毒的,凶残的,邪恶的
victim            n.牺牲品,受害者
victory           n.胜利
video             n.电视,视频;录像 a.电视的,视频的;录像的
view              n.视野;风景;观察;见解;照片 vt.观察;认为
viewpoint         n.观点
vigorous          a.朝气蓬勃的,精力旺盛的
vigor             体力，精力，活力
village           n.村,村庄
vinegar           n.醋
violate           vt.违背;冒犯;妨碍;侵犯;亵渎(圣物)
violence          n.猛烈,强烈;暴力,暴行;强暴
violent           a.猛烈的,激烈的;暴力引起的,强暴的
violet            n.紫罗兰,紫色 a.紫色的
violin            n.小提琴
virgin            n.处女 a.处女的;纯洁的;原始的;未使用的
virtual           a.实际上的,事实上的
virtue            n.德行,美德;贞操;优点;功效,效力
virus             n.病毒;(精神,道德方面的)有害影响
visa              n.(护照等的)签证;维萨信用卡 vt.签证
visible           a.看得见的, 明显的, 显著的
vision            n.视力,视觉;远见;洞察力;幻想,幻影;想象力
visit             n.访问,参观 v.访问,参观;视察;降临;闲谈
visitor           n.访问者,客人,来宾,参观者
visual            a.看的,看得见的;视觉的
vital             a.生死攸关的,重大的;生命的,生机的
vitamin           n.维生素
vivid             a.鲜艳的;生动的,栩栩如生的
vocabulary        n.词汇,词汇量;词汇表
vocal             a.声音的;有声的;歌唱的 n.元音;声乐作品
vocation          n.职业;召唤;天命;天职;才能
voice             n.声音;嗓音;发音能力;意见,发言权;语态
void              a.空虚的;没有的;无效的
volcano           n.火山
volleyball        n.排球
voltage           n.电压
volt              n.伏特
volume            n.容积,体积;卷,册;音量
voluntary         a.自愿的,志愿的
volunteer         n./v.自愿(者,兵);自愿(提供)
vote              n.投票,表决;选票,选票数 v.投票,表决
vowel             n.元音,元音字母
voyage            n.航海;航行;旅行
vulgar            a.粗俗的，庸俗的，本土的，通俗的，普通的
vulnerable        a.易受攻击的
