wage              n.(常pl.)工资,报酬 vt.进行,开展
wagon             n.运货马车,运货车;敞蓬车厢
waist             n.腰,腰部
waiter            n.侍者,服务员
waitress          n.女侍者,女服务员
wait              v.(for)等待;(on)侍候 n.等候，等待时间
waken             v.醒,弄醒,唤醒
wake              v.醒来,唤醒;使觉醒,激发,引起
walk              v.走，步行，散步;走遍 n.走，步行，散步
wallet            n.皮夹,钱包
wall              n.墙，壁，围墙vt.筑墙围住，用墙隔开
wander            v.漫步,徘徊;迷路,迷失方向;离题
want              vt.想要;希望;需要;缺,缺少 n.需要;短缺
ward              n.病房;行政区;监护;被监护人 vt.挡住
wardrobe          n.衣柜,衣厨;衣服;行头;剧装
ward              病房
warehouse         n.仓库,货栈
warfare           n.战争(状态);斗争;冲突
warm              a.温暖的，热心的，热情的 v.(使)变暖
warmth            n.暖和,温暖;热心,热情
warn              vt.警告 vi.发出警告
war               n.战争(状态);冲突 vi.作战
warrant           n.正当理由;许可证,委任状 v.保证,担保
wash              n.洗;洗的衣物 vt.冲刷，洗;冲出 vi.洗澡
waste             v.浪费 a.无用的;荒芜的 n.浪费;废物
watch             v.观看;注视;看守;警戒 n.注视;手表;守护
waterfall         n.瀑布
water             n.水 vt.浇灌;给…饮水 vi.流泪，加水
waterproof        a.防水的,耐水的
watt              n.瓦,瓦特
wave              n.波浪;(挥手)示意;飘扬 v.(挥手)示意,致意
wax               n.蜡,蜂蜡 v.打蜡
way               n.道路，路程;方法/式，手段;习惯;状态
weak              a.虚弱的,软弱的;不够标准的;淡薄的,稀的
wealth            n.财富,财产;大量
wealthy           a.富有的,丰裕的,充分的 n.富人,有钱人
weapon            n.武器,兵器
wear              v.穿着，戴着;磨损，用旧 n.穿，戴;磨损
weary             a.疲倦的;令人厌烦的 v.使疲倦,使厌倦
wear              穿，戴
weather           n.天气,气象
weave             v.编(织) n.编织法，编织式样
web               n.网,蜘蛛网
wedding           n.婚礼
wedge             n.楔,楔形 vt.楔牢,楔入,挤进
wednesday         n.星期三
weed              n.杂草,野草 v.除草,锄草
weekday           n.平常日,工作日
weekend           n.周末
weekly            a.每星期的,一周的ad.每周一次 n.周刊,周报
week              n.星期，周
weep              v.哭泣,流泪;滴下 n.哭泣
weight            n.重量;负荷,重担;重要性,分量;砝码,秤砣
weigh             v.称…重量,称;重达;考虑,权衡
weird             a.古怪的，离奇的;怪诞的，神秘而可怕的
welcome           int.欢迎 a.受欢迎的 vt./n.欢迎;迎接
weld              v.焊接 n.焊接,焊缝
welfare           n.福利;幸福;福利事业
well              ad.好，令人满意地;很 int.哎呀，好啦，嗯
well-known        a.有名的,著名的
we                pron.我们
western           a.西方的,西部的
west              n./a.西,西方(的),西部(的) ad.向西
wet               a.湿的,潮湿的;有雨的,多雨的 v.弄湿,沾湿
whale             n.鲸;庞然大物
whatever          pron.无论什么 a.无论什么样的
what              pron.什么 a.多么，何等;什么;尽可能多的
whatsoever        ad.(用于否定句中以加强语气)任何
wheat             n.小麦
wheel             n.轮,车轮
when              ad./pron.何时;当时 conj.那时;然后;而
whenever          conj.无论何时,随时;每当
where             ad.在哪/那里 conj./pron.哪里 conj.然而
whereas           conj.而,却,反之
wherever          conj.无论在哪里 ad.无论在哪里,究竟在哪里
whether           conj.是否，会不会，不管，无论
which             a./pron.哪个，哪些;什么样的;那个，那些
whichever         pron./a.无论哪个,无论哪些
while             conj.当…的时候;而;虽然;尽管 n.一会儿
whip              n.鞭子;车夫 v.鞭打,抽打;突然移动
whirl             v.(使)旋转,打转 n.旋转;-连串快速的活动
whisky            n.威士忌酒
whisper           v.耳语;私下说,偷偷告诉 n.耳语;传闻
whistle           n.口哨,汽笛;口哨声,汽笛声 v.吹口哨;鸣笛
white             a.白色的;苍白的;白种的 n.白色;白种人
whitewash         粉饰
whoever           pron.[引导名词从句]谁;无论谁;究竟是谁
whole             n.全部 a.全体的;全部的;完整的;无缺的
wholesome         a.卫生的;有益的;健康的,有益健康的
wholly            ad.完全地,全部,一概
whom              pron.谁;哪个人(who的宾格)
who               pron.谁，什么人;…的人;他，她，他们
whose             pron.谁的;哪(个)人的，那些(人)的
why               ad./conj.为什么;…的理由 int.咳，哎呀
wicked            a.坏的;邪恶的;不道德的;恶劣的;淘气的
wide              a.宽阔的;睁大的;远离的 ad.广阔地;偏差地
widespread        a.分布广泛的,普遍的
widow             n.寡妇
width             n.宽度;宽阔,广阔
wife              n.妻子，夫人，太太
wild              a.野性的,野生的;野蛮的;狂热的;荒芜的
will              aux./v. 将;会;愿意 n.意志;决心;愿望
willing           a.愿意的，乐意的，心甘情愿的
wind              n.风;气息 v.转动;缠绕;上发条,;蜿蜒而行
window            n.窗,窗口
wind              绕，缠
wine              n.葡萄酒,果酒
wing              n.翅,翅膀;翼,机翼;派别 vt.装以翼
